Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
ETB;Antioquia, Colombia;;Jan 2018;494;273;all;N/A;mean;181;38;9352;6398;9.35;6.40
ETB;Atlantico, Colombia;;Jan 2018;233;80;all;N/A;mean;43;109;7296;9438;7.30;9.44
ETB;Bogota, Colombia;;Jan 2018;139686;76677;all;N/A;mean;43410;29;21914;12916;21.91;12.92
ETB;Bolivar, Colombia;;Jan 2018;7;3;all;N/A;mean;3;42;574;627;0.57;0.63
ETB;Boyaca, Colombia;;Jan 2018;220;107;all;N/A;mean;77;30;15248;11133;15.25;11.13
ETB;Caldas, Colombia;;Jan 2018;7;6;all;N/A;mean;6;49;10972;6342;10.97;6.34
ETB;Casanare, Colombia;;Jan 2018;2;1;all;N/A;mean;1;30;37995;23353;38.00;23.35
ETB;Cesar, Colombia;;Jan 2018;23;14;all;N/A;mean;10;62;2432;2195;2.43;2.20
ETB;Cordoba, Colombia;;Jan 2018;116;43;all;N/A;mean;9;39;4999;6302;5.00;6.30
ETB;Cundinamarca, Colombia;;Jan 2018;12138;6850;all;N/A;mean;4687;36;18369;10746;18.37;10.75
ETB;Huila, Colombia;;Jan 2018;34;21;all;N/A;mean;11;44;4913;4480;4.91;4.48
ETB;La Guajira, Colombia;;Jan 2018;15;5;all;N/A;mean;5;43;2569;3044;2.57;3.04
ETB;Magdalena, Colombia;;Jan 2018;21;20;all;N/A;mean;16;79;4453;4104;4.45;4.10
ETB;Meta, Colombia;;Jan 2018;2442;1256;all;N/A;mean;506;57;10235;7611;10.24;7.61
ETB;Narino, Colombia;;Jan 2018;1;1;all;N/A;mean;1;96;27327;10026;27.33;10.03
ETB;Quindio, Colombia;;Jan 2018;47;19;all;N/A;mean;12;93;6449;8247;6.45;8.25
ETB;Risaralda, Colombia;;Jan 2018;188;110;all;N/A;mean;59;61;3096;3067;3.10;3.07
ETB;Santander Department, Colombia;;Jan 2018;775;328;all;N/A;mean;177;45;10308;7497;10.31;7.50
ETB;Tolima, Colombia;;Jan 2018;75;49;all;N/A;mean;39;68;11099;12045;11.10;12.05
ETB;Valle del Cauca, Colombia;;Jan 2018;35;25;all;N/A;mean;11;49;4837;5437;4.84;5.44
Movistar;Antioquia, Colombia;;Jan 2018;1181;711;all;N/A;mean;574;62;7560;2309;7.56;2.31
Movistar;Atlantico, Colombia;;Jan 2018;1292;779;all;N/A;mean;515;146;5684;1000;5.68;1.00
Movistar;Bogota, Colombia;;Jan 2018;33796;20230;all;N/A;mean;10668;52;7785;1659;7.79;1.66
Movistar;Bolivar, Colombia;;Jan 2018;4457;2563;all;N/A;mean;1483;87;11638;5529;11.64;5.53
Movistar;Boyaca, Colombia;;Jan 2018;3541;1873;all;N/A;mean;691;63;6142;1900;6.14;1.90
Movistar;Caldas, Colombia;;Jan 2018;413;267;all;N/A;mean;124;89;9618;4339;9.62;4.34
Movistar;Caquetá, Colombia;;Jan 2018;736;499;all;N/A;mean;186;69;4657;786;4.66;0.79
Movistar;Casanare, Colombia;;Jan 2018;499;297;all;N/A;mean;103;52;5308;787;5.31;0.79
Movistar;Cauca Department, Colombia;;Jan 2018;2076;1284;all;N/A;mean;825;71;8195;2653;8.20;2.65
Movistar;Cesar, Colombia;;Jan 2018;1582;1035;all;N/A;mean;279;84;6382;1108;6.38;1.11
Movistar;Choco, Colombia;;Jan 2018;834;562;all;N/A;mean;189;77;5168;982;5.17;0.98
Movistar;Cordoba, Colombia;;Jan 2018;2747;1751;all;N/A;mean;813;79;6654;1198;6.65;1.20
Movistar;Cundinamarca, Colombia;;Jan 2018;28198;16340;all;N/A;mean;10238;60;7032;1471;7.03;1.47
