Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Tigo;Antioquia, Colombia;;Jan 2018;188068;95581;all;N/A;mean;50738;37;11310;4666;11.31;4.67
Tigo;Atlantico, Colombia;;Jan 2018;8502;3903;all;N/A;mean;2237;30;11245;3029;11.25;3.03
Tigo;Bogota, Colombia;;Jan 2018;28310;14120;all;N/A;mean;8273;35;11300;4583;11.30;4.58
Tigo;Bolivar, Colombia;;Jan 2018;8438;4341;all;N/A;mean;2479;34;8955;2315;8.96;2.32
Tigo;Boyaca, Colombia;;Jan 2018;395;147;all;N/A;mean;68;43;6982;1742;6.98;1.74
Tigo;Caldas, Colombia;;Jan 2018;5863;3146;all;N/A;mean;1789;41;9341;2571;9.34;2.57
Tigo;Caquetá, Colombia;;Jan 2018;1;1;all;N/A;mean;1;245;18252;17899;18.25;17.90
Tigo;Cauca Department, Colombia;;Jan 2018;3121;1325;all;N/A;mean;665;72;6206;2408;6.21;2.41
Tigo;Cesar, Colombia;;Jan 2018;1017;498;all;N/A;mean;303;42;8317;1661;8.32;1.66
Tigo;Choco, Colombia;;Jan 2018;58;35;all;N/A;mean;18;23;5500;3497;5.50;3.50
Tigo;Cordoba, Colombia;;Jan 2018;1463;754;all;N/A;mean;395;55;8857;1835;8.86;1.84
Tigo;Cundinamarca, Colombia;;Jan 2018;4034;1993;all;N/A;mean;1246;40;10718;7029;10.72;7.03
Tigo;Huila, Colombia;;Jan 2018;1;1;all;N/A;mean;1;48;3507;482;3.51;0.48
Tigo;Magdalena, Colombia;;Jan 2018;1672;953;all;N/A;mean;563;29;10592;3418;10.59;3.42
Tigo;Meta, Colombia;;Jan 2018;1202;573;all;N/A;mean;309;57;10866;1797;10.87;1.80
Tigo;Narino, Colombia;;Jan 2018;5;5;all;N/A;mean;3;44;3736;927;3.74;0.93
Tigo;North Santander, Colombia;;Jan 2018;31;17;all;N/A;mean;11;67;18704;14416;18.70;14.42
Tigo;Putumayo, Colombia;;Jan 2018;16;10;all;N/A;mean;3;100;7231;6862;7.23;6.86
Tigo;Quindio, Colombia;;Jan 2018;3711;1918;all;N/A;mean;931;52;8481;2569;8.48;2.57
Tigo;Risaralda, Colombia;;Jan 2018;10210;5301;all;N/A;mean;2960;31;10362;4209;10.36;4.21
Tigo;San Andrés and Providencia, Colombia;;Jan 2018;6;4;all;N/A;mean;4;170;313;170;0.31;0.17
Tigo;Santander Department, Colombia;;Jan 2018;16450;7765;all;N/A;mean;4251;59;8843;2365;8.84;2.37
Tigo;Sucre, Colombia;;Jan 2018;606;363;all;N/A;mean;219;34;8160;1561;8.16;1.56
Tigo;Tolima, Colombia;;Jan 2018;3113;1664;all;N/A;mean;991;55;11482;6467;11.48;6.47
Tigo;Valle del Cauca, Colombia;;Jan 2018;27597;12981;all;N/A;mean;6656;51;8809;3591;8.81;3.59
EMCALI;Antioquia, Colombia;;Jan 2018;34;20;all;N/A;mean;18;38;4982;890;4.98;0.89
