Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Amazonas, Colombia;;jun-20;9;4;all;N/A;median;4;381;808;589;0.81;0.59
All Providers Combined;Antioquia, Colombia;;jun-20;447302;115590;all;N/A;median;115590;21;24659;5199;24.66;5.20
All Providers Combined;Arauca, Colombia;;jun-20;3466;710;all;N/A;median;710;29;4032;2484;4.03;2.48
All Providers Combined;Atlantico, Colombia;;jun-20;147323;38156;all;N/A;median;38156;23;20224;5046;20.22;5.05
All Providers Combined;Bogota, Colombia;;jun-20;1432055;340597;all;N/A;median;340597;13;25809;6144;25.81;6.14
All Providers Combined;Bolivar, Colombia;;jun-20;71676;16533;all;N/A;median;16533;22;20705;5002;20.71;5.00
All Providers Combined;Boyaca, Colombia;;jun-20;42864;9757;all;N/A;median;9757;21;11255;4655;11.26;4.66
All Providers Combined;Caldas, Colombia;;jun-20;48671;11305;all;N/A;median;11305;22;20759;5099;20.76;5.10
All Providers Combined;Caquetá, Colombia;;jun-20;8842;1776;all;N/A;median;1776;26;13755;5886;13.76;5.89
All Providers Combined;Casanare, Colombia;;jun-20;15333;3479;all;N/A;median;3479;21;13192;4832;13.19;4.83
All Providers Combined;Cauca Department, Colombia;;jun-20;49459;11396;all;N/A;median;11396;29;10495;4870;10.50;4.87
All Providers Combined;Cesar, Colombia;;jun-20;38189;7833;all;N/A;median;7833;36;15507;5125;15.51;5.13
All Providers Combined;Choco, Colombia;;jun-20;1944;451;all;N/A;median;451;50;4623;851;4.62;0.85
All Providers Combined;Cordoba, Colombia;;jun-20;28175;6924;all;N/A;median;6924;30;10199;4758;10.20;4.76
All Providers Combined;Cundinamarca, Colombia;;jun-20;256409;62812;all;N/A;median;62812;16;17234;5560;17.23;5.56
All Providers Combined;Guainia, Colombia;;jun-20;4;1;all;N/A;median;1;50;36005;5780;36.01;5.78
All Providers Combined;Huila, Colombia;;jun-20;46802;11562;all;N/A;median;11562;30;9195;4176;9.20;4.18
All Providers Combined;La Guajira, Colombia;;jun-20;9395;1915;all;N/A;median;1915;45;13781;5143;13.78;5.14
All Providers Combined;Magdalena, Colombia;;jun-20;40798;10577;all;N/A;median;10577;33;16226;5131;16.23;5.13
All Providers Combined;Meta, Colombia;;jun-20;42843;9801;all;N/A;median;9801;18;18718;5581;18.72;5.58
All Providers Combined;Narino, Colombia;;jun-20;41582;8853;all;N/A;median;8853;35;10463;4915;10.46;4.92
All Providers Combined;North Santander, Colombia;;jun-20;62672;16894;all;N/A;median;16894;33;13928;4928;13.93;4.93
All Providers Combined;Putumayo, Colombia;;jun-20;5076;1028;all;N/A;median;1028;34;5485;3825;5.49;3.83
All Providers Combined;Quindio, Colombia;;jun-20;27075;6561;all;N/A;median;6561;26;19565;5036;19.57;5.04
All Providers Combined;Risaralda, Colombia;;jun-20;80851;18265;all;N/A;median;18265;25;19557;5293;19.56;5.29
All Providers Combined;San Andrés and Providencia, Colombia;;jun-20;1158;184;all;N/A;median;184;101;902;1401;0.90;1.40
All Providers Combined;Santander Department, Colombia;;jun-20;173437;40687;all;N/A;median;40687;27;23062;5421;23.06;5.42
All Providers Combined;Sucre, Colombia;;jun-20;14362;3503;all;N/A;median;3503;32;11545;4590;11.55;4.59
All Providers Combined;Tolima, Colombia;;jun-20;57594;14229;all;N/A;median;14229;28;12735;5256;12.74;5.26
All Providers Combined;Valle del Cauca, Colombia;;jun-20;289212;73077;all;N/A;median;73077;24;20597;5840;20.60;5.84
All Providers Combined;Vaupes, Colombia;;jun-20;1;1;all;N/A;median;1;17;3625;14483;3.63;14.48
All Providers Combined;Vichada, Colombia;;jun-20;2;2;all;N/A;median;2;69;382;620;0.38;0.62
All Providers Combined;Guaviare, Colombia;;jun-20;1051;135;all;N/A;median;135;40;3527;2858;3.53;2.86
All Providers Combined;Amazonas, Colombia;;jul-20;43;11;all;N/A;median;11;335;953;580;0.95;0.58
All Providers Combined;Antioquia, Colombia;;jul-20;497695;129118;all;N/A;median;129118;20;25263;5199;25.26;5.20
All Providers Combined;Arauca, Colombia;;jul-20;3458;690;all;N/A;median;690;29;4939;2373;4.94;2.37
All Providers Combined;Atlantico, Colombia;;jul-20;156538;41326;all;N/A;median;41326;28;22046;5190;22.05;5.19
All Providers Combined;Bogota, Colombia;;jul-20;1421569;352721;all;N/A;median;352721;13;27743;6399;27.74;6.40
All Providers Combined;Bolivar, Colombia;;jul-20;77547;17692;all;N/A;median;17692;25;19916;5019;19.92;5.02
All Providers Combined;Boyaca, Colombia;;jul-20;47819;11135;all;N/A;median;11135;21;11082;4793;11.08;4.79
All Providers Combined;Caldas, Colombia;;jul-20;56876;12691;all;N/A;median;12691;22;20076;5160;20.08;5.16
All Providers Combined;Caquetá, Colombia;;jul-20;12170;2001;all;N/A;median;2001;30;10068;5895;10.07;5.90
All Providers Combined;Casanare, Colombia;;jul-20;15333;3633;all;N/A;median;3633;20;15473;5287;15.47;5.29
All Providers Combined;Cauca Department, Colombia;;jul-20;49369;11613;all;N/A;median;11613;30;11255;5095;11.26;5.10
All Providers Combined;Cesar, Colombia;;jul-20;32793;7985;all;N/A;median;7985;35;16507;5217;16.51;5.22
All Providers Combined;Choco, Colombia;;jul-20;2213;502;all;N/A;median;502;44;5342;971;5.34;0.97
All Providers Combined;Cordoba, Colombia;;jul-20;34359;8007;all;N/A;median;8007;32;10038;4787;10.04;4.79
All Providers Combined;Cundinamarca, Colombia;;jul-20;254193;65768;all;N/A;median;65768;16;19888;5692;19.89;5.69
All Providers Combined;Huila, Colombia;;jul-20;48319;12397;all;N/A;median;12397;29;9775;4371;9.78;4.37
All Providers Combined;La Guajira, Colombia;;jul-20;10076;2153;all;N/A;median;2153;47;12874;5294;12.87;5.29
All Providers Combined;Magdalena, Colombia;;jul-20;37587;9301;all;N/A;median;9301;37;14900;5039;14.90;5.04
All Providers Combined;Meta, Colombia;;jul-20;46537;10552;all;N/A;median;10552;18;19864;5701;19.86;5.70
All Providers Combined;Narino, Colombia;;jul-20;44089;9518;all;N/A;median;9518;35;11394;5020;11.39;5.02
All Providers Combined;North Santander, Colombia;;jul-20;62179;16589;all;N/A;median;16589;35;14201;5007;14.20;5.01
All Providers Combined;Putumayo, Colombia;;jul-20;4445;899;all;N/A;median;899;35;6074;4299;6.07;4.30
All Providers Combined;Quindio, Colombia;;jul-20;30731;7071;all;N/A;median;7071;26;19655;5099;19.66;5.10
All Providers Combined;Risaralda, Colombia;;jul-20;90343;21069;all;N/A;median;21069;25;19563;5282;19.56;5.28
All Providers Combined;San Andrés and Providencia, Colombia;;jul-20;1001;196;all;N/A;median;196;92;1651;1836;1.65;1.84
All Providers Combined;Santander Department, Colombia;;jul-20;191518;44794;all;N/A;median;44794;26;24654;5630;24.65;5.63
All Providers Combined;Sucre, Colombia;;jul-20;16227;3744;all;N/A;median;3744;37;10162;4655;10.16;4.66
All Providers Combined;Tolima, Colombia;;jul-20;58960;14708;all;N/A;median;14708;24;14457;5387;14.46;5.39
All Providers Combined;Valle del Cauca, Colombia;;jul-20;282627;74626;all;N/A;median;74626;24;23085;5928;23.09;5.93
All Providers Combined;Vaupes, Colombia;;jul-20;8;3;all;N/A;median;3;21;25557;14221;25.56;14.22
All Providers Combined;Vichada, Colombia;;jul-20;2;2;all;N/A;median;2;44;24376;21424;24.38;21.42
