Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Pasto, Pasto, Narino, Colombia;;Jan 2018;7778;3691;all;N/A;median;2028;67;5192;1071;5.19;1.07
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;Jan 2018;4635;2467;all;N/A;median;1432;42;7374;1778;7.37;1.78
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;Jan 2018;1459;833;all;N/A;median;471;25;5252;1113;5.25;1.11
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;Jan 2018;7629;4183;all;N/A;median;2070;41;5484;1394;5.48;1.39
All Providers Combined;Montería, Montería, Córdoba, Colombia;;Jan 2018;4878;2720;all;N/A;median;1237;49;5716;1177;5.72;1.18
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;Jan 2018;18909;8741;all;N/A;median;4903;38;5562;2129;5.56;2.13
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;Jan 2018;9687;4371;all;N/A;median;2316;53;5137;1287;5.14;1.29
All Providers Combined;Pasto, Pasto, Narino, Colombia;;feb-18;7725;3897;all;N/A;median;2009;64;5242;1120;5.24;1.12
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;feb-18;5679;3025;all;N/A;median;1681;43;8212;1766;8.21;1.77
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;feb-18;1506;838;all;N/A;median;407;25;5312;1267;5.31;1.27
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;feb-18;7847;4269;all;N/A;median;1999;43;5686;1463;5.69;1.46
All Providers Combined;Montería, Montería, Córdoba, Colombia;;feb-18;4216;2365;all;N/A;median;1055;45;6900;1231;6.90;1.23
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;feb-18;19169;8913;all;N/A;median;5054;36;6197;2374;6.20;2.37
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;feb-18;12000;4815;all;N/A;median;2249;51;5180;1456;5.18;1.46
All Providers Combined;Pasto, Pasto, Narino, Colombia;;mar-18;9477;4583;all;N/A;median;2399;64;5280;1171;5.28;1.17
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;mar-18;6916;3979;all;N/A;median;1983;45;8116;1516;8.12;1.52
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;mar-18;1628;969;all;N/A;median;512;24;5485;1385;5.49;1.39
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;mar-18;8281;4538;all;N/A;median;2346;39;6505;1593;6.51;1.59
All Providers Combined;Montería, Montería, Córdoba, Colombia;;mar-18;5152;2857;all;N/A;median;1307;41;7803;1400;7.80;1.40
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;mar-18;19553;8981;all;N/A;median;4779;40;6987;2301;6.99;2.30
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;mar-18;11650;4616;all;N/A;median;2147;51;5208;1629;5.21;1.63
All Providers Combined;Pasto, Pasto, Narino, Colombia;;Apr 2018;9608;4875;all;N/A;median;2535;65;5912;1655;5.91;1.66
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;Apr 2018;7530;4049;all;N/A;median;1924;44;8734;1782;8.73;1.78
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;Apr 2018;1797;995;all;N/A;median;535;24;6965;1945;6.97;1.95
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;Apr 2018;8565;4678;all;N/A;median;2416;38;7753;1838;7.75;1.84
All Providers Combined;Montería, Montería, Córdoba, Colombia;;Apr 2018;5673;2958;all;N/A;median;1319;42;8494;1569;8.49;1.57
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;Apr 2018;18467;8778;all;N/A;median;4706;40;7580;2409;7.58;2.41
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;Apr 2018;11867;5217;all;N/A;median;2422;53;5638;1845;5.64;1.85
All Providers Combined;Pasto, Pasto, Narino, Colombia;;may-18;10597;5243;all;N/A;median;2546;62;6386;1652;6.39;1.65
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;may-18;8327;4360;all;N/A;median;2099;44;8434;1913;8.43;1.91
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;may-18;1529;979;all;N/A;median;540;23;8404;2014;8.40;2.01
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;may-18;9372;5219;all;N/A;median;2382;38;8488;1933;8.49;1.93
All Providers Combined;Montería, Montería, Córdoba, Colombia;;may-18;5582;3140;all;N/A;median;1449;35;8881;1990;8.88;1.99
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;may-18;17661;8769;all;N/A;median;4774;39;8592;2416;8.59;2.42
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;may-18;10189;4597;all;N/A;median;1981;53;6983;1966;6.98;1.97
All Providers Combined;Pasto, Pasto, Narino, Colombia;;jun-18;8435;4189;all;N/A;median;2065;63;6299;1617;6.30;1.62
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;jun-18;6609;3780;all;N/A;median;1848;41;9194;2008;9.19;2.01
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;jun-18;2182;1329;all;N/A;median;669;29;7968;1872;7.97;1.87
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;jun-18;9475;5230;all;N/A;median;2624;37;9130;2019;9.13;2.02
All Providers Combined;Montería, Montería, Córdoba, Colombia;;jun-18;5629;3279;all;N/A;median;1392;39;6952;1430;6.95;1.43
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;jun-18;16548;7704;all;N/A;median;4126;37;8900;2584;8.90;2.58
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;jun-18;6370;2984;all;N/A;median;1279;53;7549;2019;7.55;2.02
All Providers Combined;Pasto, Pasto, Narino, Colombia;;jul-18;8228;4246;all;N/A;median;2281;64;6506;1556;6.51;1.56
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;jul-18;9149;4724;all;N/A;median;2198;33;9405;2026;9.41;2.03
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;jul-18;2026;1279;all;N/A;median;618;25;8780;2025;8.78;2.03
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;jul-18;8753;4922;all;N/A;median;2513;38;9562;2031;9.56;2.03
All Providers Combined;Montería, Montería, Córdoba, Colombia;;jul-18;5296;3120;all;N/A;median;1395;34;8712;1940;8.71;1.94
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;jul-18;16795;8405;all;N/A;median;4524;37;9401;2656;9.40;2.66
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;jul-18;8053;3938;all;N/A;median;1788;54;8647;2066;8.65;2.07
All Providers Combined;Pasto, Pasto, Narino, Colombia;;Aug 2018;10796;5646;all;N/A;median;2894;65;7951;1929;7.95;1.93
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;Aug 2018;7976;4460;all;N/A;median;2127;32;10208;2097;10.21;2.10
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;Aug 2018;2334;1318;all;N/A;median;657;20;9807;2115;9.81;2.12
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;Aug 2018;11288;6211;all;N/A;median;3103;38;9635;2064;9.64;2.06
All Providers Combined;Montería, Montería, Córdoba, Colombia;;Aug 2018;6700;3699;all;N/A;median;1808;34;9211;2037;9.21;2.04
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;Aug 2018;18744;9422;all;N/A;median;4995;35;10437;2990;10.44;2.99
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;Aug 2018;10975;5548;all;N/A;median;2767;53;8532;2079;8.53;2.08
