Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Movistar;Antioquia, Colombia;;Jan 2018;1181;711;all;N/A;median;574;45;5228;787;5.23;0.79
Movistar;Atlantico, Colombia;;Jan 2018;1292;779;all;N/A;median;515;68;4614;729;4.61;0.73
Movistar;Bogota, Colombia;;Jan 2018;33796;20230;all;N/A;median;10668;31;5757;836;5.76;0.84
Movistar;Bolivar, Colombia;;Jan 2018;4457;2563;all;N/A;median;1483;66;5693;815;5.69;0.82
Movistar;Boyaca, Colombia;;Jan 2018;3541;1873;all;N/A;median;691;39;4587;859;4.59;0.86
Movistar;Caldas, Colombia;;Jan 2018;413;267;all;N/A;median;124;39;4908;791;4.91;0.79
Movistar;Caquetá, Colombia;;Jan 2018;736;499;all;N/A;median;186;48;4433;784;4.43;0.78
Movistar;Casanare, Colombia;;Jan 2018;499;297;all;N/A;median;103;38;4300;748;4.30;0.75
Movistar;Cauca Department, Colombia;;Jan 2018;2076;1284;all;N/A;median;825;45;4714;776;4.71;0.78
Movistar;Cesar, Colombia;;Jan 2018;1582;1035;all;N/A;median;279;66;5134;847;5.13;0.85
Movistar;Choco, Colombia;;Jan 2018;834;562;all;N/A;median;189;50;4702;825;4.70;0.83
Movistar;Cordoba, Colombia;;Jan 2018;2747;1751;all;N/A;median;813;61;5057;761;5.06;0.76
Movistar;Cundinamarca, Colombia;;Jan 2018;28198;16340;all;N/A;median;10238;33;5190;779;5.19;0.78
Movistar;Huila, Colombia;;Jan 2018;3814;2159;all;N/A;median;883;44;4139;850;4.14;0.85
Movistar;La Guajira, Colombia;;Jan 2018;879;518;all;N/A;median;157;73;3904;773;3.90;0.77
Movistar;Magdalena, Colombia;;Jan 2018;2618;1530;all;N/A;median;1088;71;4768;714;4.77;0.71
Movistar;Meta, Colombia;;Jan 2018;2768;1688;all;N/A;median;533;32;4910;844;4.91;0.84
Movistar;Narino, Colombia;;Jan 2018;2620;1225;all;N/A;median;422;50;4724;838;4.72;0.84
Movistar;Putumayo, Colombia;;Jan 2018;492;317;all;N/A;median;81;50;4448;812;4.45;0.81
Movistar;Quindio, Colombia;;Jan 2018;1916;1158;all;N/A;median;322;41;4636;859;4.64;0.86
Movistar;Risaralda, Colombia;;Jan 2018;175;109;all;N/A;median;58;48;2723;684;2.72;0.68
Movistar;San Andrés and Providencia, Colombia;;Jan 2018;216;124;all;N/A;median;65;150;788;562;0.79;0.56
Movistar;Santander Department, Colombia;;Jan 2018;2607;1686;all;N/A;median;551;41;4586;816;4.59;0.82
Movistar;Sucre, Colombia;;Jan 2018;1899;1045;all;N/A;median;835;74;4191;720;4.19;0.72
Movistar;Tolima, Colombia;;Jan 2018;7916;4895;all;N/A;median;2536;35;4814;811;4.81;0.81
Movistar;Valle del Cauca, Colombia;;Jan 2018;23507;13192;all;N/A;median;6608;44;5228;813;5.23;0.81
Movistar;Guaviare, Colombia;;Jan 2018;1;1;all;N/A;median;1;31;14675;13455;14.68;13.46
Claro;Antioquia, Colombia;;Jan 2018;53770;25645;all;N/A;median;15428;42;8779;2075;8.78;2.08
Claro;Atlantico, Colombia;;Jan 2018;14196;7201;all;N/A;median;3917;17;9774;2222;9.77;2.22
Claro;Bogota, Colombia;;Jan 2018;243510;112644;all;N/A;median;65453;16;8923;2078;8.92;2.08
Claro;Bolivar, Colombia;;Jan 2018;4500;2370;all;N/A;median;1591;18;7240;2071;7.24;2.07
Claro;Boyaca, Colombia;;Jan 2018;6345;3014;all;N/A;median;1864;21;5194;1117;5.19;1.12
Claro;Caldas, Colombia;;Jan 2018;5655;2655;all;N/A;median;1557;46;6054;1780;6.05;1.78
Claro;Caquetá, Colombia;;Jan 2018;1077;447;all;N/A;median;220;36;5196;1570;5.20;1.57
Claro;Casanare, Colombia;;Jan 2018;2320;1273;all;N/A;median;855;20;5351;1411;5.35;1.41
Claro;Cauca Department, Colombia;;Jan 2018;8492;3842;all;N/A;median;2177;63;5227;1296;5.23;1.30
Claro;Cesar, Colombia;;Jan 2018;2679;1213;all;N/A;median;774;32;5492;1849;5.49;1.85
Claro;Choco, Colombia;;Jan 2018;69;39;all;N/A;median;29;42;11093;9682;11.09;9.68
Claro;Cordoba, Colombia;;Jan 2018;2252;1202;all;N/A;median;753;36;8367;2103;8.37;2.10
Claro;Cundinamarca, Colombia;;Jan 2018;41545;19929;all;N/A;median;11995;19;6378;1863;6.38;1.86
Claro;Huila, Colombia;;Jan 2018;7572;3674;all;N/A;median;2129;30;5251;1417;5.25;1.42
Claro;La Guajira, Colombia;;Jan 2018;293;122;all;N/A;median;87;58;4664;1090;4.66;1.09
Claro;Magdalena, Colombia;;Jan 2018;5572;2726;all;N/A;median;1927;40;8245;1942;8.25;1.94
Claro;Meta, Colombia;;Jan 2018;6856;2955;all;N/A;median;1335;21;5963;2181;5.96;2.18
Claro;Narino, Colombia;;Jan 2018;6056;2994;all;N/A;median;1837;70;5232;1129;5.23;1.13
Claro;Putumayo, Colombia;;Jan 2018;34;25;all;N/A;median;9;85;1774;659;1.77;0.66
Claro;Quindio, Colombia;;Jan 2018;3694;1928;all;N/A;median;1166;49;5473;1747;5.47;1.75
Claro;Risaralda, Colombia;;Jan 2018;7946;3991;all;N/A;median;2320;49;7753;2002;7.75;2.00
Claro;San Andrés and Providencia, Colombia;;Jan 2018;7;5;all;N/A;median;2;151;3443;1894;3.44;1.89
Claro;Santander Department, Colombia;;Jan 2018;9686;4316;all;N/A;median;2860;43;6976;1685;6.98;1.69
Claro;Sucre, Colombia;;Jan 2018;995;442;all;N/A;median;282;28;5363;1557;5.36;1.56
Claro;Tolima, Colombia;;Jan 2018;7078;3790;all;N/A;median;2396;18;5322;1329;5.32;1.33
Claro;Valle del Cauca, Colombia;;Jan 2018;65507;31375;all;N/A;median;17621;61;6582;1932;6.58;1.93
ETB;Antioquia, Colombia;;Jan 2018;494;273;all;N/A;median;181;31;4884;1070;4.88;1.07
ETB;Atlantico, Colombia;;Jan 2018;233;80;all;N/A;median;43;85;3257;3210;3.26;3.21
ETB;Bogota, Colombia;;Jan 2018;139686;76677;all;N/A;median;43410;12;12094;6675;12.09;6.68
ETB;Bolivar, Colombia;;Jan 2018;7;3;all;N/A;median;3;40;507;510;0.51;0.51
ETB;Boyaca, Colombia;;Jan 2018;220;107;all;N/A;median;77;22;8689;8273;8.69;8.27
ETB;Caldas, Colombia;;Jan 2018;7;6;all;N/A;median;6;42;2039;1088;2.04;1.09
ETB;Casanare, Colombia;;Jan 2018;2;1;all;N/A;median;1;30;37995;23353;38.00;23.35
ETB;Cesar, Colombia;;Jan 2018;23;14;all;N/A;median;10;45;2457;1727;2.46;1.73
ETB;Cordoba, Colombia;;Jan 2018;116;43;all;N/A;median;9;35;4394;5940;4.39;5.94
ETB;Cundinamarca, Colombia;;Jan 2018;12138;6850;all;N/A;median;4687;17;9528;4892;9.53;4.89
ETB;Huila, Colombia;;Jan 2018;34;21;all;N/A;median;11;32;3186;2306;3.19;2.31
ETB;La Guajira, Colombia;;Jan 2018;15;5;all;N/A;median;5;44;1230;235;1.23;0.24
ETB;Magdalena, Colombia;;Jan 2018;21;20;all;N/A;median;16;39;2992;2991;2.99;2.99
ETB;Meta, Colombia;;Jan 2018;2442;1256;all;N/A;median;506;35;4066;958;4.07;0.96
ETB;Narino, Colombia;;Jan 2018;1;1;all;N/A;median;1;96;27327;10026;27.33;10.03
ETB;Quindio, Colombia;;Jan 2018;47;19;all;N/A;median;12;87;1894;2141;1.89;2.14
ETB;Risaralda, Colombia;;Jan 2018;188;110;all;N/A;median;59;48;2916;2894;2.92;2.89
ETB;Santander Department, Colombia;;Jan 2018;775;328;all;N/A;median;177;24;2992;995;2.99;1.00
ETB;Tolima, Colombia;;Jan 2018;75;49;all;N/A;median;39;26;6275;3522;6.28;3.52
ETB;Valle del Cauca, Colombia;;Jan 2018;35;25;all;N/A;median;11;55;2013;2277;2.01;2.28
Movistar;Antioquia, Colombia;;feb-18;966;552;all;N/A;median;485;44;5053;838;5.05;0.84
Movistar;Atlantico, Colombia;;feb-18;1357;775;all;N/A;median;484;66;5013;808;5.01;0.81
Movistar;Bogota, Colombia;;feb-18;32651;19516;all;N/A;median;10352;30;6434;869;6.43;0.87
Movistar;Bolivar, Colombia;;feb-18;3711;2104;all;N/A;median;1093;65;6238;853;6.24;0.85
Movistar;Boyaca, Colombia;;feb-18;3617;1964;all;N/A;median;679;37;4270;882;4.27;0.88
Movistar;Caldas, Colombia;;feb-18;521;306;all;N/A;median;146;36;4900;860;4.90;0.86
Movistar;Caquetá, Colombia;;feb-18;832;534;all;N/A;median;182;49;4704;746;4.70;0.75
Movistar;Casanare, Colombia;;feb-18;496;300;all;N/A;median;114;39;4476;789;4.48;0.79
Movistar;Cauca Department, Colombia;;feb-18;1924;1166;all;N/A;median;710;44;5175;801;5.18;0.80
Movistar;Cesar, Colombia;;feb-18;1384;959;all;N/A;median;260;65;5439;855;5.44;0.86
Movistar;Choco, Colombia;;feb-18;968;626;all;N/A;median;165;52;4571;824;4.57;0.82
Movistar;Cordoba, Colombia;;feb-18;2070;1319;all;N/A;median;618;60;5113;782;5.11;0.78
Movistar;Cundinamarca, Colombia;;feb-18;26665;15732;all;N/A;median;9861;33;5280;802;5.28;0.80
Movistar;Huila, Colombia;;feb-18;3979;2097;all;N/A;median;781;43;4866;885;4.87;0.89
Movistar;La Guajira, Colombia;;feb-18;957;544;all;N/A;median;148;72;4488;835;4.49;0.84
Movistar;Magdalena, Colombia;;feb-18;2381;1453;all;N/A;median;929;68;5068;786;5.07;0.79
Movistar;Meta, Colombia;;feb-18;2838;1816;all;N/A;median;533;30;5251;952;5.25;0.95
Movistar;Narino, Colombia;;feb-18;1776;1058;all;N/A;median;374;48;4884;861;4.88;0.86
Movistar;North Santander, Colombia;;feb-18;1;1;all;N/A;median;1;61;2202;541;2.20;0.54
Movistar;Putumayo, Colombia;;feb-18;458;265;all;N/A;median;70;50;5247;924;5.25;0.92
Movistar;Quindio, Colombia;;feb-18;2135;1394;all;N/A;median;337;42;5071;897;5.07;0.90
Movistar;Risaralda, Colombia;;feb-18;198;139;all;N/A;median;62;42;4044;822;4.04;0.82
Movistar;San Andrés and Providencia, Colombia;;feb-18;37;18;all;N/A;median;14;179;596;448;0.60;0.45
Movistar;Santander Department, Colombia;;feb-18;2607;1696;all;N/A;median;619;40;5102;878;5.10;0.88
Movistar;Sucre, Colombia;;feb-18;1137;619;all;N/A;median;470;75;4454;716;4.45;0.72
Movistar;Tolima, Colombia;;feb-18;9135;5569;all;N/A;median;2790;35;4807;821;4.81;0.82
Movistar;Valle del Cauca, Colombia;;feb-18;23314;13953;all;N/A;median;7330;43;5808;841;5.81;0.84
Movistar;Guaviare, Colombia;;feb-18;3;2;all;N/A;median;1;10;4416;5147;4.42;5.15
Claro;Antioquia, Colombia;;feb-18;62850;28712;all;N/A;median;16721;42;9488;2147;9.49;2.15
Claro;Atlantico, Colombia;;feb-18;14100;7427;all;N/A;median;4284;17;10118;2243;10.12;2.24
Claro;Bogota, Colombia;;feb-18;317189;134940;all;N/A;median;73490;18;8538;2098;8.54;2.10
Claro;Bolivar, Colombia;;feb-18;3318;1706;all;N/A;median;1102;15;9591;2147;9.59;2.15
Claro;Boyaca, Colombia;;feb-18;6808;3233;all;N/A;median;1951;21;5258;1265;5.26;1.27
Claro;Caldas, Colombia;;feb-18;6253;2996;all;N/A;median;1660;42;6334;1871;6.33;1.87
Claro;Caquetá, Colombia;;feb-18;936;408;all;N/A;median;168;32;5215;1850;5.22;1.85
Claro;Casanare, Colombia;;feb-18;2218;1227;all;N/A;median;814;21;6094;1930;6.09;1.93
Claro;Cauca Department, Colombia;;feb-18;8326;3513;all;N/A;median;1801;63;5271;1548;5.27;1.55
Claro;Cesar, Colombia;;feb-18;2469;1291;all;N/A;median;819;32;8393;2020;8.39;2.02
Claro;Choco, Colombia;;feb-18;63;40;all;N/A;median;32;56;7691;3439;7.69;3.44
Claro;Cordoba, Colombia;;feb-18;2161;1206;all;N/A;median;711;31;8627;2209;8.63;2.21
Claro;Cundinamarca, Colombia;;feb-18;49488;22232;all;N/A;median;12795;20;7042;2019;7.04;2.02
Claro;Huila, Colombia;;feb-18;8647;4146;all;N/A;median;2217;30;5294;1658;5.29;1.66
Claro;La Guajira, Colombia;;feb-18;217;106;all;N/A;median;84;64;5071;1072;5.07;1.07
Claro;Magdalena, Colombia;;feb-18;4388;2262;all;N/A;median;1478;41;9496;2028;9.50;2.03
Claro;Meta, Colombia;;feb-18;6561;3116;all;N/A;median;1412;21;6585;2278;6.59;2.28
Claro;Narino, Colombia;;feb-18;6629;3215;all;N/A;median;1896;67;5242;1230;5.24;1.23
Claro;Putumayo, Colombia;;feb-18;4;4;all;N/A;median;3;92;4265;2638;4.27;2.64
Claro;Quindio, Colombia;;feb-18;3676;1886;all;N/A;median;1101;49;6674;1972;6.67;1.97
Claro;Risaralda, Colombia;;feb-18;8049;3932;all;N/A;median;2227;49;8369;2056;8.37;2.06
