place_name,aggregate_date,isp_name,total_samples,consistency_broadband,consistency_ultra_broadband
Arauca,2019-01-01T00:00:00Z,Tigo,2,0,0
Arauca,2019-01-01T00:00:00Z,Movistar,141,0,0
Arauca,2019-01-01T00:00:00Z,All providers combined,145,0,0
Arauca,2019-01-01T00:00:00Z,Claro,1,0,0
Arauca,2019-01-01T00:00:00Z,ETB,1,0,0
Arauca,2019-02-01T00:00:00Z,Movistar,110,0.0272727272727273,0.0181818181818182
Arauca,2019-02-01T00:00:00Z,All providers combined,113,0.0265486725663717,0.0176991150442478
Arauca,2019-02-01T00:00:00Z,Tigo,3,0,0
Arauca,2019-03-01T00:00:00Z,ETB,4,0,0
Arauca,2019-03-01T00:00:00Z,Tigo,1,0,0
Arauca,2019-03-01T00:00:00Z,Claro,1,0,0
Arauca,2019-03-01T00:00:00Z,Movistar,116,0.0344827586206896,0
Arauca,2019-03-01T00:00:00Z,All providers combined,122,0.0327868852459016,0
Arauca,2019-04-01T00:00:00Z,Claro,5,0,0
Arauca,2019-04-01T00:00:00Z,Movistar,130,0.0692307692307692,0.00769230769230769
Arauca,2019-04-01T00:00:00Z,All providers combined,138,0.072463768115942,0.0072463768115942
Arauca,2019-04-01T00:00:00Z,Tigo,2,0,0
Arauca,2019-04-01T00:00:00Z,ETB,1,1,0
Arauca,2019-05-01T00:00:00Z,Claro,2,0,0
Arauca,2019-05-01T00:00:00Z,All providers combined,113,0.0530973451327434,0.0176991150442478
Arauca,2019-05-01T00:00:00Z,Tigo,1,0,0
Arauca,2019-05-01T00:00:00Z,Movistar,110,0.0545454545454545,0.0181818181818182
Arauca,2019-06-01T00:00:00Z,Movistar,161,0.062111801242236,0.0372670807453416
Arauca,2019-06-01T00:00:00Z,Tigo,1,0,0
Arauca,2019-06-01T00:00:00Z,All providers combined,167,0.0598802395209581,0.0359281437125748
Arauca,2019-06-01T00:00:00Z,Claro,5,0,0
Arauca,2019-07-01T00:00:00Z,Claro,3,0,0
Arauca,2019-07-01T00:00:00Z,All providers combined,130,0.0307692307692308,0.00769230769230769
Arauca,2019-07-01T00:00:00Z,Movistar,126,0.0317460317460317,0.0079365079365079309
Arauca,2019-07-01T00:00:00Z,Tigo,1,0,0
Arauca,2019-08-01T00:00:00Z,Movistar,91,0.0549450549450549,0
Arauca,2019-08-01T00:00:00Z,Claro,1,0,0
Arauca,2019-08-01T00:00:00Z,All providers combined,92,0.0543478260869565,0
Arauca,2019-09-01T00:00:00Z,Movistar,88,0.0340909090909091,0
Arauca,2019-09-01T00:00:00Z,Claro,1,0,0
Arauca,2019-09-01T00:00:00Z,Tigo,1,0,0
Arauca,2019-09-01T00:00:00Z,All providers combined,90,0.0333333333333333,0
Arauca,2019-10-01T00:00:00Z,Movistar,89,0.0337078651685393,0
Arauca,2019-10-01T00:00:00Z,All providers combined,92,0.0326086956521739,0
Arauca,2019-10-01T00:00:00Z,Tigo,1,0,0
Arauca,2019-10-01T00:00:00Z,Claro,2,0,0
Arauca,2019-11-01T00:00:00Z,Movistar,85,0.0352941176470588,0.0235294117647059
Arauca,2019-11-01T00:00:00Z,Claro,2,0,0
Arauca,2019-11-01T00:00:00Z,All providers combined,88,0.0340909090909091,0.0227272727272727
Arauca,2019-11-01T00:00:00Z,Tigo,1,0,0
Arauca,2019-12-01T00:00:00Z,All providers combined,76,0.0263157894736842,0.0131578947368421
Arauca,2019-12-01T00:00:00Z,Tigo,2,0,0
Arauca,2019-12-01T00:00:00Z,Claro,1,0,0
Arauca,2019-12-01T00:00:00Z,Movistar,73,0.0273972602739726,0.0136986301369863
Arauca,2020-01-01T00:00:00Z,Movistar,70,0.0142857142857143,0.0142857142857143
Arauca,2020-01-01T00:00:00Z,All providers combined,70,0.0142857142857143,0.0142857142857143
Arauca,2020-02-01T00:00:00Z,Movistar,70,0.0428571428571429,0.0142857142857143
Arauca,2020-02-01T00:00:00Z,All providers combined,70,0.0428571428571429,0.0142857142857143
Arauca,2020-03-01T00:00:00Z,Movistar,103,0.0194174757281553,0.0194174757281553
Arauca,2020-03-01T00:00:00Z,All providers combined,103,0.0194174757281553,0.0194174757281553
Arauca,2020-04-01T00:00:00Z,Movistar,84,0.0119047619047619,0
Arauca,2020-04-01T00:00:00Z,All providers combined,85,0.0117647058823529,0
Arauca,2020-04-01T00:00:00Z,Claro,1,0,0
Arauca,2020-05-01T00:00:00Z,All providers combined,117,0.00854700854700854,0
Arauca,2020-05-01T00:00:00Z,Movistar,117,0.00854700854700854,0
Arauca,2020-06-01T00:00:00Z,All providers combined,96,0.0104166666666667,0
Arauca,2020-06-01T00:00:00Z,Movistar,96,0.0104166666666667,0
