Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Colombia;;Jan 2018;24019;8322;N/A;3g;median;8322;61;2829;786;2.83;0.79
All Providers Combined;Colombia;;Jan 2018;41182;17004;N/A;lte;median;17004;35;17632;9131;17.63;9.13
All Providers Combined;Colombia;;Jan 2018;65425;23027;N/A;cellular;median;23027;44;10807;4743;10.81;4.74
All Providers Combined;Colombia;;feb-18;21389;7479;N/A;3g;median;7479;60;2869;814;2.87;0.81
All Providers Combined;Colombia;;feb-18;41462;16820;N/A;lte;median;16820;34;16017;10556;16.02;10.56
All Providers Combined;Colombia;;feb-18;63031;22270;N/A;cellular;median;22270;42;10149;6267;10.15;6.27
All Providers Combined;Colombia;;mar-18;24800;8765;N/A;3g;median;8765;59;2839;810;2.84;0.81
All Providers Combined;Colombia;;mar-18;44952;18269;N/A;lte;median;18269;33;17366;10595;17.37;10.60
All Providers Combined;Colombia;;mar-18;70001;24587;N/A;cellular;median;24587;41;10943;6005;10.94;6.01
All Providers Combined;Colombia;;Apr 2018;23458;8177;N/A;3g;median;8177;59;2894;806;2.89;0.81
All Providers Combined;Colombia;;Apr 2018;44134;18159;N/A;lte;median;18159;34;17408;10373;17.41;10.37
All Providers Combined;Colombia;;Apr 2018;67851;23904;N/A;cellular;median;23904;40;11276;6132;11.28;6.13
All Providers Combined;Colombia;;may-18;22748;7783;N/A;3g;median;7783;59;2892;802;2.89;0.80
All Providers Combined;Colombia;;may-18;45143;18291;N/A;lte;median;18291;35;16910;10438;16.91;10.44
All Providers Combined;Colombia;;may-18;68261;23763;N/A;cellular;median;23763;41;11147;6446;11.15;6.45
All Providers Combined;Colombia;;jun-18;20769;7196;N/A;3g;median;7196;59;2892;796;2.89;0.80
All Providers Combined;Colombia;;jun-18;42220;16903;N/A;lte;median;16903;35;16260;10115;16.26;10.12
All Providers Combined;Colombia;;jun-18;63482;22026;N/A;cellular;median;22026;41;10504;6115;10.50;6.12
All Providers Combined;Colombia;;jul-18;22079;7618;N/A;3g;median;7618;59;2880;782;2.88;0.78
All Providers Combined;Colombia;;jul-18;44421;18379;N/A;lte;median;18379;35;15876;10557;15.88;10.56
All Providers Combined;Colombia;;jul-18;66810;23682;N/A;cellular;median;23682;40;10226;6452;10.23;6.45
All Providers Combined;Colombia;;Aug 2018;22339;7747;N/A;3g;median;7747;59;2899;822;2.90;0.82
All Providers Combined;Colombia;;Aug 2018;49398;19673;N/A;lte;median;19673;36;16791;10535;16.79;10.54
All Providers Combined;Colombia;;Aug 2018;72051;24988;N/A;cellular;median;24988;42;11356;6689;11.36;6.69
All Providers Combined;Colombia;;sep-18;24957;8528;N/A;3g;median;8528;58;3052;840;3.05;0.84
All Providers Combined;Colombia;;sep-18;57998;22665;N/A;lte;median;22665;35;17338;10467;17.34;10.47
All Providers Combined;Colombia;;sep-18;83395;28241;N/A;cellular;median;28241;40;12314;6964;12.31;6.96
All Providers Combined;Colombia;;oct-18;28245;9317;N/A;3g;median;9317;60;2996;857;3.00;0.86
All Providers Combined;Colombia;;oct-18;73113;25784;N/A;lte;median;25784;36;17174;10259;17.17;10.26
