Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Amazonas, Colombia;;Jan 2022;173;33;N/A;cellular;median;33;96;3.144.152;2.616.832;1228;4727;1.23;4.73
All Providers Combined;Antioquia, Colombia;;Jan 2022;17894;6417;N/A;cellular;median;6417;36;66.915;201.401;12217;8292;12.22;8.29
All Providers Combined;Arauca, Colombia;;Jan 2022;393;106;N/A;cellular;median;106;54;893.097;211.071;7264;6345;7.26;6.35
All Providers Combined;Atlantico, Colombia;;Jan 2022;6773;2798;N/A;cellular;median;2798;30;806.303;150.163;14440;10835;14.44;10.84
All Providers Combined;Bogota, Colombia;;Jan 2022;44888;14499;N/A;cellular;median;14499;28;435.013;121.505;14416;9279;14.42;9.28
All Providers Combined;Bolivar, Colombia;;Jan 2022;2545;998;N/A;cellular;median;998;37;882.048;178.508;13596;9015;13.60;9.02
All Providers Combined;Boyaca, Colombia;;Jan 2022;2675;983;N/A;cellular;median;983;39;631.637;215.071;9554;6959;9.55;6.96
All Providers Combined;Caldas, Colombia;;Jan 2022;1660;676;N/A;cellular;median;676;46;717.362;169.579;11012;7929;11.01;7.93
All Providers Combined;Caquetá, Colombia;;Jan 2022;668;175;N/A;cellular;median;175;55;788.673;267.223;6503;7899;6.50;7.90
All Providers Combined;Casanare, Colombia;;Jan 2022;1140;300;N/A;cellular;median;300;36;626.073;306.006;11068;9242;11.07;9.24
All Providers Combined;Cauca Department, Colombia;;Jan 2022;1301;472;N/A;cellular;median;472;44;643.315;184.012;11608;7566;11.61;7.57
All Providers Combined;Cesar, Colombia;;Jan 2022;1079;486;N/A;cellular;median;486;46;976.657;18.874;12771;8357;12.77;8.36
All Providers Combined;Choco, Colombia;;Jan 2022;450;119;N/A;cellular;median;119;69;908.883;314.439;5163;3757;5.16;3.76
All Providers Combined;Cordoba, Colombia;;Jan 2022;1432;499;N/A;cellular;median;499;45;854.646;144.313;13742;9063;13.74;9.06
All Providers Combined;Cundinamarca, Colombia;;Jan 2022;8973;3413;N/A;cellular;median;3413;31;485.278;160.415;9248;6697;9.25;6.70
All Providers Combined;Guainia, Colombia;;Jan 2022;30;5;N/A;cellular;median;5;75;1.614.043;1.089.668;5675;3104;5.68;3.10
All Providers Combined;Huila, Colombia;;Jan 2022;1668;525;N/A;cellular;median;525;43;730.488;281.894;10533;6483;10.53;6.48
All Providers Combined;La Guajira, Colombia;;Jan 2022;811;298;N/A;cellular;median;298;43;115.839;21.368;8969;8610;8.97;8.61
All Providers Combined;Magdalena, Colombia;;Jan 2022;2173;743;N/A;cellular;median;743;41;895.939;178.386;11208;8839;11.21;8.84
All Providers Combined;Meta, Colombia;;Jan 2022;2207;717;N/A;cellular;median;717;37;571.752;154.277;10974;7568;10.97;7.57
All Providers Combined;Narino, Colombia;;Jan 2022;1337;491;N/A;cellular;median;491;51;82.954;271.996;11078;8963;11.08;8.96
All Providers Combined;North Santander, Colombia;;Jan 2022;2051;760;N/A;cellular;median;760;52;859.866;217.874;12217;9212;12.22;9.21
All Providers Combined;Putumayo, Colombia;;Jan 2022;616;125;N/A;cellular;median;125;68;1.014.641;353.048;4879;6287;4.88;6.29
All Providers Combined;Quindio, Colombia;;Jan 2022;1156;469;N/A;cellular;median;469;45;658.002;177.467;12867;7703;12.87;7.70
All Providers Combined;Risaralda, Colombia;;Jan 2022;1922;682;N/A;cellular;median;682;42;658.742;163.972;12331;8209;12.33;8.21
All Providers Combined;San Andrés and Providencia, Colombia;;Jan 2022;1067;288;N/A;cellular;median;288;71;1.546.839;168.014;8789;5866;8.79;5.87
All Providers Combined;Santander Department, Colombia;;Jan 2022;4874;1821;N/A;cellular;median;1821;46;819.352;202.326;13846;8654;13.85;8.65
All Providers Combined;Sucre, Colombia;;Jan 2022;1204;409;N/A;cellular;median;409;46;982.757;160.405;8803;6762;8.80;6.76
All Providers Combined;Tolima, Colombia;;Jan 2022;2593;991;N/A;cellular;median;991;37;615.791;235.681;8878;6114;8.88;6.11
All Providers Combined;Valle del Cauca, Colombia;;Jan 2022;8692;3606;N/A;cellular;median;3606;39;588.028;151.226;14914;9598;14.91;9.60
All Providers Combined;Vaupes, Colombia;;Jan 2022;16;2;N/A;cellular;median;2;77;;;503;1032;0.50;1.03
All Providers Combined;Vichada, Colombia;;Jan 2022;67;12;N/A;cellular;median;12;57;1.727.658;823.284;7175;6397;7.18;6.40
All Providers Combined;Guaviare, Colombia;;Jan 2022;215;46;N/A;cellular;median;46;44;782.561;235.264;12885;9738;12.89;9.74
All Providers Combined;Amazonas, Colombia;;feb-22;92;27;N/A;cellular;median;27;73;2.429.524;3.078.793;4613;3076;4.61;3.08
All Providers Combined;Antioquia, Colombia;;feb-22;18042;6279;N/A;cellular;median;6279;36;67.394;186.848;12348;8653;12.35;8.65
All Providers Combined;Arauca, Colombia;;feb-22;267;95;N/A;cellular;median;95;59;962.511;20.099;9674;6856;9.67;6.86
All Providers Combined;Atlantico, Colombia;;feb-22;7271;2901;N/A;cellular;median;2901;31;81.352;154.872;13877;10877;13.88;10.88
All Providers Combined;Bogota, Colombia;;feb-22;45743;15282;N/A;cellular;median;15282;28;446.273;123.291;13777;9126;13.78;9.13
All Providers Combined;Bolivar, Colombia;;feb-22;3310;921;N/A;cellular;median;921;36;820.636;155.655;14581;8834;14.58;8.83
All Providers Combined;Boyaca, Colombia;;feb-22;2068;819;N/A;cellular;median;819;37;572.856;154.294;11336;7361;11.34;7.36
All Providers Combined;Caldas, Colombia;;feb-22;1571;566;N/A;cellular;median;566;43;684.719;146.205;12766;8650;12.77;8.65
All Providers Combined;Caquetá, Colombia;;feb-22;571;160;N/A;cellular;median;160;53;790.186;162.201;8136;7247;8.14;7.25
All Providers Combined;Casanare, Colombia;;feb-22;968;274;N/A;cellular;median;274;36;562.922;174.116;12250;9357;12.25;9.36
All Providers Combined;Cauca Department, Colombia;;feb-22;1366;448;N/A;cellular;median;448;44;619.685;14.827;11135;7494;11.14;7.49
All Providers Combined;Cesar, Colombia;;feb-22;1269;432;N/A;cellular;median;432;41;918.957;151.979;12674;8971;12.67;8.97
All Providers Combined;Choco, Colombia;;feb-22;333;111;N/A;cellular;median;111;60;1.297.183;421.251;7242;4527;7.24;4.53
All Providers Combined;Cordoba, Colombia;;feb-22;1165;457;N/A;cellular;median;457;46;84.254;109.674;14796;9733;14.80;9.73
All Providers Combined;Cundinamarca, Colombia;;feb-22;7536;2987;N/A;cellular;median;2987;29;456.308;137.253;10467;7711;10.47;7.71
All Providers Combined;Guainia, Colombia;;feb-22;20;5;N/A;cellular;median;5;102;1.668.028;231.596;905;7911;0.91;7.91
All Providers Combined;Huila, Colombia;;feb-22;1426;509;N/A;cellular;median;509;42;697.818;215.338;11870;7466;11.87;7.47
All Providers Combined;La Guajira, Colombia;;feb-22;975;270;N/A;cellular;median;270;48;1.183.792;205.281;9979;8264;9.98;8.26
All Providers Combined;Magdalena, Colombia;;feb-22;1654;643;N/A;cellular;median;643;37;860.017;168.098;14110;9573;14.11;9.57
All Providers Combined;Meta, Colombia;;feb-22;1917;732;N/A;cellular;median;732;35;557.616;162.489;11321;7679;11.32;7.68
All Providers Combined;Narino, Colombia;;feb-22;2104;456;N/A;cellular;median;456;48;794.917;168.468;14022;8927;14.02;8.93
All Providers Combined;North Santander, Colombia;;feb-22;2585;715;N/A;cellular;median;715;47;803.741;162.766;12932;9239;12.93;9.24
All Providers Combined;Putumayo, Colombia;;feb-22;1273;114;N/A;cellular;median;114;58;72.812;158.319;6122;6214;6.12;6.21
All Providers Combined;Quindio, Colombia;;feb-22;1342;429;N/A;cellular;median;429;44;612.196;122.549;14664;8090;14.66;8.09
All Providers Combined;Risaralda, Colombia;;feb-22;1843;675;N/A;cellular;median;675;42;642.374;15.448;12731;8383;12.73;8.38
All Providers Combined;San Andrés and Providencia, Colombia;;feb-22;849;236;N/A;cellular;median;236;66;1.551.013;190.764;9883;6659;9.88;6.66
All Providers Combined;Santander Department, Colombia;;feb-22;5150;1626;N/A;cellular;median;1626;47;825.139;161.583;14710;8758;14.71;8.76
All Providers Combined;Sucre, Colombia;;feb-22;975;309;N/A;cellular;median;309;38;905.302;147.748;12982;9163;12.98;9.16
All Providers Combined;Tolima, Colombia;;feb-22;2067;690;N/A;cellular;median;690;34;540.912;177.148;12454;7546;12.45;7.55
All Providers Combined;Valle del Cauca, Colombia;;feb-22;10449;4034;N/A;cellular;median;4034;39;580.928;12.031;14766;9232;14.77;9.23
All Providers Combined;Vaupes, Colombia;;feb-22;1;1;N/A;cellular;median;1;71;;;314;227;0.31;0.23
All Providers Combined;Vichada, Colombia;;feb-22;62;17;N/A;cellular;median;17;99;2.405.185;94.732;3350;1638;3.35;1.64
All Providers Combined;Guaviare, Colombia;;feb-22;181;40;N/A;cellular;median;40;33;475.912;8.847;13174;9786;13.17;9.79
All Providers Combined;Amazonas, Colombia;;mar-22;134;33;N/A;cellular;median;33;72;2.687.989;193.194;2608;5828;2.61;5.83
All Providers Combined;Antioquia, Colombia;;mar-22;17303;6461;N/A;cellular;median;6461;36;659.612;158.411;12107;8541;12.11;8.54
All Providers Combined;Arauca, Colombia;;mar-22;347;121;N/A;cellular;median;121;58;992.102;30.939;9644;7496;9.64;7.50
All Providers Combined;Atlantico, Colombia;;mar-22;7748;3041;N/A;cellular;median;3041;31;81.675;160.686;12375;10340;12.38;10.34
All Providers Combined;Bogota, Colombia;;mar-22;47148;16956;N/A;cellular;median;16956;29;462.475;131.702;12735;9199;12.74;9.20
All Providers Combined;Bolivar, Colombia;;mar-22;3158;1041;N/A;cellular;median;1041;36;835.976;141.011;14116;9320;14.12;9.32
All Providers Combined;Boyaca, Colombia;;mar-22;2804;902;N/A;cellular;median;902;38;609.423;163.131;10144;6846;10.14;6.85
All Providers Combined;Caldas, Colombia;;mar-22;2072;642;N/A;cellular;median;642;47;69.35;125.834;11057;8154;11.06;8.15
All Providers Combined;Caquetá, Colombia;;mar-22;630;163;N/A;cellular;median;163;57;91.32;217.967;7887;8182;7.89;8.18
All Providers Combined;Casanare, Colombia;;mar-22;1160;318;N/A;cellular;median;318;36;553.047;140.929;12138;9902;12.14;9.90
