Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Movistar;Antioquia, Colombia;;Jan 2018;1315;599;N/A;cellular;median;599;45;8766;3676;8.77;3.68
Movistar;Arauca, Colombia;;Jan 2018;41;15;N/A;cellular;median;15;71;8189;5500;8.19;5.50
Movistar;Atlantico, Colombia;;Jan 2018;386;181;N/A;cellular;median;181;61;16254;8507;16.25;8.51
Movistar;Bogota, Colombia;;Jan 2018;3187;1706;N/A;cellular;median;1706;31;9901;5682;9.90;5.68
Movistar;Bolivar, Colombia;;Jan 2018;293;132;N/A;cellular;median;132;66;8633;5024;8.63;5.02
Movistar;Boyaca, Colombia;;Jan 2018;319;117;N/A;cellular;median;117;41;2844;1276;2.84;1.28
Movistar;Caldas, Colombia;;Jan 2018;160;71;N/A;cellular;median;71;47;8138;5342;8.14;5.34
Movistar;Caquetá, Colombia;;Jan 2018;38;17;N/A;cellular;median;17;55;7869;3446;7.87;3.45
Movistar;Casanare, Colombia;;Jan 2018;55;31;N/A;cellular;median;31;30;16681;4822;16.68;4.82
Movistar;Cauca Department, Colombia;;Jan 2018;111;61;N/A;cellular;median;61;42;7814;5367;7.81;5.37
Movistar;Cesar, Colombia;;Jan 2018;206;82;N/A;cellular;median;82;72;6590;6730;6.59;6.73
Movistar;Choco, Colombia;;Jan 2018;25;11;N/A;cellular;median;11;53;10543;6683;10.54;6.68
Movistar;Cordoba, Colombia;;Jan 2018;78;46;N/A;cellular;median;46;70;3580;2174;3.58;2.17
Movistar;Cundinamarca, Colombia;;Jan 2018;611;334;N/A;cellular;median;334;37;3206;1957;3.21;1.96
Movistar;Huila, Colombia;;Jan 2018;195;95;N/A;cellular;median;95;38;9771;4063;9.77;4.06
Movistar;La Guajira, Colombia;;Jan 2018;69;36;N/A;cellular;median;36;76;2990;2708;2.99;2.71
Movistar;Magdalena, Colombia;;Jan 2018;124;61;N/A;cellular;median;61;69;7424;7271;7.42;7.27
Movistar;Meta, Colombia;;Jan 2018;220;90;N/A;cellular;median;90;34;10013;3351;10.01;3.35
Movistar;Narino, Colombia;;Jan 2018;255;86;N/A;cellular;median;86;51;7960;7686;7.96;7.69
Movistar;North Santander, Colombia;;Jan 2018;197;105;N/A;cellular;median;105;69;14468;5742;14.47;5.74
Movistar;Putumayo, Colombia;;Jan 2018;36;15;N/A;cellular;median;15;58;6006;2105;6.01;2.11
Movistar;Quindio, Colombia;;Jan 2018;128;79;N/A;cellular;median;79;58;11292;7701;11.29;7.70
Movistar;Risaralda, Colombia;;Jan 2018;195;96;N/A;cellular;median;96;50;12265;8074;12.27;8.07
Movistar;San Andrés and Providencia, Colombia;;Jan 2018;79;40;N/A;cellular;median;40;170;749;683;0.75;0.68
Movistar;Santander Department, Colombia;;Jan 2018;750;312;N/A;cellular;median;312;59;7073;3948;7.07;3.95
Movistar;Sucre, Colombia;;Jan 2018;79;31;N/A;cellular;median;31;69;2708;1859;2.71;1.86
Movistar;Tolima, Colombia;;Jan 2018;219;119;N/A;cellular;median;119;32;9234;4159;9.23;4.16
Movistar;Valle del Cauca, Colombia;;Jan 2018;1534;722;N/A;cellular;median;722;41;11793;7960;11.79;7.96
Movistar;Guaviare, Colombia;;Jan 2018;19;9;N/A;cellular;median;9;38;5184;5022;5.18;5.02
Movistar;Antioquia, Colombia;;feb-18;1219;554;N/A;cellular;median;554;41;8617;4719;8.62;4.72
Movistar;Arauca, Colombia;;feb-18;32;20;N/A;cellular;median;20;65;3954;3593;3.95;3.59
Movistar;Atlantico, Colombia;;feb-18;326;172;N/A;cellular;median;172;59;12536;10995;12.54;11.00
Movistar;Bogota, Colombia;;feb-18;3604;1805;N/A;cellular;median;1805;30;9640;5914;9.64;5.91
Movistar;Bolivar, Colombia;;feb-18;251;111;N/A;cellular;median;111;65;9101;6666;9.10;6.67
Movistar;Boyaca, Colombia;;feb-18;205;90;N/A;cellular;median;90;37;3585;1738;3.59;1.74
Movistar;Caldas, Colombia;;feb-18;179;77;N/A;cellular;median;77;44;9015;5806;9.02;5.81
Movistar;Caquetá, Colombia;;feb-18;60;28;N/A;cellular;median;28;43;4030;3551;4.03;3.55
Movistar;Casanare, Colombia;;feb-18;57;26;N/A;cellular;median;26;39;7719;3911;7.72;3.91
Movistar;Cauca Department, Colombia;;feb-18;146;55;N/A;cellular;median;55;46;3834;2411;3.83;2.41
Movistar;Cesar, Colombia;;feb-18;264;90;N/A;cellular;median;90;76;5858;5916;5.86;5.92
Movistar;Choco, Colombia;;feb-18;24;9;N/A;cellular;median;9;56;8924;2173;8.92;2.17
Movistar;Cordoba, Colombia;;feb-18;70;39;N/A;cellular;median;39;72;3308;2077;3.31;2.08
Movistar;Cundinamarca, Colombia;;feb-18;894;311;N/A;cellular;median;311;34;5304;2795;5.30;2.80
Movistar;Huila, Colombia;;feb-18;152;84;N/A;cellular;median;84;41;12505;5167;12.51;5.17
Movistar;La Guajira, Colombia;;feb-18;96;36;N/A;cellular;median;36;71;3280;3383;3.28;3.38
Movistar;Magdalena, Colombia;;feb-18;85;51;N/A;cellular;median;51;66;6915;6229;6.92;6.23
