Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Claro;Antioquia, Colombia;;Jan 2018;1695;813;N/A;cellular;median;813;63;13352;3471;13.35;3.47
Claro;Arauca, Colombia;;Jan 2018;50;16;N/A;cellular;median;16;71;8192;3377;8.19;3.38
Claro;Atlantico, Colombia;;Jan 2018;713;243;N/A;cellular;median;243;65;20702;7552;20.70;7.55
Claro;Bogota, Colombia;;Jan 2018;5231;2411;N/A;cellular;median;2411;58;13123;5356;13.12;5.36
Claro;Bolivar, Colombia;;Jan 2018;362;184;N/A;cellular;median;184;74;14712;4423;14.71;4.42
Claro;Boyaca, Colombia;;Jan 2018;322;166;N/A;cellular;median;166;63;12042;2317;12.04;2.32
Claro;Caldas, Colombia;;Jan 2018;321;121;N/A;cellular;median;121;70;11936;3403;11.94;3.40
Claro;Caquetá, Colombia;;Jan 2018;54;31;N/A;cellular;median;31;71;6480;2335;6.48;2.34
Claro;Casanare, Colombia;;Jan 2018;93;49;N/A;cellular;median;49;59;13814;5699;13.81;5.70
Claro;Cauca Department, Colombia;;Jan 2018;107;68;N/A;cellular;median;68;75;6589;1509;6.59;1.51
Claro;Cesar, Colombia;;Jan 2018;105;60;N/A;cellular;median;60;82;10724;1988;10.72;1.99
Claro;Choco, Colombia;;Jan 2018;60;35;N/A;cellular;median;35;89;5083;4950;5.08;4.95
Claro;Cordoba, Colombia;;Jan 2018;223;98;N/A;cellular;median;98;71;17648;5909;17.65;5.91
Claro;Cundinamarca, Colombia;;Jan 2018;999;494;N/A;cellular;median;494;58;9270;1630;9.27;1.63
Claro;Guainia, Colombia;;Jan 2018;3;1;N/A;cellular;median;1;664;329;100;0.33;0.10
Claro;Huila, Colombia;;Jan 2018;134;87;N/A;cellular;median;87;70;9913;1946;9.91;1.95
Claro;La Guajira, Colombia;;Jan 2018;134;28;N/A;cellular;median;28;89;5974;743;5.97;0.74
Claro;Magdalena, Colombia;;Jan 2018;194;85;N/A;cellular;median;85;78;8591;1666;8.59;1.67
Claro;Meta, Colombia;;Jan 2018;264;137;N/A;cellular;median;137;66;13027;5371;13.03;5.37
Claro;Narino, Colombia;;Jan 2018;154;75;N/A;cellular;median;75;80;8761;3029;8.76;3.03
Claro;North Santander, Colombia;;Jan 2018;189;94;N/A;cellular;median;94;72;16709;5898;16.71;5.90
Claro;Putumayo, Colombia;;Jan 2018;44;25;N/A;cellular;median;25;90;8077;4363;8.08;4.36
