Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Colombia;;Jan 2018;24019;8322;N/A;3g;mean;8322;83;3482;1066;3.48;1.07
All Providers Combined;Colombia;;Jan 2018;41182;17004;N/A;lte;mean;17004;46;21514;10777;21.51;10.78
All Providers Combined;Colombia;;Jan 2018;65425;23027;N/A;cellular;mean;23027;58;16041;7837;16.04;7.84
All Providers Combined;Colombia;;feb-18;21389;7479;N/A;3g;mean;7479;80;3537;1099;3.54;1.1
All Providers Combined;Colombia;;feb-18;41462;16820;N/A;lte;mean;16820;47;19889;11639;19.89;11.64
All Providers Combined;Colombia;;feb-18;63031;22270;N/A;cellular;mean;22270;58;15231;8650;15.23;8.65
All Providers Combined;Colombia;;mar-18;24800;8765;N/A;3g;mean;8765;79;3507;1088;3.51;1.09
All Providers Combined;Colombia;;mar-18;44952;18269;N/A;lte;mean;18269;43;21527;11800;21.53;11.8
All Providers Combined;Colombia;;mar-18;70001;24587;N/A;cellular;mean;24587;55;16140;8604;16.14;8.6
All Providers Combined;Colombia;;Apr 2018;23458;8177;N/A;3g;mean;8177;75;3596;1069;3.6;1.07
All Providers Combined;Colombia;;Apr 2018;44134;18159;N/A;lte;mean;18159;43;21185;11635;21.19;11.64
All Providers Combined;Colombia;;Apr 2018;67851;23904;N/A;cellular;mean;23904;53;16189;8650;16.19;8.65
All Providers Combined;Colombia;;may-18;22748;7783;N/A;3g;mean;7783;76;3648;1073;3.65;1.07
All Providers Combined;Colombia;;may-18;45143;18291;N/A;lte;mean;18291;43;20713;11698;20.71;11.7
All Providers Combined;Colombia;;may-18;68261;23763;N/A;cellular;mean;23763;53;16055;8818;16.06;8.82
All Providers Combined;Colombia;;jun-18;20769;7196;N/A;3g;mean;7196;73;3636;1049;3.64;1.05
All Providers Combined;Colombia;;jun-18;42220;16903;N/A;lte;mean;16903;43;20193;11606;20.19;11.61
All Providers Combined;Colombia;;jun-18;63482;22026;N/A;cellular;mean;22026;53;15631;8715;15.63;8.72
All Providers Combined;Colombia;;jul-18;22079;7618;N/A;3g;mean;7618;74;3555;1021;3.56;1.02
All Providers Combined;Colombia;;jul-18;44421;18379;N/A;lte;mean;18379;43;20115;11929;20.12;11.93
All Providers Combined;Colombia;;jul-18;66810;23682;N/A;cellular;mean;23682;52;15705;9029;15.71;9.03
All Providers Combined;Colombia;;Aug 2018;22339;7747;N/A;3g;mean;7747;74;3691;1049;3.69;1.05
All Providers Combined;Colombia;;Aug 2018;49398;19673;N/A;lte;mean;19673;44;20800;11855;20.8;11.86
All Providers Combined;Colombia;;Aug 2018;72051;24988;N/A;cellular;mean;24988;53;16439;9111;16.44;9.11
All Providers Combined;Colombia;;sep-18;24957;8528;N/A;3g;mean;8528;74;3838;1077;3.84;1.08
All Providers Combined;Colombia;;sep-18;57998;22665;N/A;lte;mean;22665;44;21206;11819;21.21;11.82
All Providers Combined;Colombia;;sep-18;83395;28241;N/A;cellular;mean;28241;53;17005;9239;17.01;9.24
All Providers Combined;Colombia;;oct-18;28245;9317;N/A;3g;mean;9317;79;3867;1105;3.87;1.11
All Providers Combined;Colombia;;oct-18;73113;25784;N/A;lte;mean;25784;49;20920;11719;20.92;11.72
All Providers Combined;Colombia;;oct-18;102020;31468;N/A;cellular;mean;31468;57;17078;9323;17.08;9.32
All Providers Combined;Colombia;;nov-18;25527;8548;N/A;3g;mean;8548;83;3859;1118;3.86;1.12
All Providers Combined;Colombia;;nov-18;69427;24154;N/A;lte;mean;24154;51;20936;11756;20.94;11.76
All Providers Combined;Colombia;;nov-18;95412;29627;N/A;cellular;mean;29627;59;17073;9357;17.07;9.36
All Providers Combined;Colombia;;Dec 2018;20912;7913;N/A;3g;mean;7913;88;3668;1076;3.67;1.08
All Providers Combined;Colombia;;Dec 2018;59610;22499;N/A;lte;mean;22499;47;21600;11878;21.6;11.88
All Providers Combined;Colombia;;Dec 2018;80844;27617;N/A;cellular;mean;27617;57;17542;9456;17.54;9.46
All Providers Combined;Colombia;;Jan 2019;20058;7219;N/A;3g;mean;7219;78;3438;984;3.44;0.98
All Providers Combined;Colombia;;Jan 2019;66242;25570;N/A;lte;mean;25570;44;21873;11895;21.87;11.9
All Providers Combined;Colombia;;Jan 2019;86526;30287;N/A;cellular;mean;30287;51;18392;9838;18.39;9.84
All Providers Combined;Colombia;;feb-19;17013;6454;N/A;3g;mean;6454;76;3495;973;3.5;0.97
All Providers Combined;Colombia;;feb-19;63346;24303;N/A;lte;mean;24303;43;20056;11320;20.06;11.32
All Providers Combined;Colombia;;feb-19;80565;28546;N/A;cellular;mean;28546;50;17081;9462;17.08;9.46
All Providers Combined;Colombia;;mar-19;18610;6890;N/A;3g;mean;6890;80;3819;983;3.82;0.98
All Providers Combined;Colombia;;mar-19;70493;26351;N/A;lte;mean;26351;43;19759;10891;19.76;10.89
All Providers Combined;Colombia;;mar-19;89331;30724;N/A;cellular;mean;30724;50;16950;9160;16.95;9.16
All Providers Combined;Colombia;;Apr 2019;18889;6845;N/A;3g;mean;6845;79;3839;1028;3.84;1.03
All Providers Combined;Colombia;;Apr 2019;67850;25665;N/A;lte;mean;25665;45;20208;10915;20.21;10.92
All Providers Combined;Colombia;;Apr 2019;86988;29845;N/A;cellular;mean;29845;51;17315;9167;17.32;9.17
All Providers Combined;Colombia;;may-19;18939;6914;N/A;3g;mean;6914;75;3932;1113;3.93;1.11
All Providers Combined;Colombia;;may-19;76693;27734;N/A;lte;mean;27734;43;19920;11329;19.92;11.33
All Providers Combined;Colombia;;may-19;95949;31868;N/A;cellular;mean;31868;49;17292;9653;17.29;9.65
All Providers Combined;Colombia;;jun-19;18365;6753;N/A;3g;mean;6753;79;3885;1130;3.89;1.13
All Providers Combined;Colombia;;jun-19;71304;27090;N/A;lte;mean;27090;47;19873;11516;19.87;11.52
All Providers Combined;Colombia;;jun-19;89867;31221;N/A;cellular;mean;31221;53;17188;9794;17.19;9.79
All Providers Combined;Colombia;;jul-19;17811;7010;N/A;3g;mean;7010;81;3933;1149;3.93;1.15
All Providers Combined;Colombia;;jul-19;75530;30174;N/A;lte;mean;30174;49;19613;11648;19.61;11.65
All Providers Combined;Colombia;;jul-19;93552;34525;N/A;cellular;mean;34525;55;17150;10016;17.15;10.02
All Providers Combined;Colombia;;Aug 2019;17314;6670;N/A;3g;mean;6670;75;3928;1157;3.93;1.16
All Providers Combined;Colombia;;Aug 2019;83973;31808;N/A;lte;mean;31808;50;20331;12703;20.33;12.7
All Providers Combined;Colombia;;Aug 2019;101461;35797;N/A;cellular;mean;35797;54;18051;11089;18.05;11.09
All Providers Combined;Colombia;;sep-19;17285;6277;N/A;3g;mean;6277;73;3888;1182;3.89;1.18
All Providers Combined;Colombia;;sep-19;78554;29692;N/A;lte;mean;29692;45;20477;12960;20.48;12.96
All Providers Combined;Colombia;;sep-19;95989;33473;N/A;cellular;mean;33473;49;18119;11297;18.12;11.3
All Providers Combined;Colombia;;oct-19;16841;6385;N/A;3g;mean;6385;74;3776;1143;3.78;1.14
All Providers Combined;Colombia;;oct-19;78474;30358;N/A;lte;mean;30358;44;20267;12782;20.27;12.78
All Providers Combined;Colombia;;oct-19;95512;34009;N/A;cellular;mean;34009;49;17992;11206;17.99;11.21
All Providers Combined;Colombia;;nov-19;13806;5692;N/A;3g;mean;5692;76;3825;1141;3.83;1.14
All Providers Combined;Colombia;;nov-19;70310;28524;N/A;lte;mean;28524;47;20642;13223;20.64;13.22
All Providers Combined;Colombia;;nov-19;84222;31938;N/A;cellular;mean;31938;52;18410;11639;18.41;11.64
All Providers Combined;Colombia;;Dec 2019;13163;5496;N/A;3g;mean;5496;74;3902;1160;3.9;1.16
All Providers Combined;Colombia;;Dec 2019;68256;28729;N/A;lte;mean;28729;44;20895;14142;20.9;14.14
All Providers Combined;Colombia;;Dec 2019;81588;32024;N/A;cellular;mean;32024;48;18711;12482;18.71;12.48
All Providers Combined;Colombia;;Jan 2020;11464;5195;N/A;3g;mean;5195;76;3833;865;3.83;0.87
All Providers Combined;Colombia;;Jan 2020;66247;29501;N/A;lte;mean;29501;43;20777;13218;20.78;13.22
All Providers Combined;Colombia;;Jan 2020;77865;32667;N/A;cellular;mean;32667;47;18753;11754;18.75;11.75
All Providers Combined;Colombia;;feb-20;10595;4764;N/A;3g;mean;4764;73;3898;863;3.9;0.86
All Providers Combined;Colombia;;feb-20;68350;29677;N/A;lte;mean;29677;44;19873;13153;19.87;13.15
All Providers Combined;Colombia;;feb-20;79044;32502;N/A;cellular;mean;32502;47;18154;11830;18.15;11.83
All Providers Combined;Colombia;;mar-20;14148;6115;N/A;3g;mean;6115;74;3612;830;3.61;0.83
All Providers Combined;Colombia;;mar-20;87667;38229;N/A;lte;mean;38229;46;19231;12449;19.23;12.45
All Providers Combined;Colombia;;mar-20;101971;42089;N/A;cellular;mean;42089;49;17512;11175;17.51;11.18
All Providers Combined;Colombia;;Apr 2020;16080;6690;N/A;3g;mean;6690;70;3540;799;3.54;0.8
All Providers Combined;Colombia;;Apr 2020;101230;42651;N/A;lte;mean;42651;45;20505;11509;20.51;11.51
All Providers Combined;Colombia;;Apr 2020;117578;47042;N/A;cellular;mean;47042;48;18666;10354;18.67;10.35
All Providers Combined;Colombia;;may-20;16763;7106;N/A;3g;mean;7106;70;3715;819;3.72;0.82
All Providers Combined;Colombia;;may-20;113522;43490;N/A;lte;mean;43490;45;20546;10402;20.55;10.4
All Providers Combined;Colombia;;may-20;130609;47911;N/A;cellular;mean;47911;48;18718;9355;18.72;9.36
All Providers Combined;Colombia;;jun-20;14233;6401;N/A;3g;mean;6401;69;3634;787;3.63;0.79
All Providers Combined;Colombia;;jun-20;108798;39132;N/A;lte;mean;39132;40;20864;10468;20.86;10.47
All Providers Combined;Colombia;;jun-20;123319;42965;N/A;cellular;mean;42965;43;19036;9440;19.04;9.44
All Providers Combined;Colombia;;jul-20;18095;7315;N/A;3g;mean;7315;69;3594;786;3.59;0.79
All Providers Combined;Colombia;;jul-20;129998;42434;N/A;lte;mean;42434;41;20208;10487;20.21;10.49
All Providers Combined;Colombia;;jul-20;148744;46612;N/A;cellular;mean;46612;44;18428;9443;18.43;9.44
All Providers Combined;Colombia;;Aug 2020;15519;6884;N/A;3g;mean;6884;73;3746;801;3.75;0.8
All Providers Combined;Colombia;;Aug 2020;116820;41249;N/A;lte;mean;41249;43;20483;10482;20.48;10.48
All Providers Combined;Colombia;;Aug 2020;133391;45293;N/A;cellular;mean;45293;46;18762;9469;18.76;9.47
All Providers Combined;Colombia;;sep-20;14870;6447;N/A;3g;mean;6447;71;3841;822;3.84;0.82
All Providers Combined;Colombia;;sep-20;103211;38373;N/A;lte;mean;38373;41;21161;10728;21.16;10.73
All Providers Combined;Colombia;;sep-20;119236;42263;N/A;cellular;mean;42263;44;19359;9689;19.36;9.69
All Providers Combined;Colombia;;oct-20;16300;6352;N/A;3g;mean;6352;65;3728;820;3.73;0.82
