Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Amazonas, Colombia;;Jan 2022;173;33;N/A;cellular;mean;33;129;3290;7267;3.29;7.27
All Providers Combined;Antioquia, Colombia;;Jan 2022;17894;6417;N/A;cellular;mean;6417;47;20125;10950;20.13;10.95
All Providers Combined;Arauca, Colombia;;Jan 2022;393;106;N/A;cellular;mean;106;76;13706;9445;13.71;9.45
All Providers Combined;Atlantico, Colombia;;Jan 2022;6773;2798;N/A;cellular;mean;2798;40;22045;13076;22.05;13.08
All Providers Combined;Bogota, Colombia;;Jan 2022;44888;14499;N/A;cellular;mean;14499;45;21466;11702;21.47;11.70
All Providers Combined;Bolivar, Colombia;;Jan 2022;2545;998;N/A;cellular;mean;998;55;20471;11632;20.47;11.63
All Providers Combined;Boyaca, Colombia;;Jan 2022;2675;983;N/A;cellular;mean;983;60;14771;9638;14.77;9.64
All Providers Combined;Caldas, Colombia;;Jan 2022;1660;676;N/A;cellular;mean;676;54;16222;10159;16.22;10.16
All Providers Combined;Caquetá, Colombia;;Jan 2022;668;175;N/A;cellular;mean;175;114;11404;9173;11.40;9.17
All Providers Combined;Casanare, Colombia;;Jan 2022;1140;300;N/A;cellular;mean;300;73;15294;11155;15.29;11.16
All Providers Combined;Cauca Department, Colombia;;Jan 2022;1301;472;N/A;cellular;mean;472;61;16570;9842;16.57;9.84
All Providers Combined;Cesar, Colombia;;Jan 2022;1079;486;N/A;cellular;mean;486;54;17956;10453;17.96;10.45
All Providers Combined;Choco, Colombia;;Jan 2022;450;119;N/A;cellular;mean;119;98;10178;6060;10.18;6.06
All Providers Combined;Cordoba, Colombia;;Jan 2022;1432;499;N/A;cellular;mean;499;58;19243;11688;19.24;11.69
All Providers Combined;Cundinamarca, Colombia;;Jan 2022;8973;3413;N/A;cellular;mean;3413;47;14904;9329;14.90;9.33
All Providers Combined;Guainia, Colombia;;Jan 2022;30;5;N/A;cellular;mean;5;80;8336;8919;8.34;8.92
All Providers Combined;Huila, Colombia;;Jan 2022;1668;525;N/A;cellular;mean;525;78;17518;8958;17.52;8.96
All Providers Combined;La Guajira, Colombia;;Jan 2022;811;298;N/A;cellular;mean;298;58;15439;10967;15.44;10.97
All Providers Combined;Magdalena, Colombia;;Jan 2022;2173;743;N/A;cellular;mean;743;57;18303;11196;18.30;11.20
All Providers Combined;Meta, Colombia;;Jan 2022;2207;717;N/A;cellular;mean;717;56;16069;10646;16.07;10.65
All Providers Combined;Narino, Colombia;;Jan 2022;1337;491;N/A;cellular;mean;491;66;16248;10498;16.25;10.50
All Providers Combined;North Santander, Colombia;;Jan 2022;2051;760;N/A;cellular;mean;760;64;17012;11357;17.01;11.36
All Providers Combined;Putumayo, Colombia;;Jan 2022;616;125;N/A;cellular;mean;125;103;9719;8722;9.72;8.72
All Providers Combined;Quindio, Colombia;;Jan 2022;1156;469;N/A;cellular;mean;469;59;17755;9994;17.76;9.99
All Providers Combined;Risaralda, Colombia;;Jan 2022;1922;682;N/A;cellular;mean;682;49;17606;10526;17.61;10.53
All Providers Combined;San Andrés and Providencia, Colombia;;Jan 2022;1067;288;N/A;cellular;mean;288;98;14130;8370;14.13;8.37
All Providers Combined;Santander Department, Colombia;;Jan 2022;4874;1821;N/A;cellular;mean;1821;57;19484;10758;19.48;10.76
All Providers Combined;Sucre, Colombia;;Jan 2022;1204;409;N/A;cellular;mean;409;68;15781;9961;15.78;9.96
All Providers Combined;Tolima, Colombia;;Jan 2022;2593;991;N/A;cellular;mean;991;60;14568;8894;14.57;8.89
All Providers Combined;Valle del Cauca, Colombia;;Jan 2022;8692;3606;N/A;cellular;mean;3606;52;22889;11705;22.89;11.71
All Providers Combined;Vaupes, Colombia;;Jan 2022;16;2;N/A;cellular;mean;2;77;504;1032;0.50;1.03
All Providers Combined;Vichada, Colombia;;Jan 2022;67;12;N/A;cellular;mean;12;119;11534;6695;11.53;6.70
All Providers Combined;Guaviare, Colombia;;Jan 2022;215;46;N/A;cellular;mean;46;127;16943;11057;16.94;11.06
All Providers Combined;Amazonas, Colombia;;feb-22;92;27;N/A;cellular;mean;27;126;5600;7044;5.60;7.04
All Providers Combined;Antioquia, Colombia;;feb-22;18042;6279;N/A;cellular;mean;6279;47;18948;11127;18.95;11.13
All Providers Combined;Arauca, Colombia;;feb-22;267;95;N/A;cellular;mean;95;67;16442;8938;16.44;8.94
All Providers Combined;Atlantico, Colombia;;feb-22;7271;2901;N/A;cellular;mean;2901;40;21030;12842;21.03;12.84
All Providers Combined;Bogota, Colombia;;feb-22;45743;15282;N/A;cellular;mean;15282;45;20425;11537;20.43;11.54
All Providers Combined;Bolivar, Colombia;;feb-22;3310;921;N/A;cellular;mean;921;47;21296;11454;21.30;11.45
All Providers Combined;Boyaca, Colombia;;feb-22;2068;819;N/A;cellular;mean;819;56;17455;10321;17.46;10.32
All Providers Combined;Caldas, Colombia;;feb-22;1571;566;N/A;cellular;mean;566;51;17503;10698;17.50;10.70
All Providers Combined;Caquetá, Colombia;;feb-22;571;160;N/A;cellular;mean;160;107;15047;9038;15.05;9.04
All Providers Combined;Casanare, Colombia;;feb-22;968;274;N/A;cellular;mean;274;56;16305;11008;16.31;11.01
All Providers Combined;Cauca Department, Colombia;;feb-22;1366;448;N/A;cellular;mean;448;63;16599;9741;16.60;9.74
All Providers Combined;Cesar, Colombia;;feb-22;1269;432;N/A;cellular;mean;432;53;18212;10824;18.21;10.82
All Providers Combined;Choco, Colombia;;feb-22;333;111;N/A;cellular;mean;111;109;13587;7125;13.59;7.13
All Providers Combined;Cordoba, Colombia;;feb-22;1165;457;N/A;cellular;mean;457;59;20025;11682;20.03;11.68
All Providers Combined;Cundinamarca, Colombia;;feb-22;7536;2987;N/A;cellular;mean;2987;47;16779;10298;16.78;10.30
All Providers Combined;Guainia, Colombia;;feb-22;20;5;N/A;cellular;mean;5;184;4525;7909;4.53;7.91
All Providers Combined;Huila, Colombia;;feb-22;1426;509;N/A;cellular;mean;509;85;17098;9325;17.10;9.33
All Providers Combined;La Guajira, Colombia;;feb-22;975;270;N/A;cellular;mean;270;60;17653;11431;17.65;11.43
All Providers Combined;Magdalena, Colombia;;feb-22;1654;643;N/A;cellular;mean;643;52;20541;11823;20.54;11.82
All Providers Combined;Meta, Colombia;;feb-22;1917;732;N/A;cellular;mean;732;59;18779;10229;18.78;10.23
All Providers Combined;Narino, Colombia;;feb-22;2104;456;N/A;cellular;mean;456;58;18935;10932;18.94;10.93
All Providers Combined;North Santander, Colombia;;feb-22;2585;715;N/A;cellular;mean;715;59;17250;10879;17.25;10.88
All Providers Combined;Putumayo, Colombia;;feb-22;1273;114;N/A;cellular;mean;114;128;11467;9113;11.47;9.11
All Providers Combined;Quindio, Colombia;;feb-22;1342;429;N/A;cellular;mean;429;56;20116;10429;20.12;10.43
All Providers Combined;Risaralda, Colombia;;feb-22;1843;675;N/A;cellular;mean;675;49;17935;10568;17.94;10.57
All Providers Combined;San Andrés and Providencia, Colombia;;feb-22;849;236;N/A;cellular;mean;236;88;17280;9156;17.28;9.16
All Providers Combined;Santander Department, Colombia;;feb-22;5150;1626;N/A;cellular;mean;1626;55;20141;10953;20.14;10.95
All Providers Combined;Sucre, Colombia;;feb-22;975;309;N/A;cellular;mean;309;56;18114;10978;18.11;10.98
All Providers Combined;Tolima, Colombia;;feb-22;2067;690;N/A;cellular;mean;690;60;17807;9592;17.81;9.59
All Providers Combined;Valle del Cauca, Colombia;;feb-22;10449;4034;N/A;cellular;mean;4034;50;21553;11265;21.55;11.27
All Providers Combined;Vaupes, Colombia;;feb-22;1;1;N/A;cellular;mean;1;71;314;227;0.31;0.23
All Providers Combined;Vichada, Colombia;;feb-22;62;17;N/A;cellular;mean;17;252;4693;2761;4.69;2.76
All Providers Combined;Guaviare, Colombia;;feb-22;181;40;N/A;cellular;mean;40;99;17754;11755;17.75;11.76
All Providers Combined;Amazonas, Colombia;;mar-22;134;33;N/A;cellular;mean;33;169;4196;8343;4.20;8.34
All Providers Combined;Antioquia, Colombia;;mar-22;17303;6461;N/A;cellular;mean;6461;49;19484;11104;19.48;11.10
All Providers Combined;Arauca, Colombia;;mar-22;347;121;N/A;cellular;mean;121;77;13916;8965;13.92;8.97
All Providers Combined;Atlantico, Colombia;;mar-22;7748;3041;N/A;cellular;mean;3041;40;19789;12459;19.79;12.46
All Providers Combined;Bogota, Colombia;;mar-22;47148;16956;N/A;cellular;mean;16956;53;19345;11466;19.35;11.47
All Providers Combined;Bolivar, Colombia;;mar-22;3158;1041;N/A;cellular;mean;1041;47;20128;11869;20.13;11.87
All Providers Combined;Boyaca, Colombia;;mar-22;2804;902;N/A;cellular;mean;902;65;16199;9936;16.20;9.94
All Providers Combined;Caldas, Colombia;;mar-22;2072;642;N/A;cellular;mean;642;56;16809;10256;16.81;10.26
All Providers Combined;Caquetá, Colombia;;mar-22;630;163;N/A;cellular;mean;163;117;12373;9074;12.37;9.07
All Providers Combined;Casanare, Colombia;;mar-22;1160;318;N/A;cellular;mean;318;59;16739;11739;16.74;11.74
All Providers Combined;Cauca Department, Colombia;;mar-22;1624;490;N/A;cellular;mean;490;70;15024;9758;15.02;9.76
All Providers Combined;Cesar, Colombia;;mar-22;1613;476;N/A;cellular;mean;476;52;17764;10268;17.76;10.27
All Providers Combined;Choco, Colombia;;mar-22;439;114;N/A;cellular;mean;114;106;10110;7614;10.11;7.61
All Providers Combined;Cordoba, Colombia;;mar-22;1554;517;N/A;cellular;mean;517;56;22861;12549;22.86;12.55
All Providers Combined;Cundinamarca, Colombia;;mar-22;10148;3339;N/A;cellular;mean;3339;56;15269;9681;15.27;9.68
All Providers Combined;Guainia, Colombia;;mar-22;22;8;N/A;cellular;mean;8;67;7503;9795;7.50;9.80
All Providers Combined;Huila, Colombia;;mar-22;2414;567;N/A;cellular;mean;567;72;18125;9462;18.13;9.46
All Providers Combined;La Guajira, Colombia;;mar-22;1703;331;N/A;cellular;mean;331;59;16950;10474;16.95;10.47
All Providers Combined;Magdalena, Colombia;;mar-22;1883;639;N/A;cellular;mean;639;50;19828;11225;19.83;11.23
All Providers Combined;Meta, Colombia;;mar-22;2397;767;N/A;cellular;mean;767;65;17466;10240;17.47;10.24
All Providers Combined;Narino, Colombia;;mar-22;1756;507;N/A;cellular;mean;507;67;16475;10244;16.48;10.24
All Providers Combined;North Santander, Colombia;;mar-22;2435;798;N/A;cellular;mean;798;62;13984;10291;13.98;10.29
All Providers Combined;Putumayo, Colombia;;mar-22;511;133;N/A;cellular;mean;133;89;10844;9032;10.84;9.03
All Providers Combined;Quindio, Colombia;;mar-22;1282;430;N/A;cellular;mean;430;52;18888;10783;18.89;10.78
All Providers Combined;Risaralda, Colombia;;mar-22;2237;707;N/A;cellular;mean;707;53;17213;10181;17.21;10.18
All Providers Combined;San Andrés and Providencia, Colombia;;mar-22;988;255;N/A;cellular;mean;255;100;18530;8847;18.53;8.85
All Providers Combined;Santander Department, Colombia;;mar-22;6396;1754;N/A;cellular;mean;1754;56;17746;10372;17.75;10.37
All Providers Combined;Sucre, Colombia;;mar-22;2096;354;N/A;cellular;mean;354;65;18656;10819;18.66;10.82
All Providers Combined;Tolima, Colombia;;mar-22;2714;851;N/A;cellular;mean;851;63;17682;9637;17.68;9.64
All Providers Combined;Valle del Cauca, Colombia;;mar-22;12165;4001;N/A;cellular;mean;4001;49;20930;11190;20.93;11.19
All Providers Combined;Vaupes, Colombia;;mar-22;11;4;N/A;cellular;mean;4;71;5851;6252;5.85;6.25
All Providers Combined;Vichada, Colombia;;mar-22;73;19;N/A;cellular;mean;19;364;6739;3158;6.74;3.16
