Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;Jan 2018;17410;8916;all;N/A;median;5440;41;6845;1691;6.85;1.69
All Providers Combined;Bogotá, Bogota, Colombia;;Jan 2018;502031;247825;all;N/A;median;137156;18;7926;1991;7.93;1.99
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Jan 2018;88990;44704;all;N/A;median;23417;55;5599;1342;5.60;1.34
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Jan 2018;199583;100745;all;N/A;median;54641;22;6664;1756;6.66;1.76
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Jan 2018;22163;11137;all;N/A;median;6109;17;8320;2016;8.32;2.02
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2018;13553;7232;all;N/A;median;3684;17;7190;1776;7.19;1.78
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;Jan 2018;8301;4304;all;N/A;median;1676;23;5526;1219;5.53;1.22
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;Jan 2018;10497;6100;all;N/A;median;3085;27;5356;1165;5.36;1.17
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;Jan 2018;10686;5554;all;N/A;median;3098;35;7028;1860;7.03;1.86
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;Jan 2018;4368;2066;all;N/A;median;1106;25;5215;1092;5.22;1.09
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;feb-18;28939;15528;all;N/A;median;8487;42;6797;1821;6.80;1.82
All Providers Combined;Bogotá, Bogota, Colombia;;feb-18;558612;263291;all;N/A;median;142210;19;8097;2051;8.10;2.05
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;feb-18;94857;47138;all;N/A;median;23693;52;6258;1460;6.26;1.46
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;feb-18;194617;97919;all;N/A;median;53199;23;7440;1928;7.44;1.93
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;feb-18;20022;10443;all;N/A;median;5731;17;9257;2089;9.26;2.09
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;feb-18;13341;6824;all;N/A;median;3416;17;8477;1767;8.48;1.77
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;feb-18;8517;4676;all;N/A;median;1668;22;5753;1344;5.75;1.34
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;feb-18;12541;6893;all;N/A;median;3193;27;5471;1237;5.47;1.24
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;feb-18;11086;5712;all;N/A;median;3046;36;8176;1957;8.18;1.96
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;feb-18;5227;2586;all;N/A;median;1303;24;5244;1128;5.24;1.13
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;mar-18;30341;16845;all;N/A;median;9101;39;7820;1906;7.82;1.91
All Providers Combined;Bogotá, Bogota, Colombia;;mar-18;534755;271286;all;N/A;median;146201;17;9260;2112;9.26;2.11
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;mar-18;104499;52907;all;N/A;median;26381;49;6151;1503;6.15;1.50
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;mar-18;206665;105239;all;N/A;median;57334;26;7810;1988;7.81;1.99
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;mar-18;26890;13427;all;N/A;median;7185;16;9617;2099;9.62;2.10
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;mar-18;15752;7724;all;N/A;median;3917;16;8218;1854;8.22;1.85
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;mar-18;8762;4773;all;N/A;median;1791;24;5968;1262;5.97;1.26
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;mar-18;13627;7393;all;N/A;median;3458;26;5780;1300;5.78;1.30
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;mar-18;13039;6631;all;N/A;median;3593;36;8675;1987;8.68;1.99
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;mar-18;5608;3059;all;N/A;median;1680;24;5300;1146;5.30;1.15
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;Apr 2018;33558;17465;all;N/A;median;9242;40;8360;2034;8.36;2.03
All Providers Combined;Bogotá, Bogota, Colombia;;Apr 2018;493140;253277;all;N/A;median;137200;16;9846;2173;9.85;2.17
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Apr 2018;108468;54897;all;N/A;median;26759;49;7798;1918;7.80;1.92
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Apr 2018;215524;111613;all;N/A;median;61120;25;8892;2076;8.89;2.08
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Apr 2018;27242;13753;all;N/A;median;7250;16;10124;2148;10.12;2.15
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Apr 2018;16225;8052;all;N/A;median;3848;17;8512;1920;8.51;1.92
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;Apr 2018;9092;5075;all;N/A;median;1839;23;6540;1408;6.54;1.41
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;Apr 2018;13217;7780;all;N/A;median;3403;24;7146;1481;7.15;1.48
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;Apr 2018;11242;6065;all;N/A;median;3426;35;9047;2031;9.05;2.03
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;Apr 2018;5789;3020;all;N/A;median;1605;23;5516;1318;5.52;1.32
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;may-18;28813;15780;all;N/A;median;8268;40;8834;2072;8.83;2.07
All Providers Combined;Bogotá, Bogota, Colombia;;may-18;474023;249155;all;N/A;median;135150;15;10106;2211;10.11;2.21
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;may-18;107708;56766;all;N/A;median;27463;47;8179;1974;8.18;1.97
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;may-18;205795;108453;all;N/A;median;59115;25;9295;2097;9.30;2.10
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;may-18;24008;12838;all;N/A;median;6767;15;10330;2198;10.33;2.20
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;may-18;16757;7886;all;N/A;median;3966;16;9194;2038;9.19;2.04
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;may-18;10804;5901;all;N/A;median;2610;22;7906;1805;7.91;1.81
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;may-18;13521;8102;all;N/A;median;3520;21;8809;2016;8.81;2.02
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;may-18;12177;6292;all;N/A;median;3435;37;9467;2043;9.47;2.04
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;may-18;5732;3094;all;N/A;median;1623;23;6553;1412;6.55;1.41
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;jun-18;24812;13997;all;N/A;median;7486;40;9149;2099;9.15;2.10
