Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps;Multi-Server Latency;Multi-Server Jitter,
Movistar;Antioquia, Colombia;;Jan 2018;1181.0;711.0;all;;median;574.0;45.0;5228.0;787.0;5.23;0.79;;
Movistar;Atlantico, Colombia;;Jan 2018;1292.0;779.0;all;;median;515.0;68.0;4614.0;729.0;4.61;0.73;;
Movistar;Bogota, Colombia;;Jan 2018;33796.0;20230.0;all;;median;10668.0;31.0;5757.0;836.0;5.76;0.84;;
Movistar;Bolivar, Colombia;;Jan 2018;4457.0;2563.0;all;;median;1483.0;66.0;5693.0;815.0;5.69;0.82;;
Movistar;Boyaca, Colombia;;Jan 2018;3541.0;1873.0;all;;median;691.0;39.0;4587.0;859.0;4.59;0.86;;
Movistar;Caldas, Colombia;;Jan 2018;413.0;267.0;all;;median;124.0;39.0;4908.0;791.0;4.91;0.79;;
Movistar;Caquetá, Colombia;;Jan 2018;736.0;499.0;all;;median;186.0;48.0;4433.0;784.0;4.43;0.78;;
Movistar;Casanare, Colombia;;Jan 2018;499.0;297.0;all;;median;103.0;38.0;4300.0;748.0;4.3;0.75;;
Movistar;Cauca Department, Colombia;;Jan 2018;2076.0;1284.0;all;;median;825.0;45.0;4714.0;776.0;4.71;0.78;;
Movistar;Cesar, Colombia;;Jan 2018;1582.0;1035.0;all;;median;279.0;66.0;5134.0;847.0;5.13;0.85;;
Movistar;Choco, Colombia;;Jan 2018;834.0;562.0;all;;median;189.0;50.0;4702.0;825.0;4.7;0.83;;
Movistar;Cordoba, Colombia;;Jan 2018;2747.0;1751.0;all;;median;813.0;61.0;5057.0;761.0;5.06;0.76;;
Movistar;Cundinamarca, Colombia;;Jan 2018;28198.0;16340.0;all;;median;10238.0;33.0;5190.0;779.0;5.19;0.78;;
Movistar;Huila, Colombia;;Jan 2018;3814.0;2159.0;all;;median;883.0;44.0;4139.0;850.0;4.14;0.85;;
Movistar;La Guajira, Colombia;;Jan 2018;879.0;518.0;all;;median;157.0;73.0;3904.0;773.0;3.9;0.77;;
Movistar;Magdalena, Colombia;;Jan 2018;2618.0;1530.0;all;;median;1088.0;71.0;4768.0;714.0;4.77;0.71;;
Movistar;Meta, Colombia;;Jan 2018;2768.0;1688.0;all;;median;533.0;32.0;4910.0;844.0;4.91;0.84;;
Movistar;Narino, Colombia;;Jan 2018;2620.0;1225.0;all;;median;422.0;50.0;4724.0;838.0;4.72;0.84;;
Movistar;Putumayo, Colombia;;Jan 2018;492.0;317.0;all;;median;81.0;50.0;4448.0;812.0;4.45;0.81;;
