Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;Dec 2022;8769;2552;all;N/A;median;2552;23;131711;32577;131.71;32.58
All Providers Combined;Leticia, Leticia, Amazonas, Colombia;;Dec 2022;1052;92;all;N/A;median;92;190;23957;3989;23.96;3.99
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Dec 2022;144813;46949;all;N/A;median;46949;10;95152;28331;95.15;28.33
All Providers Combined;Arauca, Arauca, Arauca, Colombia;;Dec 2022;858;319;all;N/A;median;319;12;12798;4820;12.80;4.82
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Dec 2022;55277;17236;all;N/A;median;17236;9;92253;32676;92.25;32.68
All Providers Combined;Bogotá, Bogota, Colombia;;Dec 2022;620130;194153;all;N/A;median;194153;7;98960;41799;98.96;41.80
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Dec 2022;21440;6221;all;N/A;median;6221;8;101470;38942;101.47;38.94
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;Dec 2022;8634;2975;all;N/A;median;2975;14;57952;25009;57.95;25.01
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;Dec 2022;16649;5400;all;N/A;median;5400;27;90740;19509;90.74;19.51
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;Dec 2022;2731;781;all;N/A;median;781;20;37570;32637;37.57;32.64
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;Dec 2022;2567;627;all;N/A;median;627;15;48506;27487;48.51;27.49
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;Dec 2022;11605;3700;all;N/A;median;3700;19;62404;28579;62.40;28.58
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;Dec 2022;10385;3319;all;N/A;median;3319;22;79188;27625;79.19;27.63
All Providers Combined;Quibdo, Quibdó, Chocó, Colombia;;Dec 2022;405;88;all;N/A;median;88;41;6007;1425;6.01;1.43
All Providers Combined;Montería, Montería, Córdoba, Colombia;;Dec 2022;8167;2577;all;N/A;median;2577;15;67155;25249;67.16;25.25
All Providers Combined;Inírida, Inírida, Guainía, Colombia;;Dec 2022;230;10;all;N/A;median;10;75;5922;2446;5.92;2.45
All Providers Combined;San José Del Guaviare, San José Del Guaviare, Guaviare, Colombia;;Dec 2022;440;151;all;N/A;median;151;15;12695;10700;12.70;10.70
All Providers Combined;Neiva, Neiva, Huila, Colombia;;Dec 2022;12736;3723;all;N/A;median;3723;18;64168;31313;64.17;31.31
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;Dec 2022;2127;795;all;N/A;median;795;33;64696;28633;64.70;28.63
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;Dec 2022;12660;3791;all;N/A;median;3791;14;85919;29279;85.92;29.28
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;Dec 2022;23140;6700;all;N/A;median;6700;11;94291;33688;94.29;33.69
All Providers Combined;Pasto, Pasto, Narino, Colombia;;Dec 2022;11244;3613;all;N/A;median;3613;22;61558;28995;61.56;29.00
All Providers Combined;Cúcuta, Cucuta, North Santander, Colombia;;Dec 2022;21389;6303;all;N/A;median;6303;23;65109;29306;65.11;29.31
All Providers Combined;Mocoa, Mocoa, Putumayo, Colombia;;Dec 2022;287;59;all;N/A;median;59;21;31801;33291;31.80;33.29
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;Dec 2022;17878;5354;all;N/A;median;5354;21;82705;29084;82.71;29.08
All Providers Combined;San Andrés, San Andrés, San Andrés y Providencia, Colombia;;Dec 2022;1533;315;all;N/A;median;315;20;69751;47564;69.75;47.56
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;Dec 2022;42864;14277;all;N/A;median;14277;16;94748;36894;94.75;36.89
