Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Bogotá, Bogota, Colombia;;Dec 2021;832064;260524;all;N/A;median;260524;9;;;73812;21002;73.81;21.00
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Dec 2021;144254;44832;all;N/A;median;44832;18;;;61842;17688;61.84;17.69
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Dec 2021;64640;20365;all;N/A;median;20365;16;;;51858;12195;51.86;12.20
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Dec 2021;196341;65309;all;N/A;median;65309;10;;;62830;13109;62.83;13.11
Movistar;Bogotá, Bogota, Colombia;;Dec 2021;85133;27116;all;N/A;median;27116;6;;;131954;118493;131.95;118.49
Movistar;Cali, Cali, Valle del Cauca, Colombia;;Dec 2021;38051;12264;all;N/A;median;12264;18;;;126966;93881;126.97;93.88
Movistar;Barranquilla, Barranquilla, Atlantico, Colombia;;Dec 2021;20708;7072;all;N/A;median;7072;36;;;94988;92766;94.99;92.77
Movistar;Medellín, Medellin, Antioquia, Colombia;;Dec 2021;17191;5380;all;N/A;median;5380;13;;;177015;173274;177.02;173.27
Claro;Bogotá, Bogota, Colombia;;Dec 2021;403031;129680;all;N/A;median;129680;11;;;67669;14901;67.67;14.90
Claro;Cali, Cali, Valle del Cauca, Colombia;;Dec 2021;62472;20181;all;N/A;median;20181;19;;;63529;14874;63.53;14.87
Claro;Barranquilla, Barranquilla, Atlantico, Colombia;;Dec 2021;19017;5892;all;N/A;median;5892;13;;;66151;17899;66.15;17.90
Claro;Medellín, Medellin, Antioquia, Colombia;;Dec 2021;51854;17949;all;N/A;median;17949;10;;;66330;18787;66.33;18.79
Tigo;Bogotá, Bogota, Colombia;;Dec 2021;53038;18130;all;N/A;median;18130;10;;;57151;10525;57.15;10.53
Tigo;Cali, Cali, Valle del Cauca, Colombia;;Dec 2021;21324;6505;all;N/A;median;6505;17;;;46524;10386;46.52;10.39
Tigo;Barranquilla, Barranquilla, Atlantico, Colombia;;Dec 2021;14870;5174;all;N/A;median;5174;11;;;47647;10192;47.65;10.19
Tigo;Medellín, Medellin, Antioquia, Colombia;;Dec 2021;116347;40066;all;N/A;median;40066;9;;;61190;11429;61.19;11.43
DIRECTV;Bogotá, Bogota, Colombia;;Dec 2021;9909;3327;all;N/A;median;3327;30;;;10992;3515;10.99;3.52
DIRECTV;Cali, Cali, Valle del Cauca, Colombia;;Dec 2021;2857;1101;all;N/A;median;1101;33;;;11549;3611;11.55;3.61
DIRECTV;Barranquilla, Barranquilla, Atlantico, Colombia;;Dec 2021;7844;2161;all;N/A;median;2161;56;;;6691;2620;6.69;2.62
DIRECTV;Medellín, Medellin, Antioquia, Colombia;;Dec 2021;4559;1763;all;N/A;median;1763;32;;;10996;3464;11.00;3.46
ETB;Bogotá, Bogota, Colombia;;Dec 2021;256905;83658;all;N/A;median;83658;5;;;86369;87130;86.37;87.13
ETB;Cali, Cali, Valle del Cauca, Colombia;;Dec 2021;32;18;all;N/A;median;18;13;;;19335;32269;19.34;32.27
ETB;Barranquilla, Barranquilla, Atlantico, Colombia;;Dec 2021;83;38;all;N/A;median;38;19;;;7628;2602;7.63;2.60
ETB;Medellín, Medellin, Antioquia, Colombia;;Dec 2021;406;166;all;N/A;median;166;10;;;21338;21177;21.34;21.18
EMCALI;Cali, Cali, Valle del Cauca, Colombia;;Dec 2021;16479;5478;all;N/A;median;5478;18;;;14249;10276;14.25;10.28
All Providers Combined;Bogotá, Bogota, Colombia;;Jan 2022;905088;272768;all;N/A;median;272768;9;17.7;75.875;76637;21927;76.64;21.93
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Jan 2022;144880;42620;all;N/A;median;42620;19;35.186;135.704;59122;19901;59.12;19.90
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Jan 2022;74945;21709;all;N/A;median;21709;18;564.459;146.347;56347;16625;56.35;16.63
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Jan 2022;216811;68557;all;N/A;median;68557;11;359.301;12.05;60758;13356;60.76;13.36
Movistar;Bogotá, Bogota, Colombia;;Jan 2022;94800;28990;all;N/A;median;28990;6;106.141;6.05;147840;127317;147.84;127.32
Movistar;Cali, Cali, Valle del Cauca, Colombia;;Jan 2022;39298;12674;all;N/A;median;12674;18;248.263;124.167;122752;101240;122.75;101.24
