Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Metric Type;User Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Sumapaz;;Dec 2022;31;2;median;2;12;1.556.125;5.970.425;6002;5406;6.00;5.41
All Providers Combined;Ciudad Bolívar;;Dec 2022;16612;5332;median;5332;10;183.667;71.375;86875;30824;86.88;30.82
All Providers Combined;Rafael Uribe Uribe;;Dec 2022;19397;7352;median;7352;14;18.375;4.9;41118;15325;41.12;15.33
All Providers Combined;Puente Aranda;;Dec 2022;15535;5970;median;5970;6;109.325;37.516;114002;69805;114.00;69.81
All Providers Combined;Teusaquillo;;Dec 2022;26012;10325;median;10325;4;7.7;304.875;107499;93102;107.50;93.10
All Providers Combined;Barrios Unidos;;Dec 2022;14223;5570;median;5570;6;110.494;38.625;114502;54867;114.50;54.87
All Providers Combined;Suba;;Dec 2022;89056;30410;median;30410;7;130.167;4.6;136080;43518;136.08;43.52
All Providers Combined;Engativá;;Dec 2022;45796;16535;median;16535;6;107.163.375;37.732;134611;86072;134.61;86.07
All Providers Combined;Fontibón;;Dec 2022;26914;9952;median;9952;6;116.125;39.125;117719;49881;117.72;49.88
All Providers Combined;Kennedy;;Dec 2022;65872;22831;median;22831;7;1.244.723.333;4.5;110285;54969;110.29;54.97
All Providers Combined;Bosa;;Dec 2022;15084;4799;median;4799;10;168.333;5.925;101872;27013;101.87;27.01
All Providers Combined;Tunjuelito;;Dec 2022;16336;6381;median;6381;14;189.222;6.175;44123;19777;44.12;19.78
All Providers Combined;Usme;;Dec 2022;2783;927;median;927;12;192.166;7.317;40977;24750;40.98;24.75
All Providers Combined;San Cristóbal;;Dec 2022;14032;5078;median;5078;9;16.05;55.271;93671;32615;93.67;32.62
All Providers Combined;Santa Fe;;Dec 2022;9993;3752;median;3752;9;146.519;4.05;90439;33011;90.44;33.01
All Providers Combined;Usaquen;;Dec 2022;58288;21476;median;21476;6;10.7;40.125;115066;87281;115.07;87.28
All Providers Combined;Chapinero;;Dec 2022;41887;15729;median;15729;6;106.667;36.836;95099;57502;95.10;57.50
All Providers Combined;Sumapaz;;Jan 2023;114;26;median;26;10;1.412.325;345.355;38461;38823;38.46;38.82
All Providers Combined;Ciudad Bolívar;;Jan 2023;13639;4188;median;4188;13;184.466;647.325;37368;17833;37.37;17.83
All Providers Combined;Rafael Uribe Uribe;;Jan 2023;20125;7451;median;7451;12;17.6;4.975;46771;20600;46.77;20.60
All Providers Combined;Puente Aranda;;Jan 2023;19316;7225;median;7225;6;105.079;36.451;115797;71154;115.80;71.15
All Providers Combined;Teusaquillo;;Jan 2023;40165;14816;median;14816;5;87.167;32.625;97813;86052;97.81;86.05
All Providers Combined;Barrios Unidos;;Jan 2023;16079;6229;median;6229;6;11;3.875;121812;53003;121.81;53.00
All Providers Combined;Suba;;Jan 2023;95814;31673;median;31673;7;12.389.225;44.661.375;138407;51130;138.41;51.13
All Providers Combined;Engativá;;Jan 2023;55857;19460;median;19460;6;10.646.425;3.669.375;123718;73106;123.72;73.11
All Providers Combined;Fontibón;;Jan 2023;32569;11876;median;11876;6;12.4;421.515;119599;43444;119.60;43.44
All Providers Combined;Kennedy;;Jan 2023;82452;28550;median;28550;7;130.667;46.802;108995;43824;109.00;43.82
All Providers Combined;Bosa;;Jan 2023;14979;4032;median;4032;10;162.544;6.29;106272;24630;106.27;24.63
All Providers Combined;Tunjuelito;;Jan 2023;18275;7201;median;7201;14;197.354;69.875;48191;19753;48.19;19.75
All Providers Combined;Usme;;Jan 2023;3814;1286;median;1286;15;2.030.735;8.45;28637;10615;28.64;10.62
All Providers Combined;San Cristóbal;;Jan 2023;14739;5408;median;5408;9;163.167;5.575;90920;32127;90.92;32.13
