Country;Date;Download_speed;Upload_speed;Latency
colombia;2023-03-01;93.46;32.99;11.0
colombia;2023-04-01;93.78;33.19;11.0
colombia;2023-05-01;94.4;33.54;10.0
colombia;2023-06-01;94.8;33.99;10.0
colombia;2023-07-01;95.45;35.29;11.0
colombia;2023-08-01;99.19;36.99;10.0
colombia;2023-09-01;104.9;39.88;11.0
colombia;2023-10-01;111.65;43.41;10.0
colombia;2023-11-01;111.81;42.54;10.0
colombia;2023-12-01;117.23;42.97;11.0
colombia;2024-01-01;124.57;43.62;10.0
colombia;2024-02-01;137.65;46.8;10.0
colombia;2024-03-01;135.17;45.88;10.0
venezuela;2023-03-01;22.04;19.33;16.0
venezuela;2023-04-01;23.32;19.82;17.0
venezuela;2023-05-01;26.08;22.05;14.0
venezuela;2023-06-01;27.08;23.46;15.0
venezuela;2023-07-01;29.02;25.0;14.0
venezuela;2023-08-01;29.51;25.03;13.0
venezuela;2023-09-01;32.28;28.66;13.0
venezuela;2023-10-01;37.49;35.52;10.0
venezuela;2023-11-01;39.83;39.06;10.0
venezuela;2023-12-01;40.51;38.85;9.0
venezuela;2024-01-01;41.36;38.42;10.0
venezuela;2024-02-01;44.98;41.42;9.0
venezuela;2024-03-01;47.4;44.15;9.0
bolivia;2023-03-01;29.09;14.79;10.0
bolivia;2023-04-01;30.02;14.13;10.0
bolivia;2023-05-01;30.37;14.63;10.0
bolivia;2023-06-01;28.61;14.23;9.0
bolivia;2023-07-01;26.13;14.22;8.0
bolivia;2023-08-01;26.23;14.52;10.0
bolivia;2023-09-01;28.98;15.05;10.0
bolivia;2023-10-01;30.71;15.08;11.0
bolivia;2023-11-01;32.5;15.03;10.0
bolivia;2023-12-01;32.18;14.81;10.0
bolivia;2024-01-01;32.38;14.69;10.0
bolivia;2024-02-01;32.82;15.0;10.0
bolivia;2024-03-01;33.56;15.15;10.0
ecuador;2023-03-01;53.17;48.16;6.0
ecuador;2023-04-01;54.75;49.14;5.0
ecuador;2023-05-01;56.69;50.24;5.0
ecuador;2023-06-01;57.13;51.22;5.0
ecuador;2023-07-01;66.74;57.15;5.0
ecuador;2023-08-01;68.95;59.77;5.0
ecuador;2023-09-01;73.15;62.94;5.0
ecuador;2023-10-01;74.33;64.44;5.0
ecuador;2023-11-01;77.65;67.31;5.0
ecuador;2023-12-01;77.73;66.45;5.0
ecuador;2024-01-01;82.41;68.93;5.0
ecuador;2024-02-01;86.3;73.7;5.0
ecuador;2024-03-01;90.04;79.43;5.0
mexico;2023-03-01;50.53;19.63;8.0
mexico;2023-04-01;50.58;19.32;8.0
mexico;2023-05-01;59.23;20.48;7.0
mexico;2023-06-01;60.71;21.37;7.0
mexico;2023-07-01;61.36;21.13;7.0
mexico;2023-08-01;61.37;21.41;7.0
mexico;2023-09-01;62.14;21.35;7.0
mexico;2023-10-01;63.43;21.75;6.0
mexico;2023-11-01;60.28;20.92;6.0
mexico;2023-12-01;59.86;20.4;7.0
mexico;2024-01-01;60.23;28.58;6.0
mexico;2024-02-01;62.04;32.56;6.0
mexico;2024-03-01;63.02;31.2;6.0
argentina;2023-03-01;56.67;24.65;12.0
argentina;2023-04-01;62.1;26.06;12.0
argentina;2023-05-01;64.2;26.47;11.0
argentina;2023-06-01;67.4;26.89;11.0
argentina;2023-07-01;68.55;26.88;11.0
argentina;2023-08-01;68.66;27.11;11.0
argentina;2023-09-01;72.63;28.65;11.0
argentina;2023-10-01;75.39;31.01;11.0
argentina;2023-11-01;75.89;34.05;11.0
argentina;2023-12-01;74.35;34.83;11.0
argentina;2024-01-01;75.62;34.31;11.0
argentina;2024-02-01;79.32;35.1;11.0
argentina;2024-03-01;80.88;36.13;11.0
peru;2023-03-01;79.31;37.81;9.0
peru;2023-04-01;79.9;37.98;10.0
peru;2023-05-01;81.6;39.62;9.0
peru;2023-06-01;87.89;43.97;9.0
peru;2023-07-01;89.16;46.75;9.0
peru;2023-08-01;89.34;48.24;9.0
peru;2023-09-01;91.67;50.96;8.0
peru;2023-10-01;93.52;53.26;8.0
peru;2023-11-01;93.92;53.8;8.0
peru;2023-12-01;94.6;55.75;8.0
peru;2024-01-01;100.33;60.07;8.0
peru;2024-02-01;112.64;71.57;8.0
peru;2024-03-01;137.58;86.84;7.0
paraguay;2023-03-01;71.38;27.13;8.0
paraguay;2023-04-01;74.86;27.54;9.0
paraguay;2023-05-01;75.78;28.01;9.0
paraguay;2023-06-01;77.9;28.34;9.0
paraguay;2023-07-01;80.2;28.68;9.0
paraguay;2023-08-01;78.05;28.6;9.0
paraguay;2023-09-01;79.99;28.89;9.0
