Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps;Multi-Server Latency;Multi-Server Jitter,
Tigo;Antioquia, Colombia;;Jan 2018;188068.0;95581.0;all;;median;50738.0;15.0;6642.0;1623.0;6.64;1.62;;
Tigo;Atlantico, Colombia;;Jan 2018;8502.0;3903.0;all;;median;2237.0;11.0;9128.0;1936.0;9.13;1.94;;
Tigo;Bogota, Colombia;;Jan 2018;28310.0;14120.0;all;;median;8273.0;12.0;6124.0;1743.0;6.12;1.74;;
Tigo;Bolivar, Colombia;;Jan 2018;8438.0;4341.0;all;;median;2479.0;13.0;5649.0;1783.0;5.65;1.78;;
Tigo;Boyaca, Colombia;;Jan 2018;395.0;147.0;all;;median;68.0;18.0;5309.0;1320.0;5.31;1.32;;
Tigo;Caldas, Colombia;;Jan 2018;5863.0;3146.0;all;;median;1789.0;18.0;6577.0;1810.0;6.58;1.81;;
Tigo;Caquetá, Colombia;;Jan 2018;1.0;1.0;all;;median;1.0;245.0;18252.0;17899.0;18.25;17.9;;
Tigo;Cauca Department, Colombia;;Jan 2018;3121.0;1325.0;all;;median;665.0;46.0;3701.0;1384.0;3.7;1.38;;
Tigo;Cesar, Colombia;;Jan 2018;1017.0;498.0;all;;median;303.0;27.0;6695.0;1746.0;6.7;1.75;;
Tigo;Choco, Colombia;;Jan 2018;58.0;35.0;all;;median;18.0;16.0;4821.0;2888.0;4.82;2.89;;
Tigo;Cordoba, Colombia;;Jan 2018;1463.0;754.0;all;;median;395.0;30.0;6653.0;1697.0;6.65;1.7;;
Tigo;Cundinamarca, Colombia;;Jan 2018;4034.0;1993.0;all;;median;1246.0;24.0;5167.0;1191.0;5.17;1.19;;
Tigo;Huila, Colombia;;Jan 2018;1.0;1.0;all;;median;1.0;48.0;3507.0;482.0;3.51;0.48;;
Tigo;Magdalena, Colombia;;Jan 2018;1672.0;953.0;all;;median;563.0;18.0;8763.0;1990.0;8.76;1.99;;
Tigo;Meta, Colombia;;Jan 2018;1202.0;573.0;all;;median;309.0;14.0;7842.0;1678.0;7.84;1.68;;
Tigo;Narino, Colombia;;Jan 2018;5.0;5.0;all;;median;3.0;47.0;3881.0;917.0;3.88;0.92;;
Tigo;North Santander, Colombia;;Jan 2018;31.0;17.0;all;;median;11.0;38.0;9669.0;9681.0;9.67;9.68;;
Tigo;Putumayo, Colombia;;Jan 2018;16.0;10.0;all;;median;3.0;42.0;2191.0;685.0;2.19;0.69;;
Tigo;Quindio, Colombia;;Jan 2018;3711.0;1918.0;all;;median;931.0;36.0;5428.0;1888.0;5.43;1.89;;
Tigo;Risaralda, Colombia;;Jan 2018;10210.0;5301.0;all;;median;2960.0;14.0;8520.0;2908.0;8.52;2.91;;
Tigo;San Andrés and Providencia, Colombia;;Jan 2018;6.0;4.0;all;;median;4.0;158.0;327.0;133.0;0.33;0.13;;
Tigo;Santander Department, Colombia;;Jan 2018;16450.0;7765.0;all;;median;4251.0;41.0;5545.0;1611.0;5.55;1.61;;
Tigo;Sucre, Colombia;;Jan 2018;606.0;363.0;all;;median;219.0;17.0;5362.0;1310.0;5.36;1.31;;
Tigo;Tolima, Colombia;;Jan 2018;3113.0;1664.0;all;;median;991.0;35.0;5912.0;3250.0;5.91;3.25;;
