Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Tigo;Antioquia, Colombia;;Jan 2018;188068;95581;all;N/A;median;50738;15;6642;1623;6.64;1.62
Tigo;Atlantico, Colombia;;Jan 2018;8502;3903;all;N/A;median;2237;11;9128;1936;9.13;1.94
Tigo;Bogota, Colombia;;Jan 2018;28310;14120;all;N/A;median;8273;12;6124;1743;6.12;1.74
Tigo;Bolivar, Colombia;;Jan 2018;8438;4341;all;N/A;median;2479;13;5649;1783;5.65;1.78
Tigo;Boyaca, Colombia;;Jan 2018;395;147;all;N/A;median;68;18;5309;1320;5.31;1.32
Tigo;Caldas, Colombia;;Jan 2018;5863;3146;all;N/A;median;1789;18;6577;1810;6.58;1.81
Tigo;Caquetá, Colombia;;Jan 2018;1;1;all;N/A;median;1;245;18252;17899;18.25;17.90
Tigo;Cauca Department, Colombia;;Jan 2018;3121;1325;all;N/A;median;665;46;3701;1384;3.70;1.38
Tigo;Cesar, Colombia;;Jan 2018;1017;498;all;N/A;median;303;27;6695;1746;6.70;1.75
Tigo;Choco, Colombia;;Jan 2018;58;35;all;N/A;median;18;16;4821;2888;4.82;2.89
Tigo;Cordoba, Colombia;;Jan 2018;1463;754;all;N/A;median;395;30;6653;1697;6.65;1.70
Tigo;Cundinamarca, Colombia;;Jan 2018;4034;1993;all;N/A;median;1246;24;5167;1191;5.17;1.19
Tigo;Huila, Colombia;;Jan 2018;1;1;all;N/A;median;1;48;3507;482;3.51;0.48
Tigo;Magdalena, Colombia;;Jan 2018;1672;953;all;N/A;median;563;18;8763;1990;8.76;1.99
Tigo;Meta, Colombia;;Jan 2018;1202;573;all;N/A;median;309;14;7842;1678;7.84;1.68
Tigo;Narino, Colombia;;Jan 2018;5;5;all;N/A;median;3;47;3881;917;3.88;0.92
Tigo;North Santander, Colombia;;Jan 2018;31;17;all;N/A;median;11;38;9669;9681;9.67;9.68
Tigo;Putumayo, Colombia;;Jan 2018;16;10;all;N/A;median;3;42;2191;685;2.19;0.69
Tigo;Quindio, Colombia;;Jan 2018;3711;1918;all;N/A;median;931;36;5428;1888;5.43;1.89
Tigo;Risaralda, Colombia;;Jan 2018;10210;5301;all;N/A;median;2960;14;8520;2908;8.52;2.91
Tigo;San Andrés and Providencia, Colombia;;Jan 2018;6;4;all;N/A;median;4;158;327;133;0.33;0.13
Tigo;Santander Department, Colombia;;Jan 2018;16450;7765;all;N/A;median;4251;41;5545;1611;5.55;1.61
Tigo;Sucre, Colombia;;Jan 2018;606;363;all;N/A;median;219;17;5362;1310;5.36;1.31
Tigo;Tolima, Colombia;;Jan 2018;3113;1664;all;N/A;median;991;35;5912;3250;5.91;3.25
Tigo;Valle del Cauca, Colombia;;Jan 2018;27597;12981;all;N/A;median;6656;30;5276;1745;5.28;1.75
EMCALI;Antioquia, Colombia;;Jan 2018;34;20;all;N/A;median;18;33;4475;824;4.48;0.82
EMCALI;Cauca Department, Colombia;;Jan 2018;27;19;all;N/A;median;6;29;3220;1281;3.22;1.28
