Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Colombia;;Jan 2018;1529360;772892;all;N/A;median;383877;31;;6013;1373;6.01;1.37
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Jan 2018;88990;44704;all;N/A;median;23417;55;;5599;1342;5.60;1.34
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2018;13553;7232;all;N/A;median;3684;17;;7190;1776;7.19;1.78
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Jan 2018;199583;100745;all;N/A;median;54641;22;;6664;1756;6.66;1.76
All Providers Combined;Bogotá, Bogota, Colombia;;Jan 2018;502031;247825;all;N/A;median;137156;18;;7926;1991;7.93;1.99
Movistar;Colombia;;Jan 2018;245872;145771;all;N/A;median;63434;41;;5089;799;5.09;0.80
Movistar;Cali, Cali, Valle del Cauca, Colombia;;Jan 2018;6679;3826;all;N/A;median;1629;39;;6904;956;6.90;0.96
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2018;2813;1647;all;N/A;median;765;63;;7794;974;7.79;0.97
Movistar;Medellín, Medellin, Antioquia, Colombia;;Jan 2018;1116;653;all;N/A;median;530;46;;5235;786;5.24;0.79
Movistar;Bogotá, Bogota, Colombia;;Jan 2018;33683;20164;all;N/A;median;10637;31;;5761;836;5.76;0.84
Claro;Colombia;;Jan 2018;588997;277740;all;N/A;median;157032;32;;8102;2060;8.10;2.06
Claro;Cali, Cali, Valle del Cauca, Colombia;;Jan 2018;47676;22852;all;N/A;median;12958;62;;7972;2021;7.97;2.02
Claro;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2018;1649;923;all;N/A;median;507;13;;10464;2434;10.46;2.43
Claro;Medellín, Medellin, Antioquia, Colombia;;Jan 2018;35993;17456;all;N/A;median;10776;42;;9022;2106;9.02;2.11
Claro;Bogotá, Bogota, Colombia;;Jan 2018;243483;112625;all;N/A;median;65441;16;;8923;2078;8.92;2.08
Tigo;Colombia;;Jan 2018;314076;157075;all;N/A;median;82631;19;;6292;1710;6.29;1.71
Tigo;Cali, Cali, Valle del Cauca, Colombia;;Jan 2018;13655;6734;all;N/A;median;3713;27;;5815;1849;5.82;1.85
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2018;6697;3523;all;N/A;median;2044;13;;5841;1816;5.84;1.82
Tigo;Medellín, Medellin, Antioquia, Colombia;;Jan 2018;146510;74191;all;N/A;median;40143;15;;6788;1752;6.79;1.75
Tigo;Bogotá, Bogota, Colombia;;Jan 2018;28298;14116;all;N/A;median;8272;12;;6121;1743;6.12;1.74
ETB;Colombia;;Jan 2018;168795;92267;all;N/A;median;51175;14;;11252;6322;11.25;6.32
ETB;Cali, Cali, Valle del Cauca, Colombia;;Jan 2018;6;6;all;N/A;median;5;43;;7079;7289;7.08;7.29
ETB;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2018;7;3;all;N/A;median;3;40;;507;510;0.51;0.51
ETB;Medellín, Medellin, Antioquia, Colombia;;Jan 2018;373;205;all;N/A;median;153;30;;5617;811;5.62;0.81
ETB;Bogotá, Bogota, Colombia;;Jan 2018;139568;76608;all;N/A;median;43377;12;;12090;6673;12.09;6.67
All Providers Combined;Colombia;;feb-18;1611753;797852;all;N/A;median;390769;32;;6490;1605;6.49;1.61
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;feb-18;94857;47138;all;N/A;median;23693;52;;6258;1460;6.26;1.46
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;feb-18;13341;6824;all;N/A;median;3416;17;;8477;1767;8.48;1.77
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;feb-18;194617;97919;all;N/A;median;53199;23;;7440;1928;7.44;1.93
All Providers Combined;Bogotá, Bogota, Colombia;;feb-18;558612;263291;all;N/A;median;142210;19;;8097;2051;8.10;2.05
Movistar;Colombia;;feb-18;245266;146233;all;N/A;median;63623;40;;5215;829;5.22;0.83
Movistar;Cali, Cali, Valle del Cauca, Colombia;;feb-18;7106;4433;all;N/A;median;1812;38;;8415;1029;8.42;1.03
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;feb-18;2893;1638;all;N/A;median;753;62;;7695;976;7.70;0.98
