Aggregate Date;municipio;region;connection_type;provider;test_count;performance_sample_count;mean_download_speed_mbps;download_speed;mean_upload_mbps;upload_speed;latency;jitter;mes;año;periodo;sample_count;mean_download_mbps;mean_latency_ms;mean_jitter;Indice_Descarga;Indice_Carga;Indice_Latencia;Indice_Jitter;Indice_CRC
2022-10-01;YOPAL;Casanare;All Fixed;All Providers Combined;3883;989.0;68.962;35.927;36.876;24.052;14.0;8.0;10;2022;2022-10;;;;;0.9201684210526315;0.9622222222222222;25.0;8.4;35.28239064327485
2022-05-01;NEIVA;Huila;All Fixed;All Providers Combined;28932;6271.0;69.164;37.233;24.198;16.989;26.0;16.0;5;2022;2022-05;;;;;1.0301473684210525;0.6055050505050505;24.666666666666668;6.8;33.10231908559277
2022-05-01;PASTO;Narino;All Fixed;All Providers Combined;24254;5230.0;78.45;46.001;38.678;18.306;27.0;12.0;5;2022;2022-05;;;;;1.7685052631578946;0.6720202020202021;24.333333333333332;7.6;34.37385879851143
2022-09-01;SAN ANDRES;San Andrés and Providencia;All Fixed;All Providers Combined;1799;320.0;70.223;22.171;64.538;18.429;26.0;8.0;9;2022;2022-09;;;;;0.0;0.6782323232323232;24.666666666666668;8.4;33.74489898989899
2022-02-01;BUCARAMANGA;Santander Department;All Fixed;All Providers Combined;68419;20953.0;102.372;70.584;62.963;21.623;27.0;6.0;2;2022;2022-02;;;;;3.8386526315789475;0.8395454545454546;24.333333333333332;8.8;37.81153141945774
2022-10-01;BUCARAMANGA;Santander Department;All Fixed;All Providers Combined;53966;17304.0;130.638;93.48;97.285;34.433;17.0;5.0;10;2022;2022-10;;;;;5.766736842105264;1.4865151515151516;25.0;9.0;41.25325199362042
2022-02-01;MONTERIA;Cordoba;All Fixed;All Providers Combined;15439;4142.0;89.943;58.22;48.538;18.899;17.0;6.0;2;2022;2022-02;;;;;2.797473684210526;0.701969696969697;25.0;8.8;37.299443381180225
2022-05-01;CALI;Valle del Cauca;All Fixed;All Providers Combined;156824;41917.0;101.163;66.762;56.478;20.744;20.0;8.0;5;2022;2022-05;;;;;3.5168;0.7951515151515152;25.0;8.4;37.71195151515151
2022-07-01;QUIBDO;Choco;All Fixed;All Providers Combined;1020;276.0;23.761;13.627;21.802;10.618;31.0;16.0;7;2022;2022-07;;;;;0.0;0.2837373737373738;23.0;6.8;30.083737373737375
2022-07-01;POPAYAN;Cauca Department;All Fixed;All Providers Combined;18669;4832.0;85.302;57.843;29.639;22.023;20.0;9.0;7;2022;2022-07;;;;;2.765726315789474;0.8597474747474747;25.0;8.2;36.82547379053695
2022-12-01;LETICIA;Amazonas;All Fixed;All Providers Combined;1086;97.0;36.691;24.594;4.734;3.934;190.0;112.0;12;2022;2022-12;;;;;0.0;0.0;0.0;0.0;0.0
2022-02-01;VALLEDUPAR;Cesar;All Fixed;All Providers Combined;15289;4300.0;93.81;64.315;42.438;18.55;29.0;7.0;2;2022;2022-02;;;;;3.3107368421052628;0.6843434343434344;23.666666666666668;8.6;36.26174694311536
2022-09-01;PEREIRA;Risaralda;All Fixed;All Providers Combined;28603;7658.0;99.014;64.287;39.713;24.136;21.0;6.0;9;2022;2022-09;;;;;3.3083789473684218;0.9664646464646465;25.0;8.8;38.074843593833066
2022-03-01;VALLEDUPAR;Cesar;All Fixed;All Providers Combined;16617;4582.0;97.639;67.022;44.336;19.513;28.0;7.0;3;2022;2022-03;;;;;3.5386947368421056;0.7329797979797981;24.0;8.6;36.871674534821906
2022-06-01;FLORENCIA;Caquetá;All Fixed;All Providers Combined;5593;1336.0;42.264;20.259;27.712;20.157;21.0;9.0;6;2022;2022-06;;;;;0.0;0.7655050505050506;25.0;8.2;33.96550505050505
2022-01-01;FLORENCIA;Cauca Department;All Fixed;All Providers Combined;43;21.0;64.799;10.228;63.252;9.157;18.0;8.0;1;2022;2022-01;;;;;0.0;0.20994949494949494;25.0;8.4;33.6099494949495
2022-01-01;VILLAVICENCIO;Meta;All Fixed;All Providers Combined;31160;8853.0;90.153;56.799;57.687;19.403;13.0;7.0;1;2022;2022-01;;;;;2.6778105263157896;0.7274242424242424;25.0;8.6;37.00523476874003
2022-11-01;RIOHACHA;La Guajira;All Fixed;All Providers Combined;2485;848.0;103.316;65.39;37.023;29.224;32.0;8.0;11;2022;2022-11;;;;;3.4012631578947365;1.2234343434343435;22.666666666666668;8.4;35.69136416799575
2022-04-01;RIOHACHA;La Guajira;All Fixed;All Providers Combined;3670;1152.0;75.489;51.77;25.64;21.346;34.0;9.0;4;2022;2022-04;;;;;2.2543157894736847;0.8255555555555555;22.0;8.2;33.279871345029235
2022-06-01;BUCARAMANGA;Santander Department;All Fixed;All Providers Combined;48782;16141.0;118.496;85.293;82.618;31.282;19.0;5.0;6;2022;2022-06;;;;;5.077305263157895;1.3273737373737373;25.0;9.0;40.40467900053163
2022-02-01;MANIZALES;Caldas;All Fixed;All Providers Combined;28855;8538.0;79.607;57.508;19.459;13.011;27.0;7.0;2;2022;2022-02;;;;;2.7375157894736843;0.40459595959595956;24.333333333333332;8.6;36.07544508240298
2022-09-01;ARMENIA;Quindio;All Fixed;All Providers Combined;12376;3354.0;133.173;94.205;62.531;23.199;25.0;7.0;9;2022;2022-09;;;;;5.82778947368421;0.9191414141414141;25.0;8.6;40.34693088782562
2022-08-01;MOCOA;Putumayo;All Fixed;All Providers Combined;2085;511.0;41.369;23.168;34.695;19.202;23.0;10.0;8;2022;2022-08;;;;;0.0;0.7172727272727274;25.0;8.0;33.71727272727273
2022-09-01;ARAUCA;Arauca;All Fixed;All Providers Combined;858;324.0;34.803;11.014;27.833;4.807;20.0;9.0;9;2022;2022-09;;;;;0.0;0.0;25.0;8.2;33.2
2022-10-01;BOGOTA;Bogota;All Fixed;All Providers Combined;742269;224617.0;131.604;94.512;95.479;38.812;8.0;5.0;10;2022;2022-10;;;;;5.853642105263158;1.7076767676767677;25.0;9.0;41.56131887293993
2022-12-01;YOPAL;Casanare;All Fixed;All Providers Combined;3800;902.0;62.848;28.804;35.066;21.072;14.0;9.0;12;2022;2022-12;;;;;0.32033684210526303;0.8117171717171716;25.0;8.2;34.33205401382243
2022-09-01;BUCARAMANGA;Santander Department;All Fixed;All Providers Combined;53391;16567.0;128.474;92.691;93.498;33.135;17.0;5.0;9;2022;2022-09;;;;;5.700294736842106;1.420959595959596;25.0;9.0;41.121254332801705
2022-11-01;QUIBDO;Choco;All Fixed;All Providers Combined;1826;533.0;63.304;16.688;65.255;19.924;23.0;13.0;11;2022;2022-11;;;;;0.0;0.7537373737373737;25.0;7.4;33.15373737373737
2022-05-01;CUCUTA;North Santander;All Fixed;All Providers Combined;27738;7814.0;88.696;53.966;48.959;21.854;25.0;7.0;5;2022;2022-05;;;;;2.4392421052631583;0.8512121212121212;25.0;8.6;36.89045422647528
2022-02-01;MEDELLIN;Antioquia;All Fixed;All Providers Combined;242974;76563.0;93.968;64.008;47.243;17.367;11.0;5.0;2;2022;2022-02;;;;;3.284884210526315;0.6245959595959596;25.0;9.0;37.90948017012228
2022-03-01;ARAUCA;Arauca;All Fixed;All Providers Combined;1098;386.0;23.928;10.857;14.153;4.992;21.0;9.0;3;2022;2022-03;;;;;0.0;0.0;25.0;8.2;33.2
2022-10-01;ARMENIA;Quindio;All Fixed;All Providers Combined;13801;3600.0;133.103;94.188;73.337;22.675;26.0;7.0;10;2022;2022-10;;;;;5.826357894736842;0.8926767676767676;24.666666666666668;8.6;39.98570132908028
2022-12-01;BUCARAMANGA;Santander Department;All Fixed;All Providers Combined;43551;14515.0;137.636;94.834;103.576;37.511;16.0;5.0;12;2022;2022-12;;;;;5.880757894736842;1.641969696969697;25.0;9.0;41.52272759170654
2022-08-01;INIRIDA;Guainia;All Fixed;All Providers Combined;30;7.0;1.339;1.104;0.582;0.591;661.0;193.0;8;2022;2022-08;;;;;0.0;0.0;0.0;0.0;0.0
2022-11-01;CUCUTA;North Santander;All Fixed;All Providers Combined;22972;7063.0;108.782;66.068;66.629;29.19;22.0;7.0;11;2022;2022-11;;;;;3.458357894736842;1.2217171717171718;25.0;8.6;38.28007506645401
2022-07-01;ARMENIA;Quindio;All Fixed;All Providers Combined;10690;3030.0;117.157;89.126;49.58;18.814;22.0;7.0;7;2022;2022-07;;;;;5.400084210526316;0.6976767676767677;25.0;8.6;39.697760978203085
2022-06-01;LETICIA;Amazonas;All Fixed;All Providers Combined;33;14.0;3.916;4.499;4.137;0.775;87.0;88.0;6;2022;2022-06;;;;;0.0;0.0;4.333333333333333;0.0;4.333333333333333
2022-02-01;POPAYAN;Cauca Department;All Fixed;All Providers Combined;18497;4968.0;67.729;46.288;21.988;15.241;20.0;8.0;2;2022;2022-02;;;;;1.792673684210526;0.5172222222222221;25.0;8.4;35.70989590643275
2022-02-01;TUNJA;Boyaca;All Fixed;All Providers Combined;16233;4882.0;77.106;52.249;39.572;19.622;15.0;7.0;2;2022;2022-02;;;;;2.2946526315789475;0.7384848484848485;25.0;8.6;36.633137480063795
2022-09-01;RIOHACHA;La Guajira;All Fixed;All Providers Combined;3220;846.0;92.253;55.027;38.876;29.507;32.0;9.0;9;2022;2022-09;;;;;2.5285894736842103;1.2377272727272728;22.666666666666668;8.2;34.63298341307815
2022-12-01;CUCUTA;North Santander;All Fixed;All Providers Combined;22756;6762.0;107.592;64.915;66.765;29.451;23.0;7.0;12;2022;2022-12;;;;;3.3612631578947374;1.23489898989899;25.0;8.6;38.19616214779373
2022-08-01;IBAGUE;Tolima;All Fixed;All Providers Combined;29842;8115.0;113.207;78.593;82.387;32.862;12.0;6.0;8;2022;2022-08;;;;;4.513094736842106;1.4071717171717173;25.0;8.8;39.720266454013824
2022-12-01;VILLAVICENCIO;Meta;All Fixed;All Providers Combined;25203;7162.0;130.207;92.581;95.549;33.214;11.0;6.0;12;2022;2022-12;;;;;5.691031578947369;1.4249494949494947;25.0;8.8;40.91598107389686
2022-01-01;YOPAL;Casanare;All Fixed;All Providers Combined;6831;1959.0;65.538;45.277;17.07;11.049;18.0;10.0;1;2022;2022-01;;;;;1.7075368421052632;0.3055050505050505;25.0;8.0;35.01304189261032
2022-01-01;PASTO;Narino;All Fixed;All Providers Combined;17438;4986.0;61.542;39.342;25.302;11.128;25.0;9.0;1;2022;2022-01;;;;;1.2077473684210525;0.3094949494949495;25.0;8.2;34.717242317916
2022-10-01;TUNJA;Boyaca;All Fixed;All Providers Combined;11800;3468.0;96.726;61.477;48.74;29.323;14.0;7.0;10;2022;2022-10;;;;;3.0717473684210526;1.2284343434343434;25.0;8.6;37.900181711855396
2022-03-01;RIOHACHA;La Guajira;All Fixed;All Providers Combined;3661;1192.0;77.641;53.13;23.025;20.024;34.0;8.0;3;2022;2022-03;;;;;2.368842105263158;0.7587878787878788;22.0;8.4;33.52762998405104
2022-09-01;SINCELEJO;Sucre;All Fixed;All Providers Combined;5068;1470.0;109.517;74.996;46.093;23.397;15.0;5.0;9;2022;2022-09;;;;;4.21018947368421;0.929141414141414;25.0;9.0;39.13933088782562
2022-10-01;MANIZALES;Caldas;All Fixed;All Providers Combined;28491;7480.0;113.546;84.65;33.675;18.94;28.0;8.0;10;2022;2022-10;;;;;5.023157894736842;0.7040404040404041;24.0;8.4;38.127198298777245
2022-12-01;SINCELEJO;Sucre;All Fixed;All Providers Combined;3703;1159.0;109.855;77.222;42.899;22.634;15.0;6.0;12;2022;2022-12;;;;;4.397642105263158;0.8906060606060606;25.0;8.8;39.08824816586922
2022-06-01;SINCELEJO;Sucre;All Fixed;All Providers Combined;5185;1529.0;87.183;60.549;34.328;18.17;17.0;6.0;6;2022;2022-06;;;;;2.9936000000000003;0.6651515151515153;25.0;8.8;37.45875151515152
2022-11-01;NEIVA;Huila;All Fixed;All Providers Combined;16210;4539.0;92.357;59.221;49.875;30.398;20.0;8.0;11;2022;2022-11;;;;;2.8817684210526315;1.2827272727272727;25.0;8.4;37.564495693779904
2022-08-01;VILLAVICENCIO;Meta;All Fixed;All Providers Combined;29356;8065.0;123.64;88.107;89.41;32.504;11.0;6.0;8;2022;2022-08;;;;;5.314273684210526;1.389090909090909;25.0;8.8;40.503364593301434
2022-08-01;BUCARAMANGA;Santander Department;All Fixed;All Providers Combined;56318;17819.0;122.703;88.4;83.501;32.278;18.0;5.0;8;2022;2022-08;;;;;5.338947368421053;1.3776767676767676;25.0;9.0;40.71662413609782
2022-03-01;MANIZALES;Caldas;All Fixed;All Providers Combined;35393;9608.0;76.536;54.879;19.483;12.902;28.0;8.0;3;2022;2022-03;;;;;2.5161263157894735;0.39909090909090905;24.0;8.4;35.315217224880385
2022-02-01;BARRANQUILLA;Atlantico;All Fixed;All Providers Combined;73129;21608.0;94.425;60.794;63.323;20.588;16.0;6.0;2;2022;2022-02;;;;;3.014231578947368;0.7872727272727273;25.0;8.8;37.60150430622009
2022-01-01;MANIZALES;Caldas;All Fixed;All Providers Combined;34456;9145.0;76.96;55.854;19.646;11.642;30.0;9.0;1;2022;2022-01;;;;;2.598231578947368;0.3354545454545454;23.333333333333332;8.2;34.46701945773525
2022-03-01;ARMENIA;Quindio;All Fixed;All Providers Combined;10904;3018.0;88.272;61.179;31.738;16.129;22.0;7.0;3;2022;2022-03;;;;;3.0466526315789477;0.5620707070707072;25.0;8.6;37.208723338649655
2022-02-01;PEREIRA;Risaralda;All Fixed;All Providers Combined;35612;9863.0;74.814;52.614;27.457;16.303;22.0;6.0;2;2022;2022-02;;;;;2.3253894736842105;0.570858585858586;25.0;8.8;36.696248059542796
2022-12-01;SANTA MARTA;Magdalena;All Fixed;All Providers Combined;16393;4866.0;113.33;79.511;71.275;28.542;15.0;6.0;12;2022;2022-12;;;;;4.590399999999999;1.188989898989899;25.0;8.8;39.5793898989899
2022-10-01;MEDELLIN;Antioquia;All Fixed;All Providers Combined;208839;64649.0;140.455;94.594;70.378;28.405;10.0;4.0;10;2022;2022-10;;;;;5.860547368421052;1.182070707070707;25.0;9.2;41.24261807549176
