Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Colombia;;Dec 2019;1676077;432382;all;N/A;mean;432382;41;28322;14496;28.32;14.50
ETB;Colombia;;Dec 2019;148769;46912;all;N/A;mean;46895;24;38922;27331;38.92;27.33
Movistar;Colombia;;Dec 2019;254844;69538;all;N/A;mean;69484;42;33573;32436;33.57;32.44
Claro;Colombia;;Dec 2019;764333;198476;all;N/A;mean;198441;46;28762;8357;28.76;8.36
Tigo;Colombia;;Dec 2019;353559;104090;all;N/A;mean;104061;29;24072;10068;24.07;10.07
All Providers Combined;Colombia;;Jan 2020;1859339;471403;all;N/A;mean;471403;44;28398;15303;28.40;15.30
ETB;Colombia;;Jan 2020;192070;56867;all;N/A;mean;56867;25;37923;27906;37.92;27.91
Movistar;Colombia;;Jan 2020;273456;74762;all;N/A;mean;74762;44;32411;33564;32.41;33.56
Claro;Colombia;;Jan 2020;828485;214396;all;N/A;mean;214396;47;29469;8677;29.47;8.68
Tigo;Colombia;;Jan 2020;384369;108333;all;N/A;mean;108333;35;23781;10894;23.78;10.89
All Providers Combined;Colombia;;feb-20;1944681;493070;all;N/A;mean;493070;39;31977;16586;31.98;16.59
ETB;Colombia;;feb-20;196850;59630;all;N/A;mean;59630;22;40474;29346;40.47;29.35
Movistar;Colombia;;feb-20;246312;71462;all;N/A;mean;71462;41;35732;34738;35.73;34.74
Claro;Colombia;;feb-20;904711;231866;all;N/A;mean;231866;44;33465;9924;33.47;9.92
Tigo;Colombia;;feb-20;408132;111468;all;N/A;mean;111468;28;26984;12532;26.98;12.53
All Providers Combined;Colombia;;mar-20;3309750;785318;all;N/A;mean;785318;45;28632;14544;28.63;14.54
ETB;Colombia;;mar-20;365921;103728;all;N/A;mean;103728;22;37415;25705;37.42;25.71
Movistar;Colombia;;mar-20;403040;108400;all;N/A;mean;108400;41;39080;39937;39.08;39.94
Claro;Colombia;;mar-20;1500090;364319;all;N/A;mean;364319;50;29210;7602;29.21;7.60
Tigo;Colombia;;mar-20;735610;174730;all;N/A;mean;174730;39;21912;8673;21.91;8.67
All Providers Combined;Colombia;;Apr 2020;3959783;864322;all;N/A;mean;864322;47;28294;13581;28.29;13.58
ETB;Colombia;;Apr 2020;502060;118305;all;N/A;mean;118305;23;37946;26604;37.95;26.60
Movistar;Colombia;;Apr 2020;477825;120170;all;N/A;mean;120170;42;40601;39922;40.60;39.92
Claro;Colombia;;Apr 2020;1804497;397929;all;N/A;mean;397929;52;28220;6237;28.22;6.24
Tigo;Colombia;;Apr 2020;795940;178534;all;N/A;mean;178534;40;21426;6561;21.43;6.56
