Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Pasto, Pasto, Narino, Colombia;;jul-21;24035;6349;all;N/A;mean;6349;37;49549;14601;49.55;14.60
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;jul-21;19873;5454;all;N/A;mean;5454;35;55735;23948;55.74;23.95
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;jul-21;7375;2079;all;N/A;mean;2079;43;45152;17593;45.15;17.59
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;jul-21;17927;4954;all;N/A;mean;4954;45;53303;14008;53.30;14.01
All Providers Combined;Montería, Montería, Córdoba, Colombia;;jul-21;16127;4816;all;N/A;mean;4816;37;57602;29284;57.60;29.28
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;jul-21;35959;9972;all;N/A;mean;9972;28;53768;14948;53.77;14.95
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;jul-21;22676;5998;all;N/A;mean;5998;31;50793;11489;50.79;11.49
All Providers Combined;Pasto, Pasto, Narino, Colombia;;Aug 2021;23370;6138;all;N/A;mean;6138;31;53816;17143;53.82;17.14
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;Aug 2021;16078;4938;all;N/A;mean;4938;35;58278;23701;58.28;23.70
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;Aug 2021;7381;2098;all;N/A;mean;2098;41;47437;21449;47.44;21.45
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;Aug 2021;16406;4890;all;N/A;mean;4890;28;59289;15909;59.29;15.91
All Providers Combined;Montería, Montería, Córdoba, Colombia;;Aug 2021;18317;5454;all;N/A;mean;5454;36;63534;37240;63.53;37.24
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;Aug 2021;38128;10690;all;N/A;mean;10690;28;55758;15147;55.76;15.15
