server_id;server_name;Cantidad servidores;Leyenda;Ubicación;server_country;server_country_code;latitude;longitude;server_url;sponsor_name;sponsor_url;status;host_version;host_build_date;is_public;https_enabled;https_functional
3161;Cali;3;Cali (3);Cali;Colombia;CO;3,4206;-76,5222;http://speedtest2.emcali.net.co:8080/speedtest/upload.php;Emcali;http://www.emcali.net.co/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
9063;Cali;3;Cali (3);Cali;Colombia;CO;3,4206;-76,5222;http://ns1.ert.com.co:8080/speedtest/upload.php;ERT;http://www.ert.com.co/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
11683;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://speedtest.globalcrossing.com.co:8080/speedtest/upload.php;Level 3;http://www.level3.com/en/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
11694;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://etb-medidor.etb.net.co:8080/speedtest/upload.php;ETB;http://www.etb.com.co;1;2.7.5;2020-06-16.1905.a787316;1;1;1
12962;Cartagena;1;Cartagena (1);Cartagena;Colombia;CO;10,4;-75,5;http://speedtest.claro.net.co:8080/speedtest/upload.php;Claro Colombia;http://speedtest.claro.net.co;1;2.7.5;2020-06-16.1905.a787316;1;1;1
13016;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://test.claro.net.co:8080/speedtest/upload.php;Claro Colombia;http://test.claro.net.co;1;2.7.5;2020-06-16.1905.a787316;1;1;1
14393;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,711;-74,0721;http://speedtest.directv.com.co:8080/speedtest/upload.php;DIRECTV Colombia;http://www.directv.com.co;1;2.7.5;2020-06-16.1905.a787316;1;1;1
14660;Cali;3;Cali (3);Cali;Colombia;CO;3,4206;-76,5222;http://speedtest2.emcali.net.co/speedtest/upload.php;EMCALI;http://www.emcali.net.co;0;2.7.5;2020-06-16.1905.a787316;1;0;0
15017;Medellin;2;Medellín (2);Medellin;Colombia;CO;6,2459;-75,5746;http://speedtestmed1.tigo.com.co:8080/speedtest/upload.php;Tigo;http://tigo.com.co/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
15018;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://speedtestbog1.tigo.com.co:8080/speedtest/upload.php;Tigo;http://tigo.com.co/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
15019;Barranquilla;4;Barranquilla (4);Barranquilla;Colombia;CO;10,9827;-74,8302;http://speedtestbaq1.tigo.com.co/speedtest/upload.php;Tigo;http://tigo.com.co/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
15285;San Andres;1;San Andrés (1);San Andres;Colombia;CO;12,545;-81,7076;http://speedtest.tvisla.net.co/speedtest/upload.php;TV ISLA;http://www.tvisla.net.co;3;2.7.5;2020-06-16.1905.a787316;1;1;1
17577;Barranquilla;4;Barranquilla (4);Barranquilla;Colombia;CO;10,9827;-74,8302;http://testdevelocidad.movistar.com.co:8080/speedtest/upload.php;Movistar;http://www.movistar.co/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
20572;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://speedtest.avantel.co/speedtest/upload.php;AVANTEL S.A.S.;https://www.avantel.co;3;2.7.1;2019-07-30.1924.e119e02;1;1;0
20612;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://speedtest.avantel.com.co:8080/speedtest/upload.php;AVANTEL S.A.S.;https://www.avantel.co;1;2.7.5;2020-06-16.1905.a787316;1;1;1
20857;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://speedtest.col.cwnetworks.com:8080/speedtest/upload.php;CWC;https://www.cwnetworks.com;1;2.7.5;2020-06-16.1905.a787316;1;1;1
22921;San Agustin, Huila;1;San Agustín, Huila (1);San Agustin;Colombia;CO;1,8798;-76,2707;http://speedtest.entertelecomunicaciones.com:8080/speedtest/upload.php;Enter Telecomunicaciones;http://www.entertelecomunicaciones.com/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
23359;Barranquilla;4;Barranquilla (4);Barranquilla;Colombia;CO;10,9827;-74,8302;http://speedtest-baq.ufinet.com.co:8080/speedtest/upload.php;Ufinet Colombia S.A.;https://www.ufinet.com/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
25199;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,711;-74,0721;http://speedtest-bog.ufinet.com.co:8080/speedtest/upload.php;Ufinet Colombia S.A.;https://www.ufinet.com/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
25336;Medellin;2;Medellín (2);Medellin;Colombia;CO;6,2442;-75,5906;http://speedtest.internexa.net:8080/speedtest/upload.php;INTERNEXA;http://www.internexa.com;1;2.7.5;2020-06-16.1905.a787316;1;1;1
26699;Choachi, Cundinamarca;1;Choachí, Cundinamarca (1);Choachi;Colombia;CO;4,5287;-73,923;http://speedtest.ticcol.com:8080/speedtest/upload.php;TICCOL;https://ticcol.com;1;2.7.5;2020-06-16.1905.a787316;1;1;1
27087;Pasto;1;Pasto (1);Pasto;Colombia;CO;1,2059;-77,2858;http://speedtest.sistemaspalacios.com.co:8080/speedtest/upload.php;Sistemas Palacios;http://www.sistemaspalacios.com;1;2.7.5;2020-06-16.1905.a787316;1;1;1
28163;Popayan;3;Popayán (3);Popayan;Colombia;CO;2,4448;-76,6147;http://test.dobleclick.net.co:8080/speedtest/upload.php;dobleclick;http://www.emtel.net.co;1;2.7.5;2020-06-16.1905.a787316;1;1;1
28804;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://speedtest.cablemas.co:8080/speedtest/upload.php;CableMas Colombia;http://cablemas.co;1;2.7.4;2019-09-17.2311.4b191db;1;1;1
29638;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://spt-bog1.edgeuno.com:8080/speedtest/upload.php;EdgeUno;https://edgeuno.com/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
34600;Rosas, Cauca;1;Rosas, Cauca (1);Rosas;Colombia;CO;2,2619;-76,7406;http://speedtest.simectgroup.com:8080/speedtest/upload.php;Simect Group Redes e Internet SAS;https://www.simectgroup.com;1;2.7.5;2020-06-16.1905.a787316;1;1;1
36243;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://speedtest2.simectgroup.com:8080/speedtest/upload.php;Simect Group Redes e Internet SAS;https://www.simectgroup.com;1;2.7.5;2020-06-16.1905.a787316;1;1;1
37409;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://speedtestb.directvnet.com.co:8080/speedtest/upload.php;DirecTV;http://www.directv.com.co;1;2.7.5;2020-06-16.1905.a787316;1;1;1
37506;Guamal, Magdalena;1;Guamal, Magdalena (1);Guamal ;Colombia;CO;9,25;-74,167;http://speedtest.cablenetdelsur.com.co:8080/speedtest/upload.php;CableNet del Sur;http://cablenetdelsur.com.co/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
37957;Plato, Magdalena;1;Plato, Magdalena (1);Plato;Colombia;CO;9,7913;-74,7975;http://speedtest.inttercom.net.co:8080/speedtest/upload.php;INTTERCOM - INTERNET Y TELECOMUNICACIONES DE COLOMBIA SAS;http://www.inttercom.net.co;1;2.7.5;2020-06-16.1905.a787316;1;1;1
39673;Popayan;3;Popayán (3);Popayan;Colombia;CO;2,4448;-76,6147;http://test-velocidad.colombianet.tech:8080/speedtest/upload.php;Colombianet Ingeniería;https://colombianet.tech;1;2.7.5;2020-06-16.1905.a787316;1;1;0
39689;Popayan;3;Popayán (3);Popayan;Colombia;CO;2,4448;-76,6147;http://speedtest.emtel.net.co:8080/speedtest/upload.php;EMTEL S.A. E.S.P;https://www.emtel.com.co;1;2.7.5;2020-06-16.1905.a787316;1;1;1
39714;Valledupar;2;Valledupar (2);Valledupar;Colombia;CO;10,4742;-73,2436;http://teste.intercol.me:8080/speedtest/upload.php;INTERCOL WISP S.A.S;http://intercol.me;1;2.7.5;2020-06-16.1905.a787316;1;1;1
39829;Santander de Quilichao, Cauca;1;Santander de Quilichao, Cauca (1);Santander de Quilichao;Colombia;CO;3,009;-76,4863;http://speedtest.syhfiberlinkcaucanet.com:8080/speedtest/upload.php;S&H FIBERLINK CAUCANET;http://syhfiberlinkcaucanet.com/;1;2.7.5;2020-06-16.1905.a787316;1;1;1
40119;Colon, Nariño;1;Colón, Nariño (1);Colon;Colombia;CO;1,6429;-77,0449;http://speedtest.jrccomunicaciones.com:8080/speedtest/upload.php;JRC COMUNICACIONES SAS;http://www.jrccomunicaciones.blogspot.com;1;2.7.5;2020-06-16.1905.a787316;1;1;1
40158;Valledupar;2;Valledupar (2);Valledupar;Colombia;CO;10,4742;-73,2436;http://speed.sysnetworkcompany.com:8080/speedtest/upload.php;Sysnetwork;http://www.sysnetworkcompany.com;1;2.7.5;2020-06-16.1905.a787316;1;1;1
40426;Barranquilla;4;Barranquilla (4);Barranquilla;Colombia;CO;10,9827;-74,8302;http://speedtest-baq-1.globenet.net:8080/speedtest/upload.php;Globenet;http://www.globenet.net;1;2.7.5;2020-06-16.1905.a787316;1;1;1
41133;Bogota D.C.;14;Bogotá D.C. (14);Bogota;Colombia;CO;4,5981;-74,0758;http://lg-bg.fdcservers.net:8080/speedtest/upload.php;fdcservers.net;https://fdcservers.net;1;2.7.5;2020-06-16.1905.a787316;1;1;1
