Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Tigo;Antioquia, Colombia;;Jan 2021;252198;70395;all;N/A;mean;70395;26;42707;14035;42.71;14.04
Tigo;Arauca, Colombia;;Jan 2021;6;2;all;N/A;mean;2;40;17961;15134;17.96;15.13
Tigo;Atlantico, Colombia;;Jan 2021;24109;6993;all;N/A;mean;6993;26;32627;7167;32.63;7.17
Tigo;Bogota, Colombia;;Jan 2021;60698;18637;all;N/A;mean;18637;26;35381;11454;35.38;11.45
Tigo;Bolivar, Colombia;;Jan 2021;24079;6624;all;N/A;mean;6624;43;27873;6459;27.87;6.46
Tigo;Boyaca, Colombia;;Jan 2021;4975;1413;all;N/A;mean;1413;40;25863;7695;25.86;7.70
Tigo;Caldas, Colombia;;Jan 2021;22982;5880;all;N/A;mean;5880;38;34964;11320;34.96;11.32
Tigo;Caquetá, Colombia;;Jan 2021;1;1;all;N/A;mean;1;29;34708;34729;34.71;34.73
Tigo;Casanare, Colombia;;Jan 2021;7;2;all;N/A;mean;2;28;19416;20133;19.42;20.13
Tigo;Cauca Department, Colombia;;Jan 2021;7691;1950;all;N/A;mean;1950;44;31116;15848;31.12;15.85
Tigo;Cesar, Colombia;;Jan 2021;7130;2005;all;N/A;mean;2005;66;25427;5811;25.43;5.81
Tigo;Choco, Colombia;;Jan 2021;510;136;all;N/A;mean;136;46;25633;20528;25.63;20.53
Tigo;Cordoba, Colombia;;Jan 2021;11089;3066;all;N/A;mean;3066;79;22061;6664;22.06;6.66
Tigo;Cundinamarca, Colombia;;Jan 2021;10417;2926;all;N/A;mean;2926;28;31312;14106;31.31;14.11
Tigo;Huila, Colombia;;Jan 2021;20;10;all;N/A;mean;10;32;26682;24206;26.68;24.21
Tigo;La Guajira, Colombia;;Jan 2021;17;13;all;N/A;mean;13;37;26828;6312;26.83;6.31
Tigo;Magdalena, Colombia;;Jan 2021;6405;1858;all;N/A;mean;1858;37;28297;6727;28.30;6.73
Tigo;Meta, Colombia;;Jan 2021;6051;1214;all;N/A;mean;1214;66;28493;8123;28.49;8.12
Tigo;Narino, Colombia;;Jan 2021;2779;674;all;N/A;mean;674;39;24961;7532;24.96;7.53
Tigo;North Santander, Colombia;;Jan 2021;8036;1881;all;N/A;mean;1881;48;27044;12042;27.04;12.04
Tigo;Quindio, Colombia;;Jan 2021;12008;3459;all;N/A;mean;3459;48;30223;8269;30.22;8.27
Tigo;Risaralda, Colombia;;Jan 2021;59362;15621;all;N/A;mean;15621;69;28627;8690;28.63;8.69
Tigo;San Andrés and Providencia, Colombia;;Jan 2021;1;1;all;N/A;mean;1;31;868;924;0.87;0.92
Tigo;Santander Department, Colombia;;Jan 2021;51776;11330;all;N/A;mean;11330;46;35053;6859;35.05;6.86
Tigo;Sucre, Colombia;;Jan 2021;9367;2315;all;N/A;mean;2315;138;20098;6903;20.10;6.90
Tigo;Tolima, Colombia;;Jan 2021;8486;2199;all;N/A;mean;2199;65;28496;11878;28.50;11.88
Tigo;Valle del Cauca, Colombia;;Jan 2021;50389;12909;all;N/A;mean;12909;34;30002;11621;30.00;11.62
EMCALI;Cauca Department, Colombia;;Jan 2021;9;4;all;N/A;mean;4;32;11542;8796;11.54;8.80
EMCALI;Tolima, Colombia;;Jan 2021;35;12;all;N/A;mean;12;57;9389;5465;9.39;5.47
EMCALI;Valle del Cauca, Colombia;;Jan 2021;15772;5357;all;N/A;mean;5357;39;21987;18051;21.99;18.05
Tigo;Antioquia, Colombia;;feb-21;277524;76711;all;N/A;mean;76711;30;44245;15704;44.25;15.70
Tigo;Arauca, Colombia;;feb-21;5;4;all;N/A;mean;4;24;11093;10446;11.09;10.45
Tigo;Atlantico, Colombia;;feb-21;26153;7650;all;N/A;mean;7650;28;34402;8568;34.40;8.57
Tigo;Bogota, Colombia;;feb-21;72995;22116;all;N/A;mean;22116;24;38304;14441;38.30;14.44
Tigo;Bolivar, Colombia;;feb-21;24805;6766;all;N/A;mean;6766;33;28184;6491;28.18;6.49
Tigo;Boyaca, Colombia;;feb-21;5817;1470;all;N/A;mean;1470;32;27655;9658;27.66;9.66
Tigo;Caldas, Colombia;;feb-21;23051;6117;all;N/A;mean;6117;36;38128;12019;38.13;12.02
Tigo;Caquetá, Colombia;;feb-21;5;2;all;N/A;mean;2;36;22551;23350;22.55;23.35
Tigo;Casanare, Colombia;;feb-21;8;1;all;N/A;mean;1;26;28084;20623;28.08;20.62
Tigo;Cauca Department, Colombia;;feb-21;8327;1999;all;N/A;mean;1999;49;33847;15184;33.85;15.18
Tigo;Cesar, Colombia;;feb-21;8222;2125;all;N/A;mean;2125;40;26779;6092;26.78;6.09
Tigo;Choco, Colombia;;feb-21;489;125;all;N/A;mean;125;42;30292;16511;30.29;16.51
Tigo;Cordoba, Colombia;;feb-21;13730;3665;all;N/A;mean;3665;43;23192;7749;23.19;7.75
Tigo;Cundinamarca, Colombia;;feb-21;12220;3220;all;N/A;mean;3220;25;31171;15835;31.17;15.84
Tigo;Huila, Colombia;;feb-21;18;6;all;N/A;mean;6;33;24671;19959;24.67;19.96
Tigo;La Guajira, Colombia;;feb-21;30;10;all;N/A;mean;10;26;19296;5067;19.30;5.07
Tigo;Magdalena, Colombia;;feb-21;7220;2090;all;N/A;mean;2090;31;31256;9243;31.26;9.24
Tigo;Meta, Colombia;;feb-21;4893;1103;all;N/A;mean;1103;54;32129;10687;32.13;10.69
Tigo;Narino, Colombia;;feb-21;3153;740;all;N/A;mean;740;45;25691;5947;25.69;5.95
Tigo;North Santander, Colombia;;feb-21;11602;2452;all;N/A;mean;2452;46;30407;15193;30.41;15.19
Tigo;Putumayo, Colombia;;feb-21;39;8;all;N/A;mean;8;60;23309;12515;23.31;12.52
Tigo;Quindio, Colombia;;feb-21;10871;3416;all;N/A;mean;3416;36;33649;7002;33.65;7.00
Tigo;Risaralda, Colombia;;feb-21;48504;13809;all;N/A;mean;13809;59;29597;9104;29.60;9.10
Tigo;San Andrés and Providencia, Colombia;;feb-21;1;1;all;N/A;mean;1;19;449;371;0.45;0.37
Tigo;Santander Department, Colombia;;feb-21;69786;14063;all;N/A;mean;14063;36;33753;7470;33.75;7.47
Tigo;Sucre, Colombia;;feb-21;9357;2539;all;N/A;mean;2539;62;23534;7264;23.53;7.26
Tigo;Tolima, Colombia;;feb-21;7830;2090;all;N/A;mean;2090;54;37473;16590;37.47;16.59
Tigo;Valle del Cauca, Colombia;;feb-21;54467;14078;all;N/A;mean;14078;36;30622;10810;30.62;10.81
EMCALI;Cauca Department, Colombia;;feb-21;1;1;all;N/A;mean;1;15;5004;727;5.00;0.73
EMCALI;Choco, Colombia;;feb-21;1;1;all;N/A;mean;1;30;8448;734;8.45;0.73
EMCALI;Tolima, Colombia;;feb-21;189;51;all;N/A;mean;51;28;16360;13566;16.36;13.57
EMCALI;Valle del Cauca, Colombia;;feb-21;16862;5789;all;N/A;mean;5789;37;24540;22218;24.54;22.22
Tigo;Antioquia, Colombia;;mar-21;282437;80031;all;N/A;mean;80031;28;46549;17352;46.55;17.35
Tigo;Arauca, Colombia;;mar-21;48;9;all;N/A;mean;9;55;4778;3252;4.78;3.25
Tigo;Atlantico, Colombia;;mar-21;27397;7816;all;N/A;mean;7816;23;36026;8090;36.03;8.09
Tigo;Bogota, Colombia;;mar-21;71330;21603;all;N/A;mean;21603;23;40798;15278;40.80;15.28
Tigo;Bolivar, Colombia;;mar-21;24204;6256;all;N/A;mean;6256;33;29262;6407;29.26;6.41
Tigo;Boyaca, Colombia;;mar-21;6828;1534;all;N/A;mean;1534;48;29251;10796;29.25;10.80
Tigo;Caldas, Colombia;;mar-21;22803;6097;all;N/A;mean;6097;34;39398;13128;39.40;13.13
Tigo;Caquetá, Colombia;;mar-21;2;2;all;N/A;mean;2;21;51004;51385;51.00;51.39
Tigo;Casanare, Colombia;;mar-21;9;4;all;N/A;mean;4;29;20592;18342;20.59;18.34
Tigo;Cauca Department, Colombia;;mar-21;8362;2094;all;N/A;mean;2094;46;38529;24862;38.53;24.86
Tigo;Cesar, Colombia;;mar-21;8419;2383;all;N/A;mean;2383;37;28519;6114;28.52;6.11
Tigo;Choco, Colombia;;mar-21;208;54;all;N/A;mean;54;28;24737;34854;24.74;34.85
Tigo;Cordoba, Colombia;;mar-21;12884;3623;all;N/A;mean;3623;45;26176;8425;26.18;8.43
Tigo;Cundinamarca, Colombia;;mar-21;14016;3511;all;N/A;mean;3511;25;36922;19272;36.92;19.27
Tigo;Huila, Colombia;;mar-21;12;6;all;N/A;mean;6;29;20623;17563;20.62;17.56
Tigo;La Guajira, Colombia;;mar-21;79;18;all;N/A;mean;18;43;23760;8157;23.76;8.16
Tigo;Magdalena, Colombia;;mar-21;8134;2129;all;N/A;mean;2129;28;30057;7569;30.06;7.57
Tigo;Meta, Colombia;;mar-21;4659;1271;all;N/A;mean;1271;40;35168;12794;35.17;12.79
Tigo;Narino, Colombia;;mar-21;2828;745;all;N/A;mean;745;41;28170;7294;28.17;7.29
Tigo;North Santander, Colombia;;mar-21;9632;2433;all;N/A;mean;2433;41;34292;17753;34.29;17.75
Tigo;Putumayo, Colombia;;mar-21;123;42;all;N/A;mean;42;53;60696;8429;60.70;8.43
Tigo;Quindio, Colombia;;mar-21;9718;3245;all;N/A;mean;3245;35;34978;7818;34.98;7.82
Tigo;Risaralda, Colombia;;mar-21;40342;12201;all;N/A;mean;12201;39;31380;9867;31.38;9.87
Tigo;San Andrés and Providencia, Colombia;;mar-21;14;11;all;N/A;mean;11;147;4919;4103;4.92;4.10
Tigo;Santander Department, Colombia;;mar-21;56277;12511;all;N/A;mean;12511;37;38179;8155;38.18;8.16
Tigo;Sucre, Colombia;;mar-21;6117;1867;all;N/A;mean;1867;38;26919;8109;26.92;8.11
Tigo;Tolima, Colombia;;mar-21;7751;2217;all;N/A;mean;2217;47;38932;18804;38.93;18.80
Tigo;Valle del Cauca, Colombia;;mar-21;53532;14801;all;N/A;mean;14801;35;36607;14810;36.61;14.81
EMCALI;Cauca Department, Colombia;;mar-21;12;2;all;N/A;mean;2;32;3635;846;3.64;0.85
EMCALI;Choco, Colombia;;mar-21;4;1;all;N/A;mean;1;12;9018;10988;9.02;10.99
EMCALI;Cundinamarca, Colombia;;mar-21;1;1;all;N/A;mean;1;20;1436;211;1.44;0.21
EMCALI;Valle del Cauca, Colombia;;mar-21;18247;5830;all;N/A;mean;5830;35;24624;21822;24.62;21.82
Tigo;Antioquia, Colombia;;Apr 2021;321312;84789;all;N/A;mean;84789;25;45153;14864;45.15;14.86
Tigo;Arauca, Colombia;;Apr 2021;10;6;all;N/A;mean;6;44;11724;6430;11.72;6.43
Tigo;Atlantico, Colombia;;Apr 2021;33281;8641;all;N/A;mean;8641;25;36947;8228;36.95;8.23
Tigo;Bogota, Colombia;;Apr 2021;77604;23116;all;N/A;mean;23116;23;42707;14422;42.71;14.42
Tigo;Bolivar, Colombia;;Apr 2021;21811;6247;all;N/A;mean;6247;32;31493;6921;31.49;6.92
Tigo;Boyaca, Colombia;;Apr 2021;7635;1717;all;N/A;mean;1717;47;33304;9130;33.30;9.13
Tigo;Caldas, Colombia;;Apr 2021;25676;6162;all;N/A;mean;6162;29;40173;11306;40.17;11.31
Tigo;Caquetá, Colombia;;Apr 2021;5;2;all;N/A;mean;2;35;63425;79761;63.43;79.76
Tigo;Casanare, Colombia;;Apr 2021;23;4;all;N/A;mean;4;31;15337;14167;15.34;14.17
Tigo;Cauca Department, Colombia;;Apr 2021;8600;1889;all;N/A;mean;1889;43;39719;20368;39.72;20.37
Tigo;Cesar, Colombia;;Apr 2021;7906;2360;all;N/A;mean;2360;36;31827;6444;31.83;6.44
Tigo;Choco, Colombia;;Apr 2021;203;38;all;N/A;mean;38;35;22525;14574;22.53;14.57
Tigo;Cordoba, Colombia;;Apr 2021;12469;3515;all;N/A;mean;3515;38;28355;6609;28.36;6.61
Tigo;Cundinamarca, Colombia;;Apr 2021;15837;3527;all;N/A;mean;3527;26;37973;18727;37.97;18.73
Tigo;Huila, Colombia;;Apr 2021;5;4;all;N/A;mean;4;33;28313;26959;28.31;26.96
Tigo;La Guajira, Colombia;;Apr 2021;6;5;all;N/A;mean;5;20;35558;9950;35.56;9.95
Tigo;Magdalena, Colombia;;Apr 2021;8214;2094;all;N/A;mean;2094;27;35621;12487;35.62;12.49
Tigo;Meta, Colombia;;Apr 2021;3724;1033;all;N/A;mean;1033;31;39290;11920;39.29;11.92
Tigo;Narino, Colombia;;Apr 2021;5181;1050;all;N/A;mean;1050;41;27463;8041;27.46;8.04
Tigo;North Santander, Colombia;;Apr 2021;8740;2399;all;N/A;mean;2399;44;34764;15049;34.76;15.05
Tigo;Putumayo, Colombia;;Apr 2021;12;1;all;N/A;mean;1;485;437;633;0.44;0.63
Tigo;Quindio, Colombia;;Apr 2021;9766;3233;all;N/A;mean;3233;35;36650;7361;36.65;7.36
Tigo;Risaralda, Colombia;;Apr 2021;39278;11672;all;N/A;mean;11672;37;32218;9340;32.22;9.34
Tigo;San Andrés and Providencia, Colombia;;Apr 2021;5;5;all;N/A;mean;5;33;741;740;0.74;0.74
Tigo;Santander Department, Colombia;;Apr 2021;55543;12366;all;N/A;mean;12366;46;40502;8754;40.50;8.75
Tigo;Sucre, Colombia;;Apr 2021;6424;1927;all;N/A;mean;1927;33;29557;8010;29.56;8.01
Tigo;Tolima, Colombia;;Apr 2021;8566;2157;all;N/A;mean;2157;48;40353;19484;40.35;19.48
Tigo;Valle del Cauca, Colombia;;Apr 2021;55786;14901;all;N/A;mean;14901;33;35462;14518;35.46;14.52
Tigo;Vaupes, Colombia;;Apr 2021;18;13;all;N/A;mean;13;50;32950;5377;32.95;5.38
Tigo;Guaviare, Colombia;;Apr 2021;1;1;all;N/A;mean;1;26;31991;32041;31.99;32.04
EMCALI;Cauca Department, Colombia;;Apr 2021;4;2;all;N/A;mean;2;52;5369;901;5.37;0.90
EMCALI;Choco, Colombia;;Apr 2021;25;15;all;N/A;mean;15;42;23023;26287;23.02;26.29
EMCALI;Narino, Colombia;;Apr 2021;1;1;all;N/A;mean;1;16;44711;26179;44.71;26.18
EMCALI;Valle del Cauca, Colombia;;Apr 2021;19257;6050;all;N/A;mean;6050;36;24498;19907;24.50;19.91
Tigo;Antioquia, Colombia;;may-21;331322;91446;all;N/A;mean;91446;22;51501;16518;51.50;16.52
Tigo;Arauca, Colombia;;may-21;8;2;all;N/A;mean;2;37;16390;17793;16.39;17.79
Tigo;Atlantico, Colombia;;may-21;36286;9587;all;N/A;mean;9587;22;40828;7730;40.83;7.73
Tigo;Bogota, Colombia;;may-21;84746;24408;all;N/A;mean;24408;23;44464;12996;44.46;13.00
Tigo;Bolivar, Colombia;;may-21;24334;6661;all;N/A;mean;6661;29;34635;6695;34.64;6.70
Tigo;Boyaca, Colombia;;may-21;9427;2017;all;N/A;mean;2017;64;37522;9784;37.52;9.78
Tigo;Caldas, Colombia;;may-21;21887;5552;all;N/A;mean;5552;25;48462;12746;48.46;12.75
Tigo;Casanare, Colombia;;may-21;19;4;all;N/A;mean;4;29;20663;13566;20.66;13.57
Tigo;Cauca Department, Colombia;;may-21;7571;1743;all;N/A;mean;1743;47;38705;17929;38.71;17.93
Tigo;Cesar, Colombia;;may-21;8542;2443;all;N/A;mean;2443;31;36257;6813;36.26;6.81
Tigo;Choco, Colombia;;may-21;216;65;all;N/A;mean;65;33;50348;28493;50.35;28.49
Tigo;Cordoba, Colombia;;may-21;11934;3363;all;N/A;mean;3363;39;33080;7715;33.08;7.72
Tigo;Cundinamarca, Colombia;;may-21;14210;3850;all;N/A;mean;3850;24;43279;18144;43.28;18.14
Tigo;Huila, Colombia;;may-21;16;7;all;N/A;mean;7;27;27257;39074;27.26;39.07
Tigo;La Guajira, Colombia;;may-21;3;2;all;N/A;mean;2;30;21242;20873;21.24;20.87
Tigo;Magdalena, Colombia;;may-21;7230;1913;all;N/A;mean;1913;28;40298;11951;40.30;11.95
Tigo;Meta, Colombia;;may-21;3582;1111;all;N/A;mean;1111;30;44154;12214;44.15;12.21
