Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Colombia;;Apr 2021;1127614;200567;all_wifi;N/A;mean;200567;25;48918;20827;48.92;20.83
All Providers Combined;Colombia;;Apr 2021;22019;3378;ethernet;N/A;mean;3378;18;124310;71091;124.31;71.09
All Providers Combined;Colombia;;may-21;1082300;194080;all_wifi;N/A;mean;194080;24;51553;21874;51.55;21.87
All Providers Combined;Colombia;;may-21;22218;4198;ethernet;N/A;mean;4198;18;129580;73053;129.58;73.05
All Providers Combined;Colombia;;jun-21;1047273;193431;all_wifi;N/A;mean;193431;24;55594;24856;55.59;24.86
All Providers Combined;Colombia;;jun-21;42694;7417;ethernet;N/A;mean;7417;17;128200;75190;128.20;75.19
All Providers Combined;Colombia;;jul-21;1113746;202716;all_wifi;N/A;mean;202716;23;58158;26302;58.16;26.30
All Providers Combined;Colombia;;jul-21;51452;8254;ethernet;N/A;mean;8254;17;135266;80219;135.27;80.22
All Providers Combined;Colombia;;Aug 2021;1058380;196173;all_wifi;N/A;mean;196173;22;62178;29645;62.18;29.65
All Providers Combined;Colombia;;Aug 2021;53647;8509;ethernet;N/A;mean;8509;16;143865;93806;143.87;93.81
All Providers Combined;Colombia;;sep-21;995618;185284;all_wifi;N/A;mean;185284;20;65762;31453;65.76;31.45
All Providers Combined;Colombia;;sep-21;48810;8230;ethernet;N/A;mean;8230;15;148309;96648;148.31;96.65
All Providers Combined;Colombia;;oct-21;937587;182262;all_wifi;N/A;mean;182262;20;70011;35016;70.01;35.02
All Providers Combined;Colombia;;oct-21;45777;8146;ethernet;N/A;mean;8146;14;158041;107831;158.04;107.83
All Providers Combined;Colombia;;nov-21;902744;177369;all_wifi;N/A;mean;177369;19;76414;40983;76.41;40.98
All Providers Combined;Colombia;;nov-21;48179;8202;ethernet;N/A;mean;8202;13;173302;124876;173.30;124.88
All Providers Combined;Colombia;;Dec 2021;847870;173829;all_wifi;N/A;mean;173829;19;78332;41935;78.33;41.94
All Providers Combined;Colombia;;Dec 2021;42023;7554;ethernet;N/A;mean;7554;13;172986;124432;172.99;124.43
All Providers Combined;Colombia;;Jan 2022;983515;189262;all_wifi;N/A;mean;189262;20;80302;43447;80.30;43.45
All Providers Combined;Colombia;;Jan 2022;44865;7605;ethernet;N/A;mean;7605;13;173962;126228;173.96;126.23
All Providers Combined;Colombia;;feb-22;939010;176783;all_wifi;N/A;mean;176783;19;86080;47675;86.08;47.68
All Providers Combined;Colombia;;feb-22;47579;7529;ethernet;N/A;mean;7529;13;187657;140316;187.66;140.32
All Providers Combined;Colombia;;mar-22;1006830;183933;all_wifi;N/A;mean;183933;19;90740;51259;90.74;51.26
All Providers Combined;Colombia;;mar-22;53675;8307;ethernet;N/A;mean;8307;13;194762;146128;194.76;146.13
All Providers Combined;Colombia;;Apr 2022;996398;183900;all_wifi;N/A;mean;183900;19;92336;52310;92.34;52.31
All Providers Combined;Colombia;;Apr 2022;53882;8501;ethernet;N/A;mean;8501;13;201893;150184;201.89;150.18
