Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Amazonas, Colombia;;jun-20;9;4;all;N/A;mean;4;342;881;651;0.88;0.65
All Providers Combined;Antioquia, Colombia;;jun-20;447302;115590;all;N/A;mean;115590;34;32171;9546;32.17;9.55
All Providers Combined;Arauca, Colombia;;jun-20;3466;710;all;N/A;mean;710;41;6463;4768;6.46;4.77
All Providers Combined;Atlantico, Colombia;;jun-20;147323;38156;all;N/A;mean;38156;40;32956;17397;32.96;17.40
All Providers Combined;Bogota, Colombia;;jun-20;1432055;340597;all;N/A;mean;340597;27;37137;17687;37.14;17.69
All Providers Combined;Bolivar, Colombia;;jun-20;71676;16533;all;N/A;mean;16533;41;34567;24163;34.57;24.16
All Providers Combined;Boyaca, Colombia;;jun-20;42864;9757;all;N/A;mean;9757;40;20740;9527;20.74;9.53
All Providers Combined;Caldas, Colombia;;jun-20;48671;11305;all;N/A;mean;11305;35;27003;8428;27.00;8.43
All Providers Combined;Caquetá, Colombia;;jun-20;8842;1776;all;N/A;mean;1776;38;21190;11673;21.19;11.67
All Providers Combined;Casanare, Colombia;;jun-20;15333;3479;all;N/A;mean;3479;40;21500;6677;21.50;6.68
All Providers Combined;Cauca Department, Colombia;;jun-20;49459;11396;all;N/A;mean;11396;45;20547;9554;20.55;9.55
All Providers Combined;Cesar, Colombia;;jun-20;38189;7833;all;N/A;mean;7833;50;27511;15787;27.51;15.79
All Providers Combined;Choco, Colombia;;jun-20;1944;451;all;N/A;mean;451;79;11472;5827;11.47;5.83
All Providers Combined;Cordoba, Colombia;;jun-20;28175;6924;all;N/A;mean;6924;48;21523;12528;21.52;12.53
All Providers Combined;Cundinamarca, Colombia;;jun-20;256409;62812;all;N/A;mean;62812;33;30698;17106;30.70;17.11
All Providers Combined;Guainia, Colombia;;jun-20;4;1;all;N/A;mean;1;50;36005;5780;36.01;5.78
All Providers Combined;Huila, Colombia;;jun-20;46802;11562;all;N/A;mean;11562;47;21292;13479;21.29;13.48
All Providers Combined;La Guajira, Colombia;;jun-20;9395;1915;all;N/A;mean;1915;67;21113;6004;21.11;6.00
All Providers Combined;Magdalena, Colombia;;jun-20;40798;10577;all;N/A;mean;10577;44;28147;14801;28.15;14.80
All Providers Combined;Meta, Colombia;;jun-20;42843;9801;all;N/A;mean;9801;34;27595;13467;27.60;13.47
All Providers Combined;Narino, Colombia;;jun-20;41582;8853;all;N/A;mean;8853;52;19483;8944;19.48;8.94
All Providers Combined;North Santander, Colombia;;jun-20;62672;16894;all;N/A;mean;16894;45;34389;26228;34.39;26.23
All Providers Combined;Putumayo, Colombia;;jun-20;5076;1028;all;N/A;mean;1028;54;11063;9804;11.06;9.80
All Providers Combined;Quindio, Colombia;;jun-20;27075;6561;all;N/A;mean;6561;39;25419;6142;25.42;6.14
All Providers Combined;Risaralda, Colombia;;jun-20;80851;18265;all;N/A;mean;18265;38;26774;8091;26.77;8.09
All Providers Combined;San Andrés and Providencia, Colombia;;jun-20;1158;184;all;N/A;mean;184;119;3709;4272;3.71;4.27
All Providers Combined;Santander Department, Colombia;;jun-20;173437;40687;all;N/A;mean;40687;42;34395;21912;34.40;21.91
All Providers Combined;Sucre, Colombia;;jun-20;14362;3503;all;N/A;mean;3503;51;23191;15765;23.19;15.77
All Providers Combined;Tolima, Colombia;;jun-20;57594;14229;all;N/A;mean;14229;45;27712;18655;27.71;18.66
All Providers Combined;Valle del Cauca, Colombia;;jun-20;289212;73077;all;N/A;mean;73077;38;34764;22640;34.76;22.64
All Providers Combined;Vaupes, Colombia;;jun-20;1;1;all;N/A;mean;1;17;3625;14483;3.63;14.48
All Providers Combined;Vichada, Colombia;;jun-20;2;2;all;N/A;mean;2;69;382;620;0.38;0.62
All Providers Combined;Guaviare, Colombia;;jun-20;1051;135;all;N/A;mean;135;58;5402;5177;5.40;5.18
All Providers Combined;Amazonas, Colombia;;jul-20;43;11;all;N/A;mean;11;333;1028;933;1.03;0.93
All Providers Combined;Antioquia, Colombia;;jul-20;497695;129118;all;N/A;mean;129118;34;33543;9891;33.54;9.89
All Providers Combined;Arauca, Colombia;;jul-20;3458;690;all;N/A;mean;690;50;7679;5782;7.68;5.78
All Providers Combined;Atlantico, Colombia;;jul-20;156538;41326;all;N/A;mean;41326;40;34338;17159;34.34;17.16
All Providers Combined;Bogota, Colombia;;jul-20;1421569;352721;all;N/A;mean;352721;25;39744;18134;39.74;18.13
All Providers Combined;Bolivar, Colombia;;jul-20;77547;17692;all;N/A;mean;17692;44;33802;22732;33.80;22.73
All Providers Combined;Boyaca, Colombia;;jul-20;47819;11135;all;N/A;mean;11135;39;21250;10209;21.25;10.21
All Providers Combined;Caldas, Colombia;;jul-20;56876;12691;all;N/A;mean;12691;34;26941;8205;26.94;8.21
All Providers Combined;Caquetá, Colombia;;jul-20;12170;2001;all;N/A;mean;2001;42;18032;10432;18.03;10.43
All Providers Combined;Casanare, Colombia;;jul-20;15333;3633;all;N/A;mean;3633;35;24439;7677;24.44;7.68
All Providers Combined;Cauca Department, Colombia;;jul-20;49369;11613;all;N/A;mean;11613;45;23206;11052;23.21;11.05
All Providers Combined;Cesar, Colombia;;jul-20;32793;7985;all;N/A;mean;7985;50;28847;15519;28.85;15.52
All Providers Combined;Choco, Colombia;;jul-20;2213;502;all;N/A;mean;502;60;11128;6441;11.13;6.44
All Providers Combined;Cordoba, Colombia;;jul-20;34359;8007;all;N/A;mean;8007;55;22670;14469;22.67;14.47
All Providers Combined;Cundinamarca, Colombia;;jul-20;254193;65768;all;N/A;mean;65768;34;33446;17173;33.45;17.17
All Providers Combined;Huila, Colombia;;jul-20;48319;12397;all;N/A;mean;12397;47;23004;13786;23.00;13.79
