Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Tigo,"Bogotá, Bogota, Colombia",,2021,49216,12833,N/A,cellular,mean,12833,37,29638,13708,29.64,13.71
Tigo,"Cali, Cali, Valle del Cauca, Colombia",,2021,4590,1388,N/A,cellular,mean,1388,38,31018,14675,31.02,14.68
Tigo,"Manizales, Manizales, Caldas, Colombia",,2021,1307,395,N/A,cellular,mean,395,36,19016,11191,19.02,11.19
Tigo,"Ibagué, Ibague, Tolima, Colombia",,2021,882,264,N/A,cellular,mean,264,32,27972,12925,27.97,12.93
Tigo,"Armenia, Armenia, Quindio, Colombia",,2021,718,265,N/A,cellular,mean,265,37,23413,13541,23.41,13.54
Tigo,"Popayán, Popayán, Cauca, Colombia",,2021,538,182,N/A,cellular,mean,182,38,26882,13107,26.88,13.11
Tigo,"Cartagena, Cartagena, Bolívar, Colombia",,2021,2435,921,N/A,cellular,mean,921,30,26368,13427,26.37,13.43
Tigo,"Pasto, Pasto, Narino, Colombia",,2021,457,160,N/A,cellular,mean,160,45,28060,15437,28.06,15.44
Tigo,"Barranquilla, Barranquilla, Atlantico, Colombia",,2021,15744,5270,N/A,cellular,mean,5270,34,23458,13120,23.46,13.12
Tigo,"Santa Marta, Santa Marta, Magdalena, Colombia",,2021,1464,355,N/A,cellular,mean,355,35,23964,12928,23.96,12.93
Tigo,"Villavicencio, Villavicencio, Meta, Colombia",,2021,489,190,N/A,cellular,mean,190,38,29468,14805,29.47,14.81
Tigo,"Pereira, Pereira, Risaralda, Colombia",,2021,1365,432,N/A,cellular,mean,432,37,19802,10762,19.8,10.76
Tigo,"Medellín, Medellin, Antioquia, Colombia",,2021,19273,6069,N/A,cellular,mean,6069,33,25104,12756,25.1,12.76
Tigo,"Montería, Montería, Córdoba, Colombia",,2021,1106,364,N/A,cellular,mean,364,34,31730,15827,31.73,15.83
Tigo,"Sincelejo, Sincelejo, Sucre, Colombia",,2021,904,273,N/A,cellular,mean,273,32,28523,14915,28.52,14.92
Tigo,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,2021,2120,548,N/A,cellular,mean,548,41,25851,14413,25.85,14.41
Tigo,"Tunja, Tunja, Boyacá, Colombia",,2021,299,120,N/A,cellular,mean,120,32,24415,13554,24.42,13.55
