Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Colombia,,2018,898303,174543,N/A,cellular,mean,174543,55,16207,8788,16.21,8.79
All Providers Combined,"Bogotá, Bogota, Colombia",,2018,343710,74571,N/A,cellular,mean,74571,45,16212,9350,16.21,9.35
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,2018,46887,12610,N/A,cellular,mean,12610,57,22099,12055,22.10,12.06
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,2018,4867,1591,N/A,cellular,mean,1591,56,21243,11112,21.24,11.11
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,2018,5381,1794,N/A,cellular,mean,1794,48,19663,9773,19.66,9.77
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,2018,3741,1127,N/A,cellular,mean,1127,67,20528,11046,20.53,11.05
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,2018,2866,899,N/A,cellular,mean,899,61,19581,10419,19.58,10.42
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,2018,9897,3243,N/A,cellular,mean,3243,60,17376,9640,17.38,9.64
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,2018,2207,777,N/A,cellular,mean,777,70,19019,11544,19.02,11.54
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,2018,23808,6442,N/A,cellular,mean,6442,51,19615,10468,19.62,10.47
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,2018,3792,1283,N/A,cellular,mean,1283,117,13956,9237,13.96,9.24
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,2018,7532,2301,N/A,cellular,mean,2301,57,20032,9303,20.03,9.30
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,2018,6777,1973,N/A,cellular,mean,1973,62,18834,10674,18.83,10.67
All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",,2018,76264,21540,N/A,cellular,mean,21540,52,17438,8875,17.44,8.88
All Providers Combined,"Montería, Montería, Córdoba, Colombia",,2018,3804,1053,N/A,cellular,mean,1053,61,14871,10635,14.87,10.64
All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",,2018,1725,588,N/A,cellular,mean,588,59,13514,8774,13.51,8.77
All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,2018,13900,3700,N/A,cellular,mean,3700,66,17833,10048,17.83,10.05
All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",,2018,3129,1114,N/A,cellular,mean,1114,52,17707,9782,17.71,9.78
All Providers Combined,Colombia,,2019,1080603,216614,N/A,cellular,mean,216614,50,17449,10292,17.45,10.29
All Providers Combined,"Bogotá, Bogota, Colombia",,2019,460971,100892,N/A,cellular,mean,100892,44,16353,10581,16.35,10.58
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,2019,65324,17917,N/A,cellular,mean,17917,53,22674,12625,22.67,12.63
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,2019,5741,1911,N/A,cellular,mean,1911,59,22318,12467,22.32,12.47
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,2019,7258,2319,N/A,cellular,mean,2319,44,21238,10669,21.24,10.67
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,2019,4735,1435,N/A,cellular,mean,1435,61,22456,12601,22.46,12.60
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,2019,3478,1271,N/A,cellular,mean,1271,57,22301,12189,22.30,12.19
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,2019,15573,5197,N/A,cellular,mean,5197,54,19073,10844,19.07,10.84
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,2019,3975,1374,N/A,cellular,mean,1374,56,20692,13000,20.69,13.00
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,2019,48750,12962,N/A,cellular,mean,12962,48,19775,10880,19.78,10.88
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,2019,5127,1630,N/A,cellular,mean,1630,56,16543,9942,16.54,9.94
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,2019,8596,2778,N/A,cellular,mean,2778,44,20529,11355,20.53,11.36
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,2019,8253,2557,N/A,cellular,mean,2557,61,20312,11878,20.31,11.88
All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",,2019,102633,29621,N/A,cellular,mean,29621,55,18099,9960,18.10,9.96
All Providers Combined,"Montería, Montería, Córdoba, Colombia",,2019,3651,1193,N/A,cellular,mean,1193,60,15560,11590,15.56,11.59
All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",,2019,2464,729,N/A,cellular,mean,729,56,16004,10611,16.00,10.61
All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,2019,17382,5157,N/A,cellular,mean,5157,58,19387,10497,19.39,10.50
All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",,2019,4350,1494,N/A,cellular,mean,1494,45,17998,11198,18.00,11.20
All Providers Combined,Colombia,,2020,1384415,276537,N/A,cellular,mean,276537,46,18161,9937,18.16,9.94
All Providers Combined,"Bogotá, Bogota, Colombia",,2020,534433,126029,N/A,cellular,mean,126029,40,17666,10336,17.67,10.34
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,2020,96590,23303,N/A,cellular,mean,23303,46,21520,11654,21.52,11.65
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,2020,8421,2536,N/A,cellular,mean,2536,52,22339,11973,22.34,11.97
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,2020,9780,2785,N/A,cellular,mean,2785,39,22160,9890,22.16,9.89
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,2020,5512,1675,N/A,cellular,mean,1675,53,22012,11954,22.01,11.95
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,2020,5015,1487,N/A,cellular,mean,1487,52,21733,11698,21.73,11.70
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,2020,17599,5210,N/A,cellular,mean,5210,52,21258,10996,21.26,11.00
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,2020,6417,1546,N/A,cellular,mean,1546,53,21065,12978,21.07,12.98
