Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Colombia,,Jan 2020,77865,32667,N/A,cellular,mean,32667,47,18753,11754,18.75,11.75
All Providers Combined,"Bogotá, Bogota, Colombia",,Jan 2020,31648,14256,N/A,cellular,mean,14256,40,18345,12582,18.35,12.58
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,Jan 2020,5034,2425,N/A,cellular,mean,2425,48,23006,13904,23.01,13.9
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,Jan 2020,454,264,N/A,cellular,mean,264,55,22410,13788,22.41,13.79
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,Jan 2020,584,331,N/A,cellular,mean,331,38,23899,11527,23.9,11.53
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,Jan 2020,385,185,N/A,cellular,mean,185,55,21311,13686,21.31,13.69
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,Jan 2020,336,187,N/A,cellular,mean,187,52,26638,14827,26.64,14.83
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,Jan 2020,1432,590,N/A,cellular,mean,590,47,19268,12623,19.27,12.62
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,Jan 2020,304,190,N/A,cellular,mean,190,56,21804,15176,21.8,15.18
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,Jan 2020,3251,1561,N/A,cellular,mean,1561,42,20553,12324,20.55,12.32
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,Jan 2020,309,185,N/A,cellular,mean,185,50,15801,11287,15.8,11.29
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,Jan 2020,766,375,N/A,cellular,mean,375,40,23103,13401,23.1,13.4
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,Jan 2020,662,348,N/A,cellular,mean,348,56,19308,13208,19.31,13.21
