Aggregate Date,Provider,Location,5G (%),5G Roaming (%),4G (%),4G Roaming (%),3G (%),3G Roaming (%),2G (%),2G Roaming (%),No Coverage (%),5G Sample Count,5G Roaming Sample Count,4G Sample Count,4G Roaming Sample Count,3G Sample Count,3G Roaming Sample Count,2G Sample Count,2G Roaming Sample Count,No Coverage Sample Count,Total Sample Count,Total Device Count,Total Scan Count
2018,All Providers Combined,"Bogota, Colombia",0,0,58.65,4.9,21.56,4.18,2.01,0.72,7.94,0,0,63751190,6716227,18195824,3622665,1177418,431195,4262044,98156563,147167,222338315
2018,All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",0,0,48.34,11.38,26.68,3.26,2.36,0.69,7.26,0,0,11881868,3503374,5653871,545324,390049,105929,953462,23033877,37212,50833366
2018,All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",0,0,52.65,2.22,27.69,3.64,2.5,0.79,10.47,0,0,16854846,457137,7633843,905055,557327,160719,1624994,28193921,72636,69837825
2018,All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",0,0,54.2,2.26,27.2,3.54,3.05,0.91,8.8,0,0,2479317,98677,1155367,109929,103369,33643,213019,4193321,10151,9117740
2018,All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",0,0,59.65,1.61,25.87,2.7,1.99,0.69,7.45,0,0,3797106,67424,1577089,126192,106356,44000,268990,5987157,13752,13495673
2018,All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",0,0,59.91,2.41,22.86,3.7,2.22,0.87,7.98,0,0,2293584,87065,777207,98556,61183,25638,141664,3484897,8983,7972912
2018,All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",0,0,59.15,1.87,24.52,4.4,2.33,0.78,6.91,0,0,1063318,13800,393181,31223,20543,6086,52661,1580812,5177,4177117
2018,All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",0,0,62.42,2.45,23,2.36,1.51,0.61,7.6,0,0,7105673,308877,2161304,223623,98705,37816,465768,10401766,22240,22249358
2018,All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",0,0,59.81,1.82,25.27,2.79,1.61,0.67,7.98,0,0,3373937,120078,1455911,110590,51841,26343,288711,5427411,12587,12696579
2018,All Providers Combined,"Manizales, Manizales, Caldas, Colombia",0,0,53.41,6.15,28.53,3.73,1.82,0.6,5.71,0,0,1526687,175017,837517,69563,49308,15150,91816,2765058,5515,6266667
2018,All Providers Combined,"Popayán, Popayán, Cauca, Colombia",0,0,49.23,5.81,29.36,4.06,3.01,1.04,7.45,0,0,1270131,132689,730154,72246,78616,14579,102658,2401073,4730,5729771
2018,All Providers Combined,"Pasto, Pasto, Narino, Colombia",0,0,48.59,9.55,27.72,2.89,3.44,0.93,6.83,0,0,1223286,273309,594295,38371,56839,17329,83466,2286895,4778,5429830
2018,All Providers Combined,"Armenia, Armenia, Quindio, Colombia",0,0,50.89,9,27.73,3.41,2,0.61,6.31,0,0,1173261,211508,653757,52343,33870,7887,93396,2226022,5727,5085820
2018,All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",0,0,51.19,5.97,29.4,3.41,2.06,0.77,7.15,0,0,1823231,230459,1061543,87934,39558,15737,171457,3429919,10523,7732466
2018,All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",0,0,62.4,1.83,23.31,2.5,1.54,0.76,7.61,0,0,1528816,30418,622198,44506,33306,7573,115100,2381917,6753,5240336
2018,All Providers Combined,"Montería, Montería, Córdoba, Colombia",0,0,61.71,1.28,26.05,2.63,1.66,0.78,5.86,0,0,1214058,25302,458689,25240,15225,8655,66622,1813791,4052,3810721
2018,All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",0,0,60.78,1.09,27.53,2.63,1.69,0.86,5.38,0,0,632525,4208,271923,12161,13687,6112,33871,974487,2865,2333434
2019,All Providers Combined,"Bogota, Colombia",0,0,59.26,3.85,14.49,2.98,1.3,0.34,17.74,0,0,157605459,13638561,32250213,7121286,2131659,604865,14360005,227712048,238624,379869067
2019,All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",0,0,44.1,15.23,19.15,2.34,1.79,0.28,17.04,0,0,25242385,8669810,8948960,889431,707826,115405,3612430,48186247,61900,84223622
