Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Movistar,"Amazonas, Colombia",,Jan 2020,3,2,N/A,cellular,mean,2,458,2706,464,2.71,0.46
Movistar,"Antioquia, Colombia",,Jan 2020,1711,747,N/A,cellular,mean,747,52,15116,8351,15.12,8.35
Movistar,"Arauca, Colombia",,Jan 2020,34,22,N/A,cellular,mean,22,54,23202,7990,23.2,7.99
Movistar,"Atlantico, Colombia",,Jan 2020,785,423,N/A,cellular,mean,423,57,21523,11768,21.52,11.77
Movistar,"Bogota, Colombia",,Jan 2020,6191,2973,N/A,cellular,mean,2973,33,14507,10171,14.51,10.17
Movistar,"Bolivar, Colombia",,Jan 2020,389,211,N/A,cellular,mean,211,57,16920,9884,16.92,9.88
Movistar,"Boyaca, Colombia",,Jan 2020,363,150,N/A,cellular,mean,150,46,13621,6531,13.62,6.53
Movistar,"Caldas, Colombia",,Jan 2020,165,82,N/A,cellular,mean,82,48,15625,12140,15.63,12.14
Movistar,"Caquetá, Colombia",,Jan 2020,43,29,N/A,cellular,mean,29,48,10687,6594,10.69,6.59
Movistar,"Casanare, Colombia",,Jan 2020,50,28,N/A,cellular,mean,28,36,12640,6362,12.64,6.36
Movistar,"Cauca Department, Colombia",,Jan 2020,172,103,N/A,cellular,mean,103,49,15329,8743,15.33,8.74
Movistar,"Cesar, Colombia",,Jan 2020,208,109,N/A,cellular,mean,109,77,17812,8631,17.81,8.63
Movistar,"Choco, Colombia",,Jan 2020,28,15,N/A,cellular,mean,15,65,13642,9430,13.64,9.43
Movistar,"Cordoba, Colombia",,Jan 2020,92,43,N/A,cellular,mean,43,69,12603,8384,12.6,8.38
Movistar,"Cundinamarca, Colombia",,Jan 2020,939,453,N/A,cellular,mean,453,49,10505,6320,10.51,6.32
Movistar,"Huila, Colombia",,Jan 2020,242,129,N/A,cellular,mean,129,45,15064,6721,15.06,6.72
Movistar,"La Guajira, Colombia",,Jan 2020,127,49,N/A,cellular,mean,49,73,14964,7517,14.96,7.52
Movistar,"Magdalena, Colombia",,Jan 2020,200,112,N/A,cellular,mean,112,79,11100,9683,11.1,9.68
Movistar,"Meta, Colombia",,Jan 2020,217,115,N/A,cellular,mean,115,36,17538,8066,17.54,8.07
Movistar,"Narino, Colombia",,Jan 2020,282,153,N/A,cellular,mean,153,48,17015,12997,17.02,13
Movistar,"North Santander, Colombia",,Jan 2020,249,137,N/A,cellular,mean,137,64,17205,7786,17.21,7.79
Movistar,"Putumayo, Colombia",,Jan 2020,46,24,N/A,cellular,mean,24,78,12707,4575,12.71,4.58
Movistar,"Quindio, Colombia",,Jan 2020,268,103,N/A,cellular,mean,103,54,17080,10292,17.08,10.29
Movistar,"Risaralda, Colombia",,Jan 2020,409,128,N/A,cellular,mean,128,49,15036,10175,15.04,10.18
Movistar,"San Andrés and Providencia, Colombia",,Jan 2020,91,31,N/A,cellular,mean,31,118,7171,4176,7.17,4.18
Movistar,"Santander Department, Colombia",,Jan 2020,1294,639,N/A,cellular,mean,639,65,19169,8856,19.17,8.86
Movistar,"Sucre, Colombia",,Jan 2020,49,32,N/A,cellular,mean,32,72,12818,9695,12.82,9.7
Movistar,"Tolima, Colombia",,Jan 2020,358,182,N/A,cellular,mean,182,36,18106,6609,18.11,6.61
Movistar,"Valle del Cauca, Colombia",,Jan 2020,2996,1546,N/A,cellular,mean,1546,43,18190,12298,18.19,12.3
Movistar,"Vaupes, Colombia",,Jan 2020,4,3,N/A,cellular,mean,3,70,345,10870,0.35,10.87
Movistar,"Vichada, Colombia",,Jan 2020,3,3,N/A,cellular,mean,3,73,5816,3398,5.82,3.4
Movistar,"Guaviare, Colombia",,Jan 2020,14,6,N/A,cellular,mean,6,39,12500,8876,12.5,8.88
Avantel,"Antioquia, Colombia",,Jan 2020,655,262,N/A,cellular,mean,262,32,16351,9244,16.35,9.24
Avantel,"Arauca, Colombia",,Jan 2020,25,5,N/A,cellular,mean,5,24,7631,15138,7.63,15.14
Avantel,"Atlantico, Colombia",,Jan 2020,225,82,N/A,cellular,mean,82,34,24158,10618,24.16,10.62
Avantel,"Bogota, Colombia",,Jan 2020,4976,1880,N/A,cellular,mean,1880,25,17375,12010,17.38,12.01
Avantel,"Bolivar, Colombia",,Jan 2020,294,36,N/A,cellular,mean,36,36,24580,12640,24.58,12.64
Avantel,"Boyaca, Colombia",,Jan 2020,78,24,N/A,cellular,mean,24,43,9334,6297,9.33,6.3
Avantel,"Caldas, Colombia",,Jan 2020,6,4,N/A,cellular,mean,4,69,6399,1162,6.4,1.16
Avantel,"Caquetá, Colombia",,Jan 2020,7,3,N/A,cellular,mean,3,29,19330,6413,19.33,6.41
Avantel,"Casanare, Colombia",,Jan 2020,12,2,N/A,cellular,mean,2,45,3699,1189,3.7,1.19
Avantel,"Cesar, Colombia",,Jan 2020,91,21,N/A,cellular,mean,21,35,24338,12688,24.34,12.69
Avantel,"Choco, Colombia",,Jan 2020,14,4,N/A,cellular,mean,4,105,10532,13273,10.53,13.27
Avantel,"Cordoba, Colombia",,Jan 2020,4,4,N/A,cellular,mean,4,46,10799,2851,10.8,2.85
Avantel,"Cundinamarca, Colombia",,Jan 2020,612,222,N/A,cellular,mean,222,29,15214,11244,15.21,11.24
Avantel,"Guainia, Colombia",,Jan 2020,1,1,N/A,cellular,mean,1,78,1713,1759,1.71,1.76
Avantel,"Huila, Colombia",,Jan 2020,9,6,N/A,cellular,mean,6,35,8371,4996,8.37,5
Avantel,"La Guajira, Colombia",,Jan 2020,10,5,N/A,cellular,mean,5,48,7262,6340,7.26,6.34
Avantel,"Magdalena, Colombia",,Jan 2020,27,13,N/A,cellular,mean,13,41,24449,16400,24.45,16.4
Avantel,"Meta, Colombia",,Jan 2020,144,39,N/A,cellular,mean,39,30,27550,12230,27.55,12.23
Avantel,"Narino, Colombia",,Jan 2020,4,2,N/A,cellular,mean,2,52,3958,688,3.96,0.69
Avantel,"North Santander, Colombia",,Jan 2020,96,45,N/A,cellular,mean,45,29,27413,14030,27.41,14.03
Avantel,"Putumayo, Colombia",,Jan 2020,15,4,N/A,cellular,mean,4,33,7980,9395,7.98,9.4
Avantel,"Quindio, Colombia",,Jan 2020,2,2,N/A,cellular,mean,2,76,534,1115,0.53,1.12
Avantel,"Risaralda, Colombia",,Jan 2020,11,8,N/A,cellular,mean,8,83,1780,2248,1.78,2.25
Avantel,"San Andrés and Providencia, Colombia",,Jan 2020,1,1,N/A,cellular,mean,1,177,2008,377,2.01,0.38
Avantel,"Santander Department, Colombia",,Jan 2020,215,57,N/A,cellular,mean,57,29,23936,14716,23.94,14.72
Avantel,"Sucre, Colombia",,Jan 2020,9,1,N/A,cellular,mean,1,75,1302,1115,1.3,1.12
Avantel,"Tolima, Colombia",,Jan 2020,47,36,N/A,cellular,mean,36,44,21338,7515,21.34,7.52
Avantel,"Valle del Cauca, Colombia",,Jan 2020,226,76,N/A,cellular,mean,76,30,25240,9970,25.24,9.97
ETB,"Antioquia, Colombia",,Jan 2020,330,85,N/A,cellular,mean,85,43,18511,9762,18.51,9.76
ETB,"Atlantico, Colombia",,Jan 2020,269,71,N/A,cellular,mean,71,39,17946,12704,17.95,12.7
ETB,"Bogota, Colombia",,Jan 2020,3602,1196,N/A,cellular,mean,1196,27,21236,12056,21.24,12.06
ETB,"Bolivar, Colombia",,Jan 2020,158,26,N/A,cellular,mean,26,44,15825,10268,15.83,10.27
ETB,"Boyaca, Colombia",,Jan 2020,37,15,N/A,cellular,mean,15,42,13121,8005,13.12,8.01
ETB,"Caldas, Colombia",,Jan 2020,48,15,N/A,cellular,mean,15,46,21657,10539,21.66,10.54
ETB,"Caquetá, Colombia",,Jan 2020,3,3,N/A,cellular,mean,3,27,11360,6171,11.36,6.17
ETB,"Cauca Department, Colombia",,Jan 2020,85,19,N/A,cellular,mean,19,35,40933,18779,40.93,18.78
ETB,"Cesar, Colombia",,Jan 2020,22,8,N/A,cellular,mean,8,52,18130,8295,18.13,8.3
ETB,"Cordoba, Colombia",,Jan 2020,25,9,N/A,cellular,mean,9,50,13695,13762,13.7,13.76
ETB,"Cundinamarca, Colombia",,Jan 2020,373,104,N/A,cellular,mean,104,30,17664,9632,17.66,9.63
ETB,"Huila, Colombia",,Jan 2020,15,5,N/A,cellular,mean,5,21,8800,12803,8.8,12.8
ETB,"La Guajira, Colombia",,Jan 2020,1,1,N/A,cellular,mean,1,38,2432,10572,2.43,10.57
ETB,"Magdalena, Colombia",,Jan 2020,45,17,N/A,cellular,mean,17,50,13261,6911,13.26,6.91
ETB,"Meta, Colombia",,Jan 2020,65,20,N/A,cellular,mean,20,43,23902,13487,23.9,13.49
ETB,"Narino, Colombia",,Jan 2020,18,8,N/A,cellular,mean,8,52,33386,19645,33.39,19.65
ETB,"North Santander, Colombia",,Jan 2020,34,12,N/A,cellular,mean,12,31,14793,10893,14.79,10.89
ETB,"Quindio, Colombia",,Jan 2020,17,12,N/A,cellular,mean,12,45,27377,11068,27.38,11.07
ETB,"Risaralda, Colombia",,Jan 2020,27,15,N/A,cellular,mean,15,49,15980,9727,15.98,9.73
ETB,"Santander Department, Colombia",,Jan 2020,329,51,N/A,cellular,mean,51,33,19367,13513,19.37,13.51
ETB,"Sucre, Colombia",,Jan 2020,31,13,N/A,cellular,mean,13,54,13669,8775,13.67,8.78
ETB,"Tolima, Colombia",,Jan 2020,107,25,N/A,cellular,mean,25,41,24907,12747,24.91,12.75
ETB,"Valle del Cauca, Colombia",,Jan 2020,686,172,N/A,cellular,mean,172,34,32431,17773,32.43,17.77
