Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,"Amazonas, Colombia",,Jan 2021,81,34,N/A,cellular,mean,34,228,1669,6125,1.67,6.13
All Providers Combined,"Antioquia, Colombia",,Jan 2021,14646,5524,N/A,cellular,mean,5524,50,18132,9366,18.13,9.37
All Providers Combined,"Arauca, Colombia",,Jan 2021,336,102,N/A,cellular,mean,102,66,5967,7067,5.97,7.07
All Providers Combined,"Atlantico, Colombia",,Jan 2021,6810,2677,N/A,cellular,mean,2677,40,21153,11208,21.15,11.21
All Providers Combined,"Bogota, Colombia",,Jan 2021,35777,13684,N/A,cellular,mean,13684,38,17625,9984,17.63,9.98
All Providers Combined,"Bolivar, Colombia",,Jan 2021,2278,928,N/A,cellular,mean,928,45,19568,10140,19.57,10.14
All Providers Combined,"Boyaca, Colombia",,Jan 2021,3060,934,N/A,cellular,mean,934,64,9654,7254,9.65,7.25
All Providers Combined,"Caldas, Colombia",,Jan 2021,1439,539,N/A,cellular,mean,539,79,12749,8917,12.75,8.92
All Providers Combined,"Caquetá, Colombia",,Jan 2021,196,107,N/A,cellular,mean,107,80,11353,6536,11.35,6.54
All Providers Combined,"Casanare, Colombia",,Jan 2021,814,242,N/A,cellular,mean,242,57,9778,6678,9.78,6.68
All Providers Combined,"Cauca Department, Colombia",,Jan 2021,991,369,N/A,cellular,mean,369,59,14162,8405,14.16,8.41
All Providers Combined,"Cesar, Colombia",,Jan 2021,1595,520,N/A,cellular,mean,520,64,14595,8467,14.6,8.47
All Providers Combined,"Choco, Colombia",,Jan 2021,339,93,N/A,cellular,mean,93,122,6246,6551,6.25,6.55
All Providers Combined,"Cordoba, Colombia",,Jan 2021,1306,479,N/A,cellular,mean,479,73,14913,9546,14.91,9.55
All Providers Combined,"Cundinamarca, Colombia",,Jan 2021,8731,3341,N/A,cellular,mean,3341,50,12198,7383,12.2,7.38
All Providers Combined,"Guainia, Colombia",,Jan 2021,4,3,N/A,cellular,mean,3,79,2925,10576,2.93,10.58
All Providers Combined,"Huila, Colombia",,Jan 2021,1155,458,N/A,cellular,mean,458,54,12742,7457,12.74,7.46
All Providers Combined,"La Guajira, Colombia",,Jan 2021,801,275,N/A,cellular,mean,275,45,13428,8846,13.43,8.85
All Providers Combined,"Magdalena, Colombia",,Jan 2021,1791,636,N/A,cellular,mean,636,60,16440,9764,16.44,9.76
All Providers Combined,"Meta, Colombia",,Jan 2021,1956,705,N/A,cellular,mean,705,54,13699,9108,13.7,9.11
All Providers Combined,"Narino, Colombia",,Jan 2021,1057,359,N/A,cellular,mean,359,59,15093,9717,15.09,9.72
All Providers Combined,"North Santander, Colombia",,Jan 2021,1857,628,N/A,cellular,mean,628,62,11701,8627,11.7,8.63
All Providers Combined,"Putumayo, Colombia",,Jan 2021,185,79,N/A,cellular,mean,79,134,8176,6809,8.18,6.81
All Providers Combined,"Quindio, Colombia",,Jan 2021,1080,409,N/A,cellular,mean,409,73,13720,9040,13.72,9.04
